"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"volume-1-about-the-author-OBS-001","volume-1-about-the-author","peter-s-kastner","","personal-recollection","1966","Career duration in IT industry","Fifty years as a participant at each defining inflection point of the IT industry","high","ingest-extraction","mc-oh","About the Author — paragraph 1","",""
"volume-1-about-the-author-OBS-002","volume-1-about-the-author","peter-s-kastner","","personal-recollection","1950","Childhood home","Grew up in Chatham, Massachusetts","high","ingest-extraction","mc-oh","About the Author — paragraph 2","",""
"volume-1-about-the-author-OBS-003","volume-1-about-the-author","peter-s-kastner","","personal-recollection","1960","Family business","Family operated one of Cape Cod's landmark restaurants in Chatham, Massachusetts","high","ingest-extraction","mc-oh","About the Author — paragraph 2","",""
"volume-1-about-the-author-OBS-004","volume-1-about-the-author","peter-s-kastner","","personal-recollection","1960","Bookkeeping workload at family restaurant","Sorted 10,000 pieces of paper a night in the bookkeeping department","high","ingest-extraction","mc-oh","About the Author — paragraph 2","",""
"volume-1-about-the-author-OBS-005","volume-1-about-the-author","peter-s-kastner","","personal-recollection","1960","Formative career conviction","Machines should handle the routine work, so that people could do something better with their time","high","ingest-extraction","mc-oh","About the Author — paragraph 2","",""
"volume-1-about-the-author-OBS-006","volume-1-about-the-author","mit","","personal-recollection","1966","Kastner computer operator training location","Trained as a computer operator at MIT in 1966","high","ingest-extraction","mc-oh","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-007","volume-1-about-the-author","mit","ibm-eliza","personal-recollection","1966","ELIZA development location","ELIZA was being built in the same building where Kastner trained at MIT in 1966","high","ingest-extraction","mc-oh","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-008","volume-1-about-the-author","mit","","personal-recollection","1966","Project MAC significance","Project MAC was laying the foundations of modern timesharing in the same MIT building where Kastner trained","high","ingest-extraction","mc-oh","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-009","volume-1-about-the-author","peter-s-kastner","ibm-mainframe","personal-recollection","1966","Self-teaching programming method","Taught himself to program on IBM mainframes overnight on his own operator account at MIT","high","ingest-extraction","mc-oh","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-010","volume-1-about-the-author","peter-s-kastner","ibm-mainframe","market-data","1966","IBM mainframe compute cost at MIT","$360 per hour for IBM mainframe computer time at MIT in 1966","high","ingest-extraction","mc-ia","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-011","volume-1-about-the-author","cornell-university","","personal-recollection","1966","Kastner undergraduate school","Returned to Cornell University, School of Hotel Administration, after MIT training","high","ingest-extraction","mc-oh","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-012","volume-1-about-the-author","cornell-university","ibm-360-65","personal-recollection","1966","Kastner role at Cornell","Operated Cornell's IBM System 360/65 while continuing undergraduate education","high","ingest-extraction","mc-oh","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-013","volume-1-about-the-author","cornell-university","ibm-360-65","personal-recollection","1967","First commercial software at Cornell","Kastner wrote some of Cornell University's first commercial software applications","high","ingest-extraction","mc-oh","About the Author — paragraph 3","",""
"volume-1-about-the-author-OBS-014","volume-1-about-the-author","philip-hankins","","personal-recollection","1968","Kastner first employer","Professional career began at Philip Hankins Inc. in Arlington, Massachusetts","high","ingest-extraction","mc-oh","About the Author — paragraph 4","",""
