"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"volume-1-appendix-career-timeline-OBS-001","volume-1-appendix-career-timeline","peter-s-kastner","","personal-recollection","1960","Career start: summer bookkeeping","Sorted 10,000 receipts per night at a family restaurant in Chatham, MA; described as 'the founding frustration'.","high","ingest-extraction","MC-OH","Arc at a Glance table","Chatham, MA family restaurant. Period: 1960-1965."
"volume-1-appendix-career-timeline-OBS-002","volume-1-appendix-career-timeline","peter-s-kastner","","personal-recollection","1965","Cornell University enrollment; Hotel Ezra Cornell punch-card failure","Kastner attended Cornell 1965-1966; experienced a punch-card failure at Hotel Ezra Cornell that led to his MIT decision.","high","ingest-extraction","MC-OH","Arc at a Glance table",""
"volume-1-appendix-career-timeline-OBS-003","volume-1-appendix-career-timeline","peter-s-kastner","ibm-360-65","personal-recollection","1966","MIT computer operator role","Operated IBM 7094 and 360/65; encountered ELIZA; self-taught FORTRAN and assembler. Period: 1966-1967.","high","ingest-extraction","MC-OH","Arc at a Glance table",""
"volume-1-appendix-career-timeline-OBS-004","volume-1-appendix-career-timeline","peter-s-kastner","ibm-eliza","personal-recollection","1966","First encounter with conversational AI (ELIZA)","Kastner encountered ELIZA during his MIT computer operator period, 1966-1967.","high","ingest-extraction","MC-OH","Arc at a Glance table","Significant as early AI exposure predating later AI advisory work."
"volume-1-appendix-career-timeline-OBS-005","volume-1-appendix-career-timeline","peter-s-kastner","fortran","personal-recollection","1966","Self-taught FORTRAN","Kastner self-taught FORTRAN as MIT computer operator, 1966-1967.","high","ingest-extraction","MC-OH","Arc at a Glance table",""
"volume-1-appendix-career-timeline-OBS-006","volume-1-appendix-career-timeline","peter-s-kastner","assembler","personal-recollection","1966","Self-taught assembler programming","Kastner self-taught IBM assembler alongside FORTRAN at MIT, 1966-1967.","high","ingest-extraction","MC-OH","Arc at a Glance table",""
"volume-1-appendix-career-timeline-OBS-007","volume-1-appendix-career-timeline","peter-s-kastner","ibm-360-65","personal-recollection","1967","Cornell computer operator / programmer role","Ran 360/65 SysGen, CHASE simulation, and acquired first paying clients at Cornell, 1967-1968.","high","ingest-extraction","MC-OH","Arc at a Glance table",""
"volume-1-appendix-career-timeline-OBS-008","volume-1-appendix-career-timeline","phi-computer-services","ibm-360","market-data","1969","PHI CPU billing rate","$360/hour CPU time billed at PHI service bureau.","high","ingest-extraction","MC-IA","Arc at a Glance table","Reflects typical service bureau pricing in early 1970s."
"volume-1-appendix-career-timeline-OBS-009","volume-1-appendix-career-timeline","phi-computer-services","","personal-recollection","1969","PHI applications programmer role","Kastner served as applications programmer at PHI, Arlington MA, 1969-1973.","high","ingest-extraction","MC-OH","Arc at a Glance table",""
"volume-1-appendix-career-timeline-OBS-010","volume-1-appendix-career-timeline","cumberland-farms","ibm-360","personal-recollection","1969","PHI client: Cumberland Farms systems work","Cumberland Farms was a PHI client during Kastner's 1969-1973 applications programmer period.","high","ingest-extraction","MC-OH","Arc at a Glance table",""
