"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-s-kastner","Peter S. Kastner","person","technology research / expert witness","active","","1992-2015","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Primary narrator; served as testifying and consulting expert witness in enterprise technology disputes 1992–2015."
"aberdeen-group","Aberdeen Group","firm","technology research","acquired","Harte-Hanks / Aberdeen","1988-2001","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Kastner’s research firm; its published research and TPC work provided credentials accepted by courts."
"safeway","Safeway","company","retail / grocery","active","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Plaintiff/party in major antitrust and breach-of-contract dispute centered on data-warehousing technology; one of the largest North American supermarket chains."
"teradata","Teradata","company","enterprise data warehousing","active","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Vendor whose data warehouse machine was central to the Safeway litigation; machine was destroyed when fire extinguishing system exploded."
"ncr-teradata","NCR / Teradata","company","enterprise hardware / data warehousing","active","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Parent organization context for Teradata during the Safeway engagement period."
"hugh-bishop","Hugh Bishop","person","technology analysis / expert witness","unknown","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Novice expert who served as first-seat in the Safeway data warehouse litigation; Kastner was second-seat."
"eds","Electronic Data Systems (EDS)","company","IT services","acquired","HP Enterprise Services","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Bidder on the Florida $200M statewide human services application RFP."
"ibm","IBM","company","enterprise computing","active","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Winning bidder on the Florida welfare RFP; delivered 525 performance simulation runs; Kastner’s analysis of IBM’s own performance estimator showed 20–30 second response times."
"unisys","Unisys","company","IT services / mainframe","active","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Losing bidder on Florida welfare RFP; retained Kastner as expert witness to challenge IBM’s winning bid on performance grounds."
"florida-hrs","Florida HRS (Department of Health and Rehabilitative Services)","agency","state government / social services","dissolved","Florida Department of Children and Families","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Florida state agency that issued the $200M statewide human services application RFP; associated officials were later indicted."
"us-congress","U.S. Congress","institution","federal government","active","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Held hearings and passed two laws preventing unfettered contracts like Florida’s after the welfare system failure."
"arthur-d-little","Arthur D. Little","firm","management consulting","dissolved","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Kastner references forensic habits developed at ADL as directly applicable to expert witness work on software project failures."
"intelligent-electronics","Intelligent Electronics","company","technology distribution","dissolved","","","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Listed in cache as relevant entity for this chapter (IE v. Andersen referenced in task brief); no detailed narrative in chapter text."
"andersen-consulting","Andersen Consulting","firm","management / IT consulting","dissolved","Accenture","1989-2001","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Opposite party in IE v. Andersen case referenced in task brief; in cache."
