"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"inovant","Inovant (a Visa Solutions Company)","company","Financial Technology / Payment Processing","unknown [REVIEW]","","1999-2004","inovant-ramp-interview-for-maxtor-projec-e7f75d","Visa's technology subsidiary; 3,000+ employees; $70M IT budget; San Mateo CA / McLean VA / Denver CO"
"visa","Visa Inc.","company","Financial Services / Payment Networks","active","","1958-present","inovant-ramp-interview-for-maxtor-projec-e7f75d","Parent organization of Inovant; global payment network; member bank relationships drive extreme SLA requirements"
"paul-orleman-inovant","Paul Orleman","person","Financial Technology / IT Infrastructure","active","","2000s","inovant-ramp-interview-for-maxtor-projec-e7f75d","Department Head for Direct Exchange Infrastructure at Inovant; RAMP interviewee; responsible for Windows and Unix/Linux storage"
"maxtor","Maxtor Corporation","company","Storage Hardware / Disk Drives","unknown [REVIEW]","","1982-2006","inovant-ramp-interview-for-maxtor-projec-e7f75d","Study sponsor; proposed MaXLine midline ATA disk product; FROM CACHE"
"emc","EMC Corporation","company","Enterprise Storage Hardware / Software","unknown [REVIEW]","","1979-present","inovant-ramp-interview-for-maxtor-projec-e7f75d","Primary storage vendor at Inovant; significant business relationship; FROM CACHE"
"netapp","NetApp (Network Appliance)","company","Enterprise Storage / NAS","unknown [REVIEW]","","1992-present","inovant-ramp-interview-for-maxtor-projec-e7f75d","Storage vendor at Inovant; NAS for Unix/Linux workloads"
"dell","Dell","company","PC and Enterprise Hardware","active","","1984-present","inovant-ramp-interview-for-maxtor-projec-e7f75d","Storage vendor discussed with Inovant; associated with 'low-cost storage' concept in interviewee's mind; FROM CACHE"
"z-force","Z-Force","company","Storage / IT Solutions","unknown [REVIEW]","","2000s","inovant-ramp-interview-for-maxtor-projec-e7f75d","Discussed low-cost disk alternatives with Inovant; identity unclear — possibly small storage vendor"
"ibm","IBM","company","Enterprise IT Hardware/Software/Services","active","","1911-present","inovant-ramp-interview-for-maxtor-projec-e7f75d","Provider of IBM 3584 tape library used at Inovant; FROM CACHE"
"peter-s-kastner","Peter S. Kastner","person","Market Research / IT Consulting","active","","1989-present","inovant-ramp-interview-for-maxtor-projec-e7f75d","Co-author and interviewer; FROM CACHE"
"david-hill-aberdeen","David Hill","person","Market Research / IT Consulting","active","","2000s","inovant-ramp-interview-for-maxtor-projec-e7f75d","Co-author; Aberdeen Group analyst; FROM CACHE"
"aberdeen-group","Aberdeen Group","firm","Market Research / IT Consulting","acquired","Aberdeen/Harte-Hanks","1988-present","inovant-ramp-interview-for-maxtor-projec-e7f75d","Study sponsor and publisher; FROM CACHE"
