"collection","study_id","title","date","author","n_entities","n_technologies","n_observations","n_codes","importance","relevance","prescience"
"Aberdeen Outbound Marketing","aberdeen-aas-retainer-sales-doc-f40a25","Aberdeen Advisory Access Service (AAS) — Retainer Sales Kit","2000-01-01","Aberdeen Group","3","0","20","30","high","medium","not-applicable"
"Aberdeen Outbound Marketing","aberdeen-corporate-background-deck-f70fe9","Aberdeen Group Corporate Background Deck (Outbound Marketing)","2001-01-01","Aberdeen Group","1","0","6","26","medium","medium","not-applicable"
"Aberdeen Outbound Marketing","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen 1996 DORS Buying Guide — aberdeen.com Marketing Page (Outbound Marketing)","1996-10-23","Aberdeen Group","12","12","14","31","medium","low","not-applicable"
"Kastner Memoir","volume-1-about-the-author","About the Author","2026-05-14","Peter S. Kastner","19","10","55","26","high","high","not-applicable"
"Kastner Memoir","volume-1-appendix-career-timeline","Appendix: Career Timeline","2026-05-14","Peter S. Kastner","25","21","90","26","high","high","medium"
"Kastner Memoir","volume-1-ch01-waiting-for-automation-1960-1969","Chapter 1: Waiting for Automation (1960-1969)","2026-05-14","Peter S. Kastner","20","24","101","26","high","high","high"
"Kastner Memoir","volume-1-ch02-physics-of-the-machine-1969-1972","Chapter 2: The Physics of the Machine (1969–1972)","2026-05-14","Peter S. Kastner","11","17","77","26","high","high","medium"
"Kastner Memoir","volume-1-ch03-physics-of-consulting-1972-1979","Chapter 3: Eight Years in the Physics of Consulting (1972–1979)","2026-05-14","Peter S. Kastner","21","9","78","26","high","high","high"
"Kastner Memoir","volume-1-ch04-prime-computer-1979-1981","Chapter 4: Prime Computer (1979-1981)","2026-05-14","Peter S. Kastner","27","15","127","26","high","high","high"
"Kastner Memoir","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Chapter 5: Stratus Computer — Six Years in the Fault-Tolerant Wars (1981-1987)","2026-05-14","Peter S. Kastner","21","17","100","26","high","high","high"
"Kastner Memoir","volume-1-ch06-dec-mainframes-last-stand-1987-1988","Chapter 6: Digital Equipment Corporation — The Mainframe's Last Stand (1987–1988)","2026-05-14","Peter S. Kastner","25","24","95","26","high","high","high"
"Kastner Memoir","volume-1-ch07-founding-aberdeen-1988-1997","Chapter 7: Founding Aberdeen Group (1988-1997)","2026-05-14","Peter S. Kastner","20","20","105","26","high","high","high"
"Kastner Memoir","volume-1-ch08-aberdeen-go-go-years-1998-2006","Chapter 8: The Go-Go Years — Aberdeen at Scale (1998–2006)","2026-05-14","Peter S. Kastner","18","21","126","26","high","high","high"
"Kastner Memoir","volume-1-ch09-expert-witness-technology-on-trial-1992-2015","Chapter 9: Expert Witness — Technology on Trial (1992–2015)","2026-05-14","Peter S. Kastner","14","11","70","26","high","high","high"
"Kastner Memoir","volume-1-ch10-the-long-view-1966-2026","Chapter 10: The Long View — What Fifty Years of Technology Markets Teach (1966-2026)","2026-05-14","Peter S. Kastner","19","31","137","26","high","high","high"
"Kastner Memoir","volume-1-epilogue-argument-with-reality","Epilogue: The Argument with Reality","2026-05-14","Peter S. Kastner","7","10","41","26","high","high","high"
"Kastner Memoir","volume-1-introduction-physics-of-the-machine","Introduction: The Physics of the Machine","2026-05-14","Peter S. Kastner","10","7","40","26","high","high","not-applicable"
