"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"ecpspr~1-4968bf-OBS-001","ecpspr~1-4968bf","","","market-assessment","1998","Web commerce volume forecast trajectory","$2.6 billion in 1996 to $220+ billion by 2001","high","ingest-extraction","industry-analysis","p.9","Aberdeen estimate; web buyers percentage climbing from 25% to 39% in same period; nearly half of all web users will come from outside US in 3 years",""
"ecpspr~1-4968bf-OBS-002","ecpspr~1-4968bf","","","market-assessment","1998","B2B internet commerce growth forecast","$8 billion in 1997 to $327 billion in 2002","high","ingest-extraction","industry-analysis","p.19","Cited as factor propelling E-commerce adoption; World Bank cited on infrastructure improvements",""
"ecpspr~1-4968bf-OBS-003","ecpspr~1-4968bf","","erp","market-assessment","1998","ERP data availability within enterprises","Less than 15% of users within an organization","high","ingest-extraction","expert-opinion","p.19","Via licensing; web-enabling ERP will cause this number to skyrocket as customers and business partners gain access",""
"ecpspr~1-4968bf-OBS-004","ecpspr~1-4968bf","","","market-assessment","1998","Sub-$1000 PC home penetration context","PC home penetration still less than 50%","high","ingest-extraction","expert-opinion","p.20","Rising fairly quickly with recent advent of sub-$1000 complete PCs; cited as limiting factor for consumer EC",""
"ecpspr~1-4968bf-OBS-005","ecpspr~1-4968bf","","","expert-opinion","1998","E-commerce professional services market dynamic","IS decision-makers receive hundreds of calls yearly from professional services providers; it is a buyers market","high","ingest-extraction","expert-opinion","p.20","Aberdeen cautions that marketing of services sometimes outstrips actual service resources; buyers must verify trained manpower",""
"ecpspr~1-4968bf-OBS-006","ecpspr~1-4968bf","","","expert-opinion","1998","E-commerce professional services consulting billing rates","$2000 to $5000 per day per consultant for strategy and process reengineering; $750 to $3000 per day for implementation and support","high","ingest-extraction","expert-opinion","p.24","IS executives observe that consultants cost lots of money",""
"ecpspr~1-4968bf-OBS-007","ecpspr~1-4968bf","","","expert-opinion","1998","EC systems design maturity trajectory","One to two years away from one-stop shop EC implementation; today individual suppliers provide 80-90% of required functionality","high","ingest-extraction","expert-opinion","p.15","As recently as one year prior landscape required tying together packages from multiple suppliers; significant customization will remain even with complete solutions",""
"ecpspr~1-4968bf-OBS-008","ecpspr~1-4968bf","","","expert-opinion","1998","Key EC implementation obstacles listed","Product immaturity; inexperience at professional services level; lack of standards; legacy integration issues; fear of disclosure; cost barriers","high","ingest-extraction","expert-opinion","p.21","Based on IS manager interviews during Aberdeen research",""
"ecpspr~1-4968bf-OBS-009","ecpspr~1-4968bf","","","expert-opinion","1998","EC lifecycle management expectation","E-commerce systems should be considered to last at best only a few years; highly dynamic entity","high","ingest-extraction","expert-opinion","p.17","Professional services firms must provide ongoing lifecycle management as well as deployment services",""
"ecpspr~1-4968bf-OBS-010","ecpspr~1-4968bf","","","expert-opinion","1998","EDI-origin enterprise advantage in internet EC","Enterprises with EDI origin generally quicker to understand internet EC due to legacy/systems integration experience","high","ingest-extraction","expert-opinion","p.3","Aberdeen observation; system-to-system integration lies at heart of maximizing ROI",""
"ecpspr~1-4968bf-OBS-011","ecpspr~1-4968bf","","","expert-opinion","1998","EC professional services skill requirements ranked","Infrastructure skills foremost; then architectural design; then installation; then integration/customization; then EDI/security/benchmarking","high","ingest-extraction","expert-opinion","p.22-23","Based on IS manager feedback; finding experts with direct CAP experience may be toughest challenge; availability of experts may influence platform choice",""
"ecpspr~1-4968bf-OBS-012","ecpspr~1-4968bf","","","viability-prediction","1998","E-commerce adoption driver: first-mover advantage","He who lingers is lost; companies hesitating to adopt full-blown EC strategy may find themselves trailing competitors","high","ingest-extraction","expert-opinion","p.7","Key Aberdeen finding; hesitation leaves enterprise trailing not-so-hesitant competitors",""
"ecpspr~1-4968bf-OBS-013","ecpspr~1-4968bf","","van","viability-prediction","1998","EDI/VAN vs internet EC outcome","Internet threatens to outflank highly profitable VANs; EDI/VAN integrators must embrace internet to survive","high","ingest-extraction","expert-opinion","p.7","EDI providers have big head start; but Web threatens to outflank VAN revenue model",""
"ecpspr~1-4968bf-OBS-014","ecpspr~1-4968bf","","erp","viability-prediction","1998","ERP as best enterprise EC entry point","ERP providers have the best way in to the enterprise for EC services","high","ingest-extraction","expert-opinion","p.7","Key Aberdeen finding; ERP entrenches EC at enterprise core; SAP via R/3 installations best positioned",""
"ecpspr~1-4968bf-OBS-015","ecpspr~1-4968bf","ibm","","competitive-assessment","1998","IBM Global Services EC staffing","120000 professionals in Global Services; 10000 dedicated to E-business","high","ingest-extraction","expert-opinion","p.27","Works almost exclusively with World 2000; gap in midrange and smaller enterprise segments; likely to remain overall champion in EC professional services",""
"ecpspr~1-4968bf-OBS-016","ecpspr~1-4968bf","hewlett-packard","","competitive-assessment","1998","HP professional services revenue","$6.2 billion","high","ingest-extraction","expert-opinion","p.28","Second behind IBM ($20B) and just ahead of Digital ($5.8B); responsible for over 50% of all commercial Unix web servers",""
"ecpspr~1-4968bf-OBS-017","ecpspr~1-4968bf","digital-equipment","","competitive-assessment","1998","Digital Equipment professional services revenue","$5.4 billion; 40% of company revenue","high","ingest-extraction","expert-opinion","p.29","$13B total revenue; number three OEM in professional services; Compaq acquiring for services and sales force; combined Compaq-Tandem-Digital is major EC force",""
"ecpspr~1-4968bf-OBS-018","ecpspr~1-4968bf","oracle","","competitive-assessment","1998","Oracle professional services scale","10000+ consultants in 55 countries; $5.6B in sales","high","ingest-extraction","expert-opinion","p.30","Most service professionals of any ISV; cross-product leverage; energizing applications market gives Oracle best chance to ride EC wave",""
"ecpspr~1-4968bf-OBS-019","ecpspr~1-4968bf","sap","","competitive-assessment","1998","SAP R/3 installation base","Running in 7000+ companies worldwide including Microsoft IBM and General Motors","high","ingest-extraction","expert-opinion","p.29","Consulting = nearly one-third of Q4-97 revenue; Accelerated SAP (ASAP) targets middle market; best source for EC for SAP-installed enterprises",""
"ecpspr~1-4968bf-OBS-020","ecpspr~1-4968bf","sap","","competitive-assessment","1998","SAP Pandesic joint venture","Joint venture with Intel (Pandesic LLC) announced August 1997 to bring SAP applications to mid-range and small enterprises","high","ingest-extraction","expert-opinion","p.29-30","60-70% of Pandesic customers in small or very small range; SAP EC face also via Commerce One and Aspect Development integration with R/3",""
