entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
aberdeen-group,Aberdeen Group,firm,Market Research / IT Consulting,acquired,Aberdeen/Harte-Hanks,1988-present,system~1-36ba8c,Author; Boston-based market research and consulting firm.
bmc-software,BMC Software,company,Enterprise Software / Systems Management,unknown,unknown,1980-present,system~1-36ba8c,PATROL systems management; Best-of-Breed camp; supplier abstract included.
boole-and-babbage,Boole & Babbage Inc.,company,Systems / Storage Management Software,unknown,unknown,1979-1999,system~1-36ba8c,Enterprise systems management software; supplier abstract included. Acquired by BMC Software 1999.
bull-hn-international,Bull HN International,company,Enterprise IT / Systems Management,unknown,unknown,1990s,system~1-36ba8c,Enterprise management solutions; Best-of-Breed camp; supplier abstract included.
cabletron-systems,Cabletron Systems Inc.,company,Network Hardware / Management,unknown,unknown,1983-2001,system~1-36ba8c,Network management solutions (SPECTRUM); supplier abstract included.
candle-corporation,Candle Corporation,company,Application Performance Management,unknown,unknown,1975-2004,system~1-36ba8c,OMEGAMON application management; Best-of-Breed camp; supplier abstract included. Acquired by IBM 2004.
computer-associates,Computer Associates (CA),company,Enterprise Software,renamed,CA Technologies (2006) -> Broadcom (2018),1976-present,system~1-36ba8c,Unicenter TNG framework; co-leader of Framework camp with Tivoli; supplier abstract included.
hewlett-packard,Hewlett-Packard (HP),company,Enterprise IT Hardware/Services,split,HP Inc./HPE (2015),1939-present,system~1-36ba8c,OpenView network management; leader of Best-of-Breed camp; supplier abstract included.
ibm-tivoli,IBM Tivoli,company,Enterprise Systems Management,unknown,ibm,1996-present,system~1-36ba8c,TME (Tivoli Management Environment) framework; co-leader of Framework camp with CA; supplier abstract included.
landmark-systems,Landmark Systems Corporation,company,Application Performance Management,unknown,unknown,1985-2003,system~1-36ba8c,PerformanceWorks application management tools; supplier abstract included.
platinum-technology,Platinum Technology,company,Enterprise Software / Systems Management,unknown,unknown,1987-1999,system~1-36ba8c,Systems and database management; Best-of-Breed camp; supplier abstract included. Acquired by Computer Associates 1999.
sterling-software,Sterling Software,company,Enterprise Software / Systems Management,unknown,unknown,1981-2000,system~1-36ba8c,Systems management tools; Best-of-Breed camp; acquired by Computer Associates 2000.
