"code_id","code_type","label","definition"
"3gl","technology-category","Third-Generation Language","Traditional procedural programming languages: COBOL, FORTRAN, C, BASIC."
"aberdeen-analysis","methodology","Aberdeen Analysis","Study-specific code: ABERDEEN-ANALYSIS"
"aberdeen-position","methodology","Aberdeen Position","Study-specific code: Aberdeen-position"
"aberdeen-research","methodology","Aberdeen Research","Study-specific code: Aberdeen-research"
"aberdeen-survey","methodology","Aberdeen Survey","Study-specific code: ABERDEEN-SURVEY"
"aberdeen_first_wsj","observation_type","Aberdeen_First_Wsj","Study-specific code: aberdeen_first_wsj"
"academic-commentary","methodology","Academic Commentary","Study-specific code: academic-commentary"
"academic-forecast","methodology","Academic Forecast","Study-specific code: academic-forecast"
"academic-research","methodology","Academic Research","Study-specific code: academic-research"
"acquired","entity_status","Acquired","Entity acquired by another company; brand may no longer exist independently"
"acquisition","observation_type","Acquisition","Study-specific code: acquisition"
"active","lifecycle","Active","Technology is currently actively maintained, developed, and commercially available"
"active-concept","lifecycle","Active Concept","Conceptual framework or metric that remains actively used."
"active-evolved","lifecycle_status","Active Evolved","Product line still active but has evolved significantly from the version referenced"
"active-niche","tech_lifecycle","Active (Niche)","Technology still actively used but in niche or legacy contexts"
"active-threat","lifecycle_status","Active Threat","Malware or vulnerability currently being exploited in the wild"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"ad_cycle_vision","observation_type","Ad_Cycle_Vision","Study-specific code: ad_cycle_vision"
"administrative-cost-model","observation_type","Administrative Cost Model","Study-specific code: administrative-cost-model"
"adoption","observation_type","Adoption","Study-specific code: adoption"
"adoption-rate","observation_type","Adoption Rate","Study-specific code: adoption-rate"
"adoption-trend","observation_type","Adoption Trend","Study-specific code: adoption-trend"
"advertised-contact","methodology","Advertised Contact","Study-specific code: advertised-contact"
"advertised-pricing","methodology","Advertised Pricing","Study-specific code: advertised-pricing"
"advertised-specs","methodology","Advertised Specs","Study-specific code: advertised-specs"
"advertisement","methodology","Advertisement","Study-specific code: advertisement"
"advertising-claim","methodology","Advertising Claim","Study-specific code: advertising-claim"
"advertising-data","methodology","Advertising Data","Study-specific code: advertising-data"
"advisory-report","study_type","Advisory Report","Strategic advisory report produced from vendor briefings and market analysis."
"affiliation","observation_type","Affiliation","Study-specific code: affiliation"
"ai-dialog","methodology","AI Dialog","Question-and-answer exchange between a human and an AI system"
"ai-essay","methodology","Ai Essay","Study-specific code: AI-ESSAY"
"ai-exchange","observation_type","AI Exchange","A question posed by Kastner and the AI response extracted as a structured observation"
"ai-summary","methodology","Ai Summary","Study-specific code: AI-summary"
"ai-synthesis","methodology","Ai Synthesis","Study-specific code: ai-synthesis"
"aix","platform","AIX","IBM AIX Unix"
"analysis","methodology","Analysis","Study-specific code: analysis"
"analyst","entity_type","Analyst","Research and advisory firm"
"analyst-assessment","methodology","Analyst Assessment","Analysis based on Aberdeen Group analyst evaluation and judgment"
"analyst-commentary","methodology","Analyst Commentary","Study-specific code: analyst-commentary"
"analyst-conduct","observation_type","Analyst Conduct","Study-specific code: analyst-conduct"
"analyst-derived","methodology","Analyst Derived","Study-specific code: analyst-derived"
"analyst-estimate","methodology","Analyst Estimate","Study-specific code: analyst-estimate"
"analyst-expert","methodology_code","Analyst Expert","Aberdeen analyst expert opinion or market assessment"
"analyst-finding","observation_type","Analyst Finding","Study-specific code: analyst-finding"
"analyst-firm","entity_type","Analyst Firm","Market research and analyst organization publishing industry reports"
"analyst-forecast","methodology","Analyst Forecast","Study-specific code: analyst-forecast"
"analyst-interview","methodology_code","Analyst Interview","Findings based on interviews with IS and Line of Business executives"
"analyst-judgment","observation_type","Analyst Judgment","Qualitative assessment based on analyst expertise and market observation"
"analyst-model","observation_type","Analyst Model","Study-specific code: analyst-model"
"analyst-observation","methodology","Analyst Observation","Study-specific code: analyst-observation"
"analyst-opinion","methodology_code","Analyst Opinion","Direct qualitative recommendation by Aberdeen analyst"
"analyst-prediction","observation_type","Analyst Prediction","Forward-looking prediction made by analyst"
"analyst-product","methodology_code","Analyst Product","Aberdeen product capability assessment"
"analyst-projection","methodology","Analyst Projection","Study-specific code: analyst-projection"
"analyst-quote","methodology","Analyst Quote","Study-specific code: analyst-quote"
"analyst-recommendation","observation_type","Analyst Recommendation","A strategic recommendation from Aberdeen to enterprise buyers"
"analyst-research","methodology","Analyst Research","Study-specific code: analyst-research"
"analyst-role","observation_type","Analyst Role","Study-specific code: analyst-role"
"analyst-skill","observation_type","Analyst Skill","Study-specific code: analyst-skill"
"analyst-speculation","methodology","Analyst Speculation","Study-specific code: analyst-speculation"
"analyst-support","observation_type","Analyst Support","Study-specific code: analyst-support"
"analytical-claim","observation_type","Analytical Claim","Study-specific code: analytical-claim"
"analytical-finding","observation_type","Analytical Finding","Archive-mining result: a count, rate, or pattern finding"
"analytical-judgment","observation_type","Analytical Judgment","Study-specific code: analytical-judgment"
"analytical-model","observation_type","Analytical Model","Study-specific code: analytical-model"
"analytical-modeling","methodology","Analytical Modeling","Study-specific code: analytical-modeling"
"anchor-summation","methodology","Anchor Summation","Study-specific code: anchor-summation"
"announcement-review","methodology","Announcement Review","Study-specific code: announcement-review"
"anonymous_analyst_doubt","observation_type","Anonymous_Analyst_Doubt","Study-specific code: anonymous_analyst_doubt"
"app-profile","observation_type","App Profile","Study-specific code: app-profile"
"application-classification","observation_type","Application Classification","Study-specific code: application-classification"
"application-partitioning","domain","Application Partitioning","Second-generation CADE capability to automatically repartition application components between client and server tiers without user disruption"
"application-profile","observation_type","Application Profile","Study-specific code: application-profile"
"approaches_triad","observation_type","Approaches_Triad","Study-specific code: approaches_triad"
"architecture","observation_category","Architecture","Technical architecture or design characteristic"
"architecture-decision","observation_type","Architecture Decision","Study-specific code: architecture-decision"
"archival-assessment","observation_type","Archival Assessment","Study-specific code: archival-assessment"
"archival-cross-reference","methodology","Archival Cross Reference","Study-specific code: archival-cross-reference"
"archival-inference","methodology","Archival Inference","Study-specific code: archival-inference"
"archival-inventory","methodology","Archival inventory","Counts or classifications computed from prior archive inventory tables."
"archival-methodology","methodology","Archival Methodology","Study-specific code: archival-methodology"
"archival-research","methodology","Archival Research","Study-specific code: archival-research"
"archive-mining","methodology","Archive Mining","Extraction of patterns and statistics from the master CSV corpus"
"archive-mining-methodology","methodology","Archive Mining Methodology","Study-specific code: archive-mining-methodology"
"archive-provenance","methodology","Archive Provenance","Study-specific code: archive-provenance"
"archive-quantification","methodology","Archive Quantification","Study-specific code: archive-quantification"
"article","study_type","Article","Published article or opinion piece"
"artifact-metadata","observation_type","Artifact Metadata","Study-specific code: artifact-metadata"
"assessment","observation_type","Assessment","Study-specific code: assessment"
"attribution-audit","methodology","Attribution audit","Explicit accounting for author/source attribution buckets."
"attribution-modeling","methodology","Attribution Modeling","Study-specific code: attribution-modeling"
"audience-education","observation_type","Audience Education","Study-specific code: audience-education"
"audit-observation","observation_type","Audit Observation","Study-specific code: audit-observation"
"audited-benchmark","methodology","Audited Benchmark","Study-specific code: audited-benchmark"
"author","role_in_study","Author","Organization that wrote and published the study"
"authored-column","methodology","Authored Column","Study-specific code: authored-column"
"authorship","observation_type","Authorship","Study-specific code: authorship"
"authorship_2","observation_type","Authorship_2","Study-specific code: authorship_2"
"automotive_case_history","observation_type","Automotive_Case_History","Study-specific code: automotive_case_history"
"awareness-building","observation_type","Awareness Building","Study-specific code: awareness-building"
"b2b-ecommerce","subject_domain","B2B Electronic Commerce","Domain covering Internet-enabled business-to-business transaction platforms for order management and sales channel automation"
"backup-restore","observation_type","Backup Restore","Study-specific code: backup-restore"
"backup_metric_intro","observation_type","Backup_Metric_Intro","Study-specific code: backup_metric_intro"
"banking_case_history","observation_type","Banking_Case_History","Study-specific code: banking_case_history"
"bench","methodology_code","Benchmarking","Comparative analysis using Aberdeen Competitive Framework to classify organizations as Laggard (30%), Industry Norm (50%), or Best in Class (20%)"
"benchmark","methodology","Benchmark","Performance benchmark result from standard industry test (e.g., TPC)"
"benchmark-analysis","methodology","Benchmark Analysis","Study-specific code: benchmark-analysis"
"benchmark-claim","observation_type","Benchmark Claim","Study-specific code: benchmark-claim"
"benchmark-cost","obs_type","Benchmark Price-Performance","Price-performance metric from a standardized benchmark"
"benchmark-data","methodology","Benchmark Data","Study-specific code: benchmark-data"
"benchmark-derivative","observation_type","Benchmark Derivative","Study-specific code: benchmark-derivative"
"benchmark-estimate","observation_type","Benchmark Estimate","Study-specific code: benchmark-estimate"
"benchmark-measurement","methodology","Benchmark Measurement","Study-specific code: benchmark-measurement"
"benchmark-pricing","observation_type","Benchmark Pricing","Study-specific code: benchmark-pricing"
"benchmark-report","study_type","Benchmark Report","Comparative study using standardized framework to evaluate organizational practices and performance across industry tiers"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"benchmark-specification","methodology","Benchmark Specification","Study-specific code: benchmark-specification"
"benchmark-survey","methodology","Benchmark Survey","Study-specific code: benchmark-survey"
"benchmark_aliasing","observation_type","Benchmark_Aliasing","Study-specific code: benchmark_aliasing"
"benchmark_decomposition","observation_type","Benchmark_Decomposition","Study-specific code: benchmark_decomposition"
"benchmark_lineage","observation_type","Benchmark_Lineage","Study-specific code: benchmark_lineage"
"benchmark_origin","observation_type","Benchmark_Origin","Study-specific code: benchmark_origin"
"benchmarking","methodology_code","Benchmarking","Systematic measurement and comparison of performance using standardized test specifications with full-disclosure reporting"
"best-of-breed-integration","strategy_type","Best-of-Breed Integration Strategy","Strategy of combining best third-party components around a proprietary middleware anchor rather than building all components in-house"
"bibliographic","methodology","Bibliographic","Study-specific code: bibliographic"
"biographical","observation_type","Biographical","Study-specific code: biographical"
"biographical-archival","methodology","Biographical Archival","Study-specific code: biographical-archival"
"biography","observation_type","Biography","Study-specific code: biography"
"blade_density","observation_type","Blade_Density","Study-specific code: blade_density"
"blade_density_compaq","observation_type","Blade_Density_Compaq","Study-specific code: blade_density_compaq"
"blade_market_drivers","observation_type","Blade_Market_Drivers","Study-specific code: blade_market_drivers"
"blog-commentary","methodology","Blog Commentary","Study-specific code: blog-commentary"
"bm","methodology","Bm","Study-specific code: BM"
