"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"adaptive-computing","Adaptive Computing (Encore Series 91/93)","platform","Encore Computer","1991-1997","emerging","obsolete","1991-encore-and-metadata-47f414","Aberdeen-coined marketing term for Encore's Dirty Computing; combination of SMP + clustering + memory-coupling + single-system view + high availability"
"reflective-memory-system","Reflective Memory System (RMS)","framework","Encore Computer","1989-1999","emerging","obsolete","1991-encore-and-metadata-47f414","Key differentiator enabling cache-coherent shared memory across cluster nodes without message-passing overhead"
"symmetric-multiprocessing","Symmetric Multiprocessing (SMP)","framework","multiple","1990-present","emerging","active","1991-encore-and-metadata-47f414","Standard technique for multi-CPU systems; now ubiquitous in all server and desktop processors"
"ibm-s390","IBM System/390","platform","IBM","1990-2000","mature","obsolete","1991-encore-and-metadata-47f414","Evolved into IBM zSeries (2000) then IBM z Systems; primary incumbent competitor in financial services"
"ibm-db2","IBM DB2","application","IBM","1983-present","mature","active","1991-encore-and-metadata-47f414","Primary RDBMS running on S/390 mainframes; still active as IBM Db2 across multiple platforms"
"vaxcluster","DEC VAXcluster","platform","Digital Equipment Corporation","1983-1998","mature","obsolete","1991-encore-and-metadata-47f414","10+ year incumbent in loosely-coupled clustering; DEC acquired by Compaq 1998, VAXcluster discontinued"
"oracle-rdbms","Oracle RDBMS","application","Oracle Corporation","1979-present","mature","active","1991-encore-and-metadata-47f414","Recommended as RDBMS partner; Oracle 6.2 cited; now Oracle Database still dominant"
"ingres","ASK Ingres (RDBMS)","application","ASK Group","1974-1994","mature","legacy-supported","1991-encore-and-metadata-47f414","Recommended as primary RDBMS partner; ASK acquired by Computer Associates 1994; Ingres open-sourced 2004"
"tandem-nonstop","Tandem NonStop (Guardian OS)","platform","Tandem Computers","1974-present","mature","active","1991-encore-and-metadata-47f414","Tandem acquired by Compaq 1997; now HP NonStop still active in financial/payment processing"
"motorola-88000","Motorola 88000 (M88K)","platform","Motorola","1988-1997","emerging","obsolete","1991-encore-and-metadata-47f414","Used by Data General and Encore Series 91/93; discontinued 1997; Motorola shifted to PowerPC"
"vme-bus","VME Bus","protocol","VITA Standards Organization","1981-present","mature","legacy-supported","1991-encore-and-metadata-47f414","Hardware bus standard used in Encore systems; still used in defense/industrial embedded systems"
"unix-os","Unix Operating System","platform","multiple","1969-present","emerging","active","1991-encore-and-metadata-47f414","C language and Unix cited as software investment protection in Encore systems; now Linux dominates but Unix lineage continues"
"tpc-a-benchmark","TPC-A Transaction Benchmark","framework","TPC (Transaction Processing Performance Council)","1988-1995","mature","obsolete","1991-encore-and-metadata-47f414","Recommended performance demonstration target of 1000-2000 TPS; TPC-A retired 1995, replaced by TPC-C"
