"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-market-research","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Author's firm and source of the board presentation."
"tandem-computers","Tandem Computers Incorporated","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Primary client and focal competitor in the presentation."
"ibm-corporation","IBM Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Assessed across mainframes, SP2, and DB2 strategies."
"hewlett-packard","Hewlett-Packard Company","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Evaluated as an SMP and cluster competitor."
"digital-equipment-corporation","Digital Equipment Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Discussed for Alpha migration and VAXcluster heritage."
"unisys-corporation","Unisys Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Positioned as a weaker clustered OLTP competitor."
"compaq-computer","Compaq Computer Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Presented as an emerging Intel-based enterprise threat."
"att-gis","AT&T Global Information Solutions","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Evaluated for Unix servers, Teradata, and DSS expertise."
"sequent-computer-systems","Sequent Computer Systems Inc.","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Used as a positive SMP comparison point."
"pyramid-technology","Pyramid Technology Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Named as an SMP specialist in the competitive field."
"oracle-corporation","Oracle Corporation","company","database-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Evaluated for parallel database and nCube-related strategy."
"sybase","Sybase Inc.","company","database-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Assessed for Navigation Server and enterprise positioning."
"informix-software","Informix Software Inc.","company","database-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Presented as the strongest parallel-RDBMS architecture among independents."
"microsoft-corporation","Microsoft Corporation","company","software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Referenced through Windows NT as a scale-up platform enabler."
"intel-corporation","Intel Corporation","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Referenced through the coming P6 generation and HP partnership."
"ncube","nCUBE Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Named as an MPP supplier whose fortunes depend on Oracle traction."
"teradata","Teradata Corporation","company","database-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Cited as the leading pure database MPP exception in retail DSS."
"kendall-square-research","Kendall Square Research","company","computer-systems","defunct","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","The deck states that Kendall Square Research is dead."
"red-brick-systems","Red Brick Systems","company","database-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Specialist DSS database supplier."
"iri-software","IRI Software","company","database-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Cited for Express multidimensional database technology."
"prism-solutions","Prism Solutions","company","data-integration-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Representative warehouse loading and preparation utility supplier."
"sap-ag","SAP AG","company","enterprise-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Used as an application-demand signal for SQL throughput growth."
"sgi","Silicon Graphics","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Referenced via MIPS processor dependence and strong SMP scalability."
"thinking-machines","Thinking Machines Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Named as an early MPP example in text retrieval."
"cray-research","Cray Research, Inc.","company","supercomputing","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Mentioned as moving into Wall Street analytics markets."
"icl","ICL","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Referenced for Goldrush query-parallelization operating system features."
"convex-computer","Convex Computer","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","1994-surfing-the-parallel-architectures--c52d66","Mentioned dismissively in HP's MPP discussion."
