"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"groupware","Groupware / workgroup collaboration","application","(multi)","1980s-1990s","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Umbrella category for messaging, scheduling, conferencing, document handling, workflow, and shared databases."
"oracle-interoffice","Oracle InterOffice","application","oracle-corporation","1990s","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Oracle's featured collaboration product, positioned as server-centric, extensible, and internet-aware."
"lotus-notes","Lotus Notes / ccMail","application","lotus-development","1990s","mature","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Installed-base benchmark and implied market leader in traditional groupware."
"groupwise","Novell GroupWise","application","novell","1990s","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Novell collaboration platform cited for seat count and strategic uncertainty."
"intranet","Intranet","protocol","(standard)","1990s-present","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Presented as the internal web layer that would spread collaboration across enterprises."
"internet-web","Internet / World Wide Web","protocol","(standard)","1990s-present","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Presented as the backbone for future worldwide collaboration and external connectivity."
"oracle-rdbms","Oracle RDBMS (Oracle7)","application","oracle-corporation","1979-present","mature","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Repository layer under InterOffice; described as robust, proven, and scalable."
"olap","Online Analytical Processing (OLAP)","application","(multi)","1990s-present","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Cited as one of the higher-value analytical capabilities that InterOffice could leverage through integration."
"mapi","Messaging Application Programming Interface (MAPI)","protocol","microsoft-corporation","1990s-present","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Standards-based interoperability layer mentioned in the architecture discussion."
"workflow-software","Workflow software","application","(multi)","1990s-present","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Key groupware function tied to automation, reduced clerical work, and custom application enablement."
"context","Oracle ConText","application","oracle-corporation","1990s","growth","[DEFERRED]","1996-oracle-interoffice-workgroup-collab-4e68a3","Referenced in the notes as a complementary Oracle technology that strengthens InterOffice integration."
