"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","technology-research","acquired","Harte-Hanks -> Aberdeen standalone brand","1988-2014","1998-enterprise-application-integration-advanced-techno-71496c","One Boston Place Boston MA; second EAI report of 1998"
"peter-kastner","Peter S. Kastner","person","technology-research","active","","1980s-present","1998-enterprise-application-integration-advanced-techno-71496c","Aberdeen Group senior analyst; co-author of this report"
"ed-black","Ed Black","person","technology-research","unknown","","1990s","1998-enterprise-application-integration-advanced-techno-71496c","Aberdeen Group analyst; co-author of this report"
"jeanine-fournier","Jeanine Fournier","person","technology-research","unknown","","1990s","1998-enterprise-application-integration-advanced-techno-71496c","Aberdeen Group analyst; co-author of this report"
"active-software","Active Software Inc.","company","EAI-software","acquired","webMethods -> Software AG -> IBM","1994-2000","1998-enterprise-application-integration-advanced-techno-71496c","EAI pioneer; acquired by webMethods for $1.3B in 2000; webMethods acquired by Software AG for $546M in 2007; IBM acquired webMethods from Software AG in 2024"
"tibco-software","TIBCO Software Inc.","company","EAI-middleware","acquired","Vista Equity Partners -> Cloud Software Group","1997-present","1998-enterprise-application-integration-advanced-techno-71496c","EAI/middleware leader; IPO July 1999 raising $109.5M; acquired by Vista Equity Partners for $4.3B in 2014; merged with Citrix into Cloud Software Group 2022"
"crossworld-software","CrossWorld Software","company","EAI-software","acquired","IBM","1994-2001","1998-enterprise-application-integration-advanced-techno-71496c","EAI process integration; acquired by IBM in 2001"
"new-era-of-networks","New Era of Networks (NEON)","company","EAI-software","acquired","Sybase -> SAP","1993-2001","1998-enterprise-application-integration-advanced-techno-71496c","EAI middleware; acquired by Sybase; Sybase later acquired by SAP"
"tsi-software","TSI Software","company","EAI-software","acquired","Mercator Software -> Sterling Commerce -> IBM","1987-2001","1998-enterprise-application-integration-advanced-techno-71496c","Data transformation and EAI; became Mercator Software; acquired by Sterling Commerce; IBM acquired Sterling Commerce 2010"
"crossroute-software","CrossRoute Software","company","EAI-software","acquired","unknown","1996-2001","1998-enterprise-application-integration-advanced-techno-71496c","EAI workflow routing; outcome uncertain; likely acquired or dissolved during dot-com consolidation"
"oberon-software","Oberon Software Inc.","company","EAI-software","dissolved","unknown","1995-2002","1998-enterprise-application-integration-advanced-techno-71496c","Early EAI vendor; likely dissolved during post-dot-com consolidation"
"webmethods","webMethods Inc.","company","EAI-software","acquired","Software AG -> IBM","1996-2024","1998-enterprise-application-integration-advanced-techno-71496c","Not profiled in original report but acquired Active Software; acquired by Software AG 2007 for $546M; IBM acquired from Software AG in 2024"
"sap","SAP SE","company","enterprise-software","active","","1972-present","1998-enterprise-application-integration-advanced-techno-71496c","Referenced as enterprise business application vendor driving EAI demand"
"oracle-corporation","Oracle Corporation","company","enterprise-software","active","","1977-present","1998-enterprise-application-integration-advanced-techno-71496c","Referenced as database and EBA vendor in EAI context"
