"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"1998-pc-impact-and-metadata-e2a169.001","1998-pc-impact-and-metadata-e2a169","sun-microsystems","data-mining","market-data","1998","max_cpu_clock_mhz","450","high","ingest-extraction","cited","1","Intel product introductions now up to 450MHz in speed.",""
"1998-pc-impact-and-metadata-e2a169.002","1998-pc-impact-and-metadata-e2a169","microsoft","","market-data","1998","sub_1000_pc_adoption","increasing","medium","outcome-linkage","qual","1","IS executives captivated by sub-$1,000 PC siren song for corporate buying.",""
"1998-pc-impact-and-metadata-e2a169.003","1998-pc-impact-and-metadata-e2a169","microsoft","","market-data","1998","orgs_lagging_new_cpus","true","medium","ingest-extraction","qual","1","Many organizations in 1998 lagging behind Intel new product introductions.",""
"1998-pc-impact-and-metadata-e2a169.004","1998-pc-impact-and-metadata-e2a169","","oltp-online-transaction-processing","benchmark-result","1995","typical_desktop_clock_mhz","150","high","ingest-extraction","cited","1","Three years ago a new desktop PC would typically run at 150 MHz.",""
"1998-pc-impact-and-metadata-e2a169.005","1998-pc-impact-and-metadata-e2a169","","oltp-online-transaction-processing","benchmark-result","1995","typical_desktop_ram_mb","32","high","ingest-extraction","cited","1","Generous 32MB of main memory was standard three years ago.",""
"1998-pc-impact-and-metadata-e2a169.006","1998-pc-impact-and-metadata-e2a169","","oltp-online-transaction-processing","market-data","1995","volume_pc_cost_usd","2000","high","ingest-extraction","cited","1","PC cost in volume was over $2,000 per unit in 1995.",""
"1998-pc-impact-and-metadata-e2a169.007","1998-pc-impact-and-metadata-e2a169","","oltp-online-transaction-processing","technology-assessment","1995","performance_with_32mb","acceptable","high","outcome-linkage","qual","1","Performance quite acceptable with 32MB but barely adequate with 16MB.",""
"1998-pc-impact-and-metadata-e2a169.008","1998-pc-impact-and-metadata-e2a169","","windows-nt","technology-assessment","1998","performance_rating","just-adequate","high","ingest-extraction","internal","1","233 MHz Pentium II with 32MB becoming just adequate; everything older struggling.",""
"1998-pc-impact-and-metadata-e2a169.009","1998-pc-impact-and-metadata-e2a169","digital-equipment-corporation","","benchmark-result","1998","virtual_memory_usage_mb","60","high","ingest-extraction","internal","1","Virtual memory usage on author's own PC about 60 MB.",""
"1998-pc-impact-and-metadata-e2a169.010","1998-pc-impact-and-metadata-e2a169","","","technology-assessment","1998","min_adequate_ram_mb","64","medium","ingest-extraction","inferred","1","32 MB now too little given 60 MB virtual memory usage observed.",""
"1998-pc-impact-and-metadata-e2a169.011","1998-pc-impact-and-metadata-e2a169","digital-equipment-corporation","","expert-opinion","1998","target_asset_life_years","3-5","high","outcome-linkage","internal","1","Aberdeen's own PC planning demands a 3-5 year asset life.",""
"1998-pc-impact-and-metadata-e2a169.012","1998-pc-impact-and-metadata-e2a169","netscape-communications","sun-ultrasparc","viability-prediction","1998","predicted_release_year","2000","medium","ingest-extraction","qual","1","Windows NT 5.0 upgrade expected in 2000. Actually released as Windows 2000 in Feb 2000.",""
"1998-pc-impact-and-metadata-e2a169.013","1998-pc-impact-and-metadata-e2a169","netscape-communications","predictive-analytics","viability-prediction","1998","predicted_release_year","1999","verified","outcome-linkage","qual","1","Office 2000 expected in 1999. Actually released June 1999.",""
"1998-pc-impact-and-metadata-e2a169.014","1998-pc-impact-and-metadata-e2a169","netscape-communications","groupware","viability-prediction","1998","predicted_release_year","1999","verified","outcome-linkage","qual","1","Internet Explorer 5.0 expected in 1999. Actually released March 1999.",""
"1998-pc-impact-and-metadata-e2a169.015","1998-pc-impact-and-metadata-e2a169","sun-microsystems","data-mining","expert-opinion","1998","recommended_cpu_mhz","400","high","outcome-linkage","qual","1","Recommended 400 MHz Pentium II for knowledge workers.",""
"1998-pc-impact-and-metadata-e2a169.016","1998-pc-impact-and-metadata-e2a169","","","expert-opinion","1998","recommended_ram_mb","128","high","ingest-extraction","qual","1","Recommended 128 MB of memory for knowledge worker desktops.",""
"1998-pc-impact-and-metadata-e2a169.017","1998-pc-impact-and-metadata-e2a169","","","expert-opinion","1998","recommended_monitor_inches","17","high","ingest-extraction","qual","1","Recommended 17-inch monitor for knowledge worker desktops.",""
"1998-pc-impact-and-metadata-e2a169.018","1998-pc-impact-and-metadata-e2a169","","data-mining","market-data","1998","recommended_config_cost_usd","1800-2000","high","ingest-extraction","cited","1","Recommended configuration costs between $1,800 and $2,000 in late 1998.",""
"1998-pc-impact-and-metadata-e2a169.019","1998-pc-impact-and-metadata-e2a169","sun-microsystems","data-mining","market-data","1998","cost_trend_3mo","decreasing","medium","ingest-extraction","qual","1","Author notes recommended config will cost less in three months.",""
"1998-pc-impact-and-metadata-e2a169.020","1998-pc-impact-and-metadata-e2a169","netscape-communications","","technology-assessment","1998","ms_intel_1999_min_cpu_mhz","300","high","ingest-extraction","cited","1","Microsoft-Intel 1999 PC Standard calls for minimum 300 MHz CPU.",""
"1998-pc-impact-and-metadata-e2a169.021","1998-pc-impact-and-metadata-e2a169","netscape-communications","","technology-assessment","1998","ms_intel_1999_min_ram_mb","32","high","outcome-linkage","cited","1","Microsoft-Intel 1999 PC Standard calls for minimum 32 MB of memory.",""
"1998-pc-impact-and-metadata-e2a169.022","1998-pc-impact-and-metadata-e2a169","","","market-data","1998","home_pc_volume_price_usd","1000","high","ingest-extraction","cited","1","Home computers selling for around $1,000 in volume.",""
"1998-pc-impact-and-metadata-e2a169.023","1998-pc-impact-and-metadata-e2a169","digital-equipment-corporation","","benchmark-result","1998","desktop_software_stack","Win95-OSR2/Win98;TCP/IP;NetBEUI;Office97;IE4;Outlook98;SNMP;antivirus","high","outcome-linkage","internal","1","Detailed software stack running on Aberdeen Group desktops in 1998.",""
"1998-pc-impact-and-metadata-e2a169.024","1998-pc-impact-and-metadata-e2a169","","","benchmark-result","1998","intranet_extranet_load","increasing","medium","ingest-extraction","qual","1","Intranet, Internet, Extranet support including background updates consuming MIPS.",""
"1998-pc-impact-and-metadata-e2a169.025","1998-pc-impact-and-metadata-e2a169","","","benchmark-result","1998","email_volume_trend","tidal-wave","medium","ingest-extraction","qual","1","Tidal wave of electronic mail consuming resources.",""
"1998-pc-impact-and-metadata-e2a169.026","1998-pc-impact-and-metadata-e2a169","","","benchmark-result","1998","network_connections","increasing","medium","outcome-linkage","qual","1","Numerous shared-access network connections to workgroup data and applications.",""
"1998-pc-impact-and-metadata-e2a169.027","1998-pc-impact-and-metadata-e2a169","","","benchmark-result","1998","systems_management_overhead","increasing","medium","ingest-extraction","qual","1","Desktop systems management capability consuming background resources.",""
"1998-pc-impact-and-metadata-e2a169.028","1998-pc-impact-and-metadata-e2a169","","corba-common-object-request-broker-architecture","viability-prediction","1998","celeron_for_corporate_use","not-recommended","high","ingest-extraction","qual","1","Kastner considered Celeron-class PCs but rejected them as false economy.",""
"1998-pc-impact-and-metadata-e2a169.029","1998-pc-impact-and-metadata-e2a169","","corba-common-object-request-broker-architecture","actual-outcome","2026","celeron_brand_status","active-budget-line","high","ingest-extraction","retro","","Celeron brand continues as Intel budget line. Sub-$1000 PCs became fully viable for corporate use.",""
"1998-pc-impact-and-metadata-e2a169.030","1998-pc-impact-and-metadata-e2a169","","data-mining","actual-outcome","2026","pentium_ii_status","obsolete","high","ingest-extraction","retro","","Pentium II replaced by Pentium III (1999), Pentium 4, Core series. Intel remains x86 market leader.",""
"1998-pc-impact-and-metadata-e2a169.031","1998-pc-impact-and-metadata-e2a169","","metadata-management","actual-outcome","2026","windows_95_status","obsolete","high","ingest-extraction","retro","","Windows 95/98 succeeded by Windows 2000, XP, Vista, 7, 8, 10, 11.",""
"1998-pc-impact-and-metadata-e2a169.032","1998-pc-impact-and-metadata-e2a169","digital-equipment-corporation","","actual-outcome","2008","aberdeen_group_status","acquired","high","ingest-extraction","retro","","Aberdeen Group acquired by Harte-Hanks 2008, later Spiceworks Ziff Davis.",""
"1998-pc-impact-and-metadata-e2a169.033","1998-pc-impact-and-metadata-e2a169","","","actual-outcome","2026","sub_1000_corporate_viability","validated","high","ingest-extraction","retro","","Moore's Law eventually made sub-$1,000 PCs powerful enough for corporate use, invalidating Kastner's core premise.",""
"1998-pc-impact-and-metadata-e2a169.034","1998-pc-impact-and-metadata-e2a169","","","viability-prediction","1998","software_bloat_trend","increasing","high","ingest-extraction","qual","1","Prediction that software demands would continue growing. Proved correct.",""
"1998-pc-impact-and-metadata-e2a169.035","1998-pc-impact-and-metadata-e2a169","","microsoft-backoffice","actual-outcome","2026","netbeui_status","obsolete","high","ingest-extraction","retro","","NetBEUI removed from Windows Vista onward. TCP/IP became sole standard.",""
"1998-pc-impact-and-metadata-e2a169.036","1998-pc-impact-and-metadata-e2a169","","TECH-015","actual-outcome","2026","10mbps_lan_status","obsolete","high","outcome-linkage","retro","","10 Mbps Ethernet succeeded by 100Mbps, 1Gbps, 10Gbps.",""
"1998-pc-impact-and-metadata-e2a169.037","1998-pc-impact-and-metadata-e2a169","","","viability-prediction","1998","welded_case_model","recommended","high","ingest-extraction","qual","1","Aberdeen's welded-case model: buy more than needed, avoid hardware upgrades. Anticipated sealed device trend.",""
"1998-pc-impact-and-metadata-e2a169.038","1998-pc-impact-and-metadata-e2a169","","","actual-outcome","2026","welded_case_prediction","partially-validated","medium","ingest-extraction","retro","","Sealed non-upgradeable devices became standard (MacBook, Surface, ultrabooks) but for different reasons than Kastner predicted.",""
"1998-pc-impact-and-metadata-e2a169.039","1998-pc-impact-and-metadata-e2a169","","TECH-016","technology-assessment","1998","486_with_current_sw","unusable","high","outcome-linkage","qual","1","Rhetorical reference: have you tried a 486 PC with today's software lately?",""
"1998-pc-impact-and-metadata-e2a169.040","1998-pc-impact-and-metadata-e2a169","sun-microsystems","","market-data","1998","intel_cpu_clock_doubling","true","medium","ingest-extraction","cited","1","Buyers seeing twice the CPU clock speed of a couple of years ago.",""
"1998-pc-impact-and-metadata-e2a169.041","1998-pc-impact-and-metadata-e2a169","","","market-data","1998","memory_doubling","true","medium","outcome-linkage","cited","1","Buyers seeing twice the memory of a couple of years ago at bargain prices.",""
