"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"data-mining","Pentium II 400 MHz","processor","Intel","1998","current-generation","obsolete","1998-pc-impact-and-metadata-e2a169","Recommended processor for corporate desktops in this brief. Klamath/Deschutes architecture."
"windows-nt","Pentium II 233 MHz","processor","Intel","1997","previous-generation","obsolete","1998-pc-impact-and-metadata-e2a169","Cited as becoming 'just adequate' for corporate desktop workloads by late 1998."
"corba-common-object-request-broker-architecture","Celeron","processor","Intel","1998","current-generation","active","1998-pc-impact-and-metadata-e2a169","Budget processor line. Kastner considered but rejected for corporate use. Brand still exists for budget Intel CPUs."
"metadata-management","Windows 95","operating-system","Microsoft","1995","current-generation","obsolete","1998-pc-impact-and-metadata-e2a169","Running on Aberdeen desktops as OSR2 variant. Succeeded by Windows 98, then Windows 2000/XP."
"massively-parallel-processing","Windows 98","operating-system","Microsoft","1998","current-generation","obsolete","1998-pc-impact-and-metadata-e2a169","Running on some Aberdeen desktops. Released June 1998."
"sun-ultrasparc","Windows NT 5.0","operating-system","Microsoft","1998","pre-release","obsolete","1998-pc-impact-and-metadata-e2a169","Referenced as future upgrade target. Released as Windows 2000 in February 2000."
"db2","Office 97","productivity-suite","Microsoft","1997","current-generation","obsolete","1998-pc-impact-and-metadata-e2a169","In use on Aberdeen desktops. Part of the increasing resource consumption trend."
"predictive-analytics","Office 2000","productivity-suite","Microsoft","1998","pre-release","obsolete","1998-pc-impact-and-metadata-e2a169","Referenced as future software requiring the recommended hardware. Released June 1999."
"business-intelligence","Internet Explorer 4.0","web-browser","Microsoft","1997","current-generation","obsolete","1998-pc-impact-and-metadata-e2a169","In use on Aberdeen desktops. Succeeded by IE5 through IE11, then Microsoft Edge."
"groupware","Internet Explorer 5.0","web-browser","Microsoft","1998","pre-release","obsolete","1998-pc-impact-and-metadata-e2a169","Referenced as future software target. Released March 1999."
"digital-unix-tru64","Outlook 98","email-client","Microsoft","1998","current-generation","obsolete","1998-pc-impact-and-metadata-e2a169","Email/PIM client in use at Aberdeen. Evolved into Outlook 2000 and beyond."
"openvms","TCP/IP","network-protocol","open-standard","1983","mature","active","1998-pc-impact-and-metadata-e2a169","Network protocol in use at Aberdeen. Remains foundational internet protocol."
"microsoft-backoffice","NetBEUI","network-protocol","Microsoft","1985","mature","obsolete","1998-pc-impact-and-metadata-e2a169","Network protocol in use at Aberdeen. Removed from Windows Vista onward."
"snmp","SNMP","network-protocol","open-standard","1988","mature","active","1998-pc-impact-and-metadata-e2a169","Used for desktop systems management at Aberdeen. Still active for network management."
"TECH-015","10 Mbps Ethernet","networking","open-standard","1983","mature","obsolete","1998-pc-impact-and-metadata-e2a169","LAN speed referenced for 1995-era desktops. Succeeded by 100Mbps, 1Gbps, 10Gbps."
"TECH-016","486 processor","processor","Intel","1989","legacy","obsolete","1998-pc-impact-and-metadata-e2a169","Referenced as example of obsolescence with current software."
"oltp-online-transaction-processing","150 MHz processor","processor","Intel","1995","previous-generation","obsolete","1998-pc-impact-and-metadata-e2a169","Cited as typical new desktop speed three years prior (1995)."
