"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"unicenter","CA Unicenter TNG","platform","Computer Associates","1993-2005","current","legacy","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Enterprise IT management platform; conference host product"
"intranet-web","Corporate Intranet / Web Infrastructure","platform","various","1994-2005","current","legacy-superseded","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Replacing NOS; Forrester predicted 95% Fortune 1000 adoption by 2000"
"fddi","FDDI (Fiber Distributed Data Interface)","protocol","various","1987-2000","mature","obsolete","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Used in new-breed enterprise mainframe ring topology diagram"
"java-html","Java & HTML (web application layer)","language","Sun Microsystems","1995-present","current","active","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Shown in supplier connectivity and web application server tiers"
"iiop-corba","IIOP / CORBA (middleware)","protocol","OMG","1994-2002","current","obsolete","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Inter-ORB protocol shown in web/client-server integration slide"
"oltp-systems","OLTP (Online Transaction Processing)","platform","various","1960-present","current","active","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Insurance industry case study; enterprise superserver workload"
"data-warehousing","Data Warehousing","platform","various","1990-present","current","active","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Great idea, hard to implement; transformation and replication flows"
"ingres-ii","Ingres II","application","Computer Associates","1992-2006","current","legacy","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","CA database product shown in web/client-server integration slide"
"jasmine","Jasmine (object-oriented database)","application","Computer Associates","1997-2005","current","legacy","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","CA OODB shown in integration architecture slide"
"compaq-proliant-4000","Compaq ProLiant 4000 Server","platform","Compaq","1996-2002","current","obsolete","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","125 units shown as new-breed enterprise mainframe cluster"
"dce-dme","DCE/DME (Distributed Computing Environment)","protocol","OSF","1991-1998","legacy","obsolete","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Aberdeen rated standards-based infrastructure: Remember DCE DME & OSI?"
"osi-standards","OSI Network Standards","protocol","ISO","1984-1998","legacy","obsolete","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","Referenced as cautionary example of incomplete standards"
