"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"software-ag","Software AG","company","enterprise-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Deck audience; referred to as SAGA or SAG NA in the presentation."
"aberdeen-group","Aberdeen Group","firm","IT-market-research","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Research firm credited throughout the deck."
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Author and presenter; listed as Chief Research Officer of Aberdeen Group."
"ibm-corporation","IBM Corporation","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Named as a major vendor focused on the insurance market."
"hewlett-packard","Hewlett-Packard Company","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Named as a major vendor focused on the insurance market."
"sun-microsystems","Sun Microsystems Inc.","company","computer-systems","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Named as a major vendor focused on the insurance market."
"sap-ag","SAP AG","company","enterprise-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Named as a major vendor focused on the insurance market."
"microsoft-corporation","Microsoft Corporation","company","software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Named as both an insurance-market competitor and a middleware rival."
"citibank","Citibank","company","banking","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Cited in the bank-insurance convergence example on slide 6."
"travelers","Travelers","company","insurance","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Cited in the Citibank/Travelers merger example on slide 6."
"agena","Agena","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Property & Casualty partner possibility."
"ams-insurance","AMS","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Property & Casualty partner possibility."
"applied-systems","Applied Systems","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Property & Casualty partner possibility as 'Applied'."
"prc","PRC","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Property & Casualty partner possibility."
"allenbrook","Allenbrook","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Property & Casualty partner possibility."
"pmsc","PMSC","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Property & Casualty partner possibility."
"continuum-insurance","Continuum","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Life partner possibility."
"cybertek","Cybertek","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Life partner possibility."
"fdp","FDP","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Life partner possibility."
"ez-data","EZ Data","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Life partner possibility."
"sterling-wentworth","Sterling Wentworth","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Life partner possibility."
"ecta","ECTA","company","insurance-software","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as a Life partner possibility."
"andersen-consulting","Andersen Consulting LLP","firm","IT-consulting","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as an integration partner possibility as 'Andersen'."
"deloitte-touche","Deloitte & Touche","firm","professional-services","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as an integration partner possibility."
"eds","Electronic Data Systems (EDS)","company","IT-services","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as an integration partner possibility."
"mci-shl","MCI SHL","company","IT-services","[DEFERRED]","[DEFERRED]","[DEFERRED]","199x-us-insurance-industry-overview-saga-6ce857","Listed as an integration partner possibility."
