"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"mvs","IBM MVS","platform","ibm-corporation","1974-2000","mature","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; classified as living on slide 1."
"as400","IBM AS/400 / OS/400","platform","ibm-corporation","1988-2000","mature","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Canonical as400 reused; OS/400 mention mapped to AS/400 platform family."
"aix","IBM AIX","platform","ibm-corporation","1986-2000","mature","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; classified as living on slide 1."
"hp-ux","HP-UX","platform","hewlett-packard","1984-2000","mature","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; classified as living on slide 1."
"solaris","Sun Solaris","platform","sun-microsystems","1992-2000","mature","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Canonical solaris reused; classified as living on slide 1."
"windows-nt","Microsoft Windows NT","platform","microsoft-corporation","1993-2000","growth","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Canonical windows-nt reused; classified as living on slide 1."
"system-3x","IBM System/3X","platform","ibm-corporation","1979-1990s","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; classified as dead on slide 2."
"ibm-308x-309x","IBM 308x/309x mainframe family","platform","ibm-corporation","1981-1990s","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; grouped family from slide 2."
"vm-os","IBM VM operating system","platform","ibm-corporation","1972-2000","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; listed with 308x/309x mainframes on slide 2."
"hp-3000","HP 3000 (MPE)","platform","hewlett-packard","1972-2000","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Canonical hp-3000 reused; source slide specifies MPE."
"bull-6000","Bull 6000","platform","bull","1970s-1990s","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; classified as dead on slide 2."
"dg-eclipse","Data General Eclipse","platform","data-general","1974-1990s","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; classified as dead on slide 2."
"ibm-vse","IBM VSE","platform","ibm-corporation","1970s-2000","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; customers described as wounded on slide 3."
"unisys-2200","Unisys 2200","platform","unisys-corporation","1986-2000","mature","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; paired with Link & Mapper on slide 3."
"unisys-a-series","Unisys A Series","platform","unisys-corporation","1986-2000","mature","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; paired with Link & Mapper on slide 3."
"wang-vs","Wang VS","platform","wang-laboratories","1976-1990s","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; referenced through Wang VS applications on slide 3."
"manman","ManMan","application","","1970s-2000","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; legacy manufacturing application called out as wounded."
"mapics-copics","MAPICS / COPICS","application","","1970s-2000","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; grouped manufacturing application families on slide 3."
"ssa-bpcs","SSA BPCS","application","ssa","1980s-2000","declining","[DEFERRED]","199x-y2k-live-dead-wounded-platforms-835ea1","Minted per extraction guidance; source slide spells BPICS, normalized here to BPCS slug per task guidance."
