"code_id","code_type","label","definition"
"calc","methodology","Calculated/Derived","Value calculated or derived by the study authors from underlying data, cost models, or industry benchmarks"
"vendor","methodology","Vendor-Provided","Data provided by the vendor (Dell) including pricing, service specifications, and program details"
"est","methodology","Estimated/Projected","Estimated or projected value based on trend analysis, market research, or forecasting models"
"qual","methodology_code","Qualitative Analysis","Expert judgment, interview-based findings, and qualitative interpretation of survey data and industry trends"
"rec","methodology","Recommendation","Prescriptive recommendation from the study authors for enterprise strategy or process"
"meas","methodology","Measured/Empirical","Directly measured or empirically observed value from testing or benchmarking"
"news","methodology","News/Reported Event","Publicly reported incident or event cited as evidence in the study"
"retro","methodology","Retrospective Validation","Post-hoc assessment of prediction accuracy performed during archival ingest, comparing study predictions to known outcomes"
"reg","methodology","Regulatory/Legal","Information derived from legislation, regulation, or legal requirements"
"mktdata","methodology","Market Data","Published market data including pricing, volumes, and industry statistics"
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
