"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"2003-dell-asset-recovery-services-white--142827-OBS-001","2003-dell-asset-recovery-services-white--142827","dell-computer","","strategy-classification","2003","Dell ARS program scope","Comprehensive IT asset recovery: refurbishment + data destruction + parts recovery + recycling + Plug Into Recycling for small volumes","high","ingest-extraction","expert-opinion","p.1","Dell ARS positions as trustworthy single-vendor solution for entire IT asset end-of-life process",""
"2003-dell-asset-recovery-services-white--142827-OBS-002","2003-dell-asset-recovery-services-white--142827","","pentium-iii-pc","market-data","2003","IT equipment depreciation rate","9.6% per month based on resale/recycling value","high","ingest-extraction","statistical-analysis","p.2","Rapid depreciation curve means delay in disposal erodes residual value significantly",""
"2003-dell-asset-recovery-services-white--142827-OBS-003","2003-dell-asset-recovery-services-white--142827","","pentium-iii-pc","market-data","2003","Annual storage and depreciation cost for 36-month-old Pentium III PC","$368 per PC per year","high","ingest-extraction","statistical-analysis","p.2","Includes storage space costs plus continued depreciation value loss",""
"2003-dell-asset-recovery-services-white--142827-OBS-004","2003-dell-asset-recovery-services-white--142827","","pentium-iii-pc","benchmark-result","2003","Do-it-yourself disposal cost per PC","At least $387 per PC for proper do-it-yourself disposal","high","ingest-extraction","statistical-analysis","p.3","Includes staff time + data destruction + logistics + environmental disposal fees",""
"2003-dell-asset-recovery-services-white--142827-OBS-005","2003-dell-asset-recovery-services-white--142827","dell-computer","dell-ars","benchmark-result","2003","Dell ARS disposal cost per unit","$49 per unit plus $30 for packing and moving","high","ingest-extraction","statistical-analysis","p.3","Dell ARS vs DIY: $79 total (Dell) vs $387 (DIY) — approximately 5x cost advantage for outsourced solution",""
"2003-dell-asset-recovery-services-white--142827-OBS-006","2003-dell-asset-recovery-services-white--142827","","pentium-iii-pc","market-data","2003","Disposal costs as percentage of initial PC acquisition cost","Can exceed 25% of initial PC acquisition cost; up to 32% for $1,200 PC and monitor","high","ingest-extraction","statistical-analysis","p.3","Supports Green TCO model argument — disposal must be included in total cost from purchase",""
"2003-dell-asset-recovery-services-white--142827-OBS-007","2003-dell-asset-recovery-services-white--142827","","dell-ars","market-data","2003","Annual savings for enterprise with 3000-PC disposal program","Over $1 million per year savings with asset recovery program","high","ingest-extraction","statistical-analysis","p.4","Based on comparison of DIY vs Dell ARS costs at scale; drives ROI argument for enterprise adoption",""
"2003-dell-asset-recovery-services-white--142827-OBS-008","2003-dell-asset-recovery-services-white--142827","","pentium-iii-pc","expert-opinion","2003","Obsolete IT equipment storage risk","Storing aging IT equipment creates financial liability (depreciation + storage) plus legal liability (data breach risk)","high","ingest-extraction","expert-opinion","p.2","Financial + legal + environmental risks compound as equipment ages; disposal inaction is costly",""
"2003-dell-asset-recovery-services-white--142827-OBS-009","2003-dell-asset-recovery-services-white--142827","dell-computer","data-destruction-software","technology-assessment","2003","Data destruction requirement for disposal","Enterprises must ensure secure data destruction (DoD standard) before disposal to protect sensitive data","high","ingest-extraction","expert-opinion","p.3","Data breach risk from improperly disposed PCs; hard drive wipe or destruction required; Dell ARS includes certified data destruction",""
"2003-dell-asset-recovery-services-white--142827-OBS-010","2003-dell-asset-recovery-services-white--142827","","dell-ars","expert-opinion","2003","Environmental regulation driving urgency","Environmental regulations governing e-waste are proliferating; enterprises face penalties for improper disposal of hazardous materials (lead, cadmium, mercury) in PCs","high","ingest-extraction","expert-opinion","p.2-3","Predates EU WEEE Directive 2003 implementation; US state-level regulations emerging; proper disposal critical to avoid liability",""
"2003-dell-asset-recovery-services-white--142827-OBS-011","2003-dell-asset-recovery-services-white--142827","","pentium-iii-pc","strategy-classification","2003","Recommended enterprise policy","Integrate disposal costs into total cost of ownership models from point of acquisition; act swiftly to maximize residual value","high","ingest-extraction","expert-opinion","p.4-5","Green TCO model recommendation: disposal cost = part of true equipment cost from day 1",""
"2003-dell-asset-recovery-services-white--142827-OBS-012","2003-dell-asset-recovery-services-white--142827","dell-computer","dell-ars","viability-prediction","2003","Dell ARS as industry best practice","Dell ARS will become a model for secure compliant cost-effective IT asset disposition; enterprises adopting proactive asset recovery strategies will save millions","verified","outcome-linkage","expert-opinion","p.5","Formal recommendation and prediction embedded in white paper; serves as investment case for Dell ARS program",""
