entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
ENT-001,Aberdeen Group,research-firm,technology-research,acquired,Spiceworks Ziff Davis,1988-2018,2003-iha-full-report---draft-jul-28-45d5bd,"Boston-based technology research firm; acquired by Harte-Hanks in 2007, later by Spiceworks Ziff Davis"
ENT-002,Internet Home Alliance,trade-association,consumer-electronics,dissolved,,2000-2010,2003-iha-full-report---draft-jul-28-45d5bd,Trade association of companies involved in digital home electronics; commissioned this study
ENT-003,SD Association,standards-body,consumer-electronics,active,,2000-present,2003-iha-full-report---draft-jul-28-45d5bd,Industry consortium promoting and developing SD card standards; originally referenced as SD Card Association
ENT-004,Best Buy,retailer,consumer-electronics,active,,1966-present,2003-iha-full-report---draft-jul-28-45d5bd,Major consumer electronics retailer cited as expected SD card distribution channel
ENT-005,Circuit City,retailer,consumer-electronics,defunct,,1949-2009,2003-iha-full-report---draft-jul-28-45d5bd,Consumer electronics retailer; filed for bankruptcy in 2008 and liquidated in 2009
ENT-006,Target,retailer,mass-merchant,active,,1962-present,2003-iha-full-report---draft-jul-28-45d5bd,Mass merchant retailer cited as expected SD card distribution channel
ENT-007,Wal-Mart,retailer,mass-merchant,active,,1962-present,2003-iha-full-report---draft-jul-28-45d5bd,Mass merchant retailer cited as expected SD card distribution channel
ENT-008,Sony,manufacturer,consumer-electronics,active,,1946-present,2003-iha-full-report---draft-jul-28-45d5bd,Manufacturer of Memory Stick format; respondents using Sony products were most brand-aware
ENT-009,SanDisk,manufacturer,semiconductors,acquired,Western Digital,1988-2016,2003-iha-full-report---draft-jul-28-45d5bd,Co-developer of SD card standard; acquired by Western Digital in 2016
ENT-010,Hewlett-Packard,manufacturer,technology,active,,1939-present,2003-iha-full-report---draft-jul-28-45d5bd,Referenced as HP Media Center PC manufacturer with memory card capability
ENT-011,Palm Inc.,manufacturer,mobile-computing,defunct,,1992-2012,2003-iha-full-report---draft-jul-28-45d5bd,PDA manufacturer; Palm Pilots frequently mentioned by respondents. Acquired by HP in 2010
ENT-012,Costco,retailer,warehouse-club,active,,1983-present,2003-iha-full-report---draft-jul-28-45d5bd,Warehouse club retailer mentioned as SD card distribution channel
ENT-013,AOL,internet-service,technology,diminished,,1985-present,2003-iha-full-report---draft-jul-28-45d5bd,Referenced in analogy for SD card promotional mailings similar to AOL CD campaigns
ENT-014,Kazaa,software-company,peer-to-peer,defunct,,2001-2012,2003-iha-full-report---draft-jul-28-45d5bd,Peer-to-peer file sharing service mentioned by respondents downloading music
ENT-015,Apple,manufacturer,consumer-electronics,active,,1976-present,2003-iha-full-report---draft-jul-28-45d5bd,Referenced via Mac computers and iTunes/iPod ecosystem mentioned by respondents
