"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired-by-harte-hanks","Harte-Hanks -> Spiceworks Ziff Davis","1988-2014","2003-sars-electronics-supply-chain-ec0375","Kastner co-founder and CRO; Craig senior analyst. Boston HQ."
"peoples-republic-of-china","People's Republic of China (PRC)","institution","nation-state","active","","1949-","2003-sars-electronics-supply-chain-ec0375","Subject: 37% share of 2002 semi consumption; origin of SARS outbreak."
"semiconductor-industry-association","Semiconductor Industry Association (SIA)","firm","industry-trade-group","active","","1977-","2003-sars-electronics-supply-chain-ec0375","Data source for 2002/2003 semi consumption figures."
"compal","Compal Electronics","company","PC-manufacturing","active","","1984-","2003-sars-electronics-supply-chain-ec0375","Major Taiwanese ODM for Dell and HP laptops."
"sunplus-technologies","Sunplus Technologies","company","semiconductors","active","","1990-","2003-sars-electronics-supply-chain-ec0375","Taiwanese SoC/IC designer; barred employee travel to PRC/HK."
"motorola","Motorola","company","consumer-electronics","split-2011","Motorola Solutions / Motorola Mobility -> Google -> Lenovo","1928-2011","2003-sars-electronics-supply-chain-ec0375","Temporarily closed Singapore cell-phone plant after 305-worker quarantine."
"intel","Intel Corp.","company","semiconductors","active","","1968-","2003-sars-electronics-supply-chain-ec0375","Craig Barrett (CEO) considered skipping April 2003 IDF due to SARS."
"ati-technologies","ATI Technologies","company","semiconductors","acquired-by-amd-2006","AMD","1985-2006","2003-sars-electronics-supply-chain-ec0375","K.Y. Ho postponed April 1 graphics-processor launch trip due to SARS."
"nvidia","nVidia Corp.","company","semiconductors","active","","1993-","2003-sars-electronics-supply-chain-ec0375","Cited as ATI's competitor in graphics processors."
"sony","Sony Corporation","company","consumer-electronics","active","","1946-","2003-sars-electronics-supply-chain-ec0375","Announced all PlayStation manufacturing moving to PRC; postponed Taiwan procurement conference."
"broadcom","Broadcom","company","semiconductors","active","","1991-","2003-sars-electronics-supply-chain-ec0375","Cited as maintaining applications-engineer teams in the region."
"cirrus-logic","Cirrus Logic","company","semiconductors","active","","1984-","2003-sars-electronics-supply-chain-ec0375","Cited as maintaining applications-engineer teams in the region."
"conexant","Conexant Systems","company","semiconductors","acquired-by-synaptics-2017","Synaptics","1999-2017","2003-sars-electronics-supply-chain-ec0375","Cited as maintaining applications-engineer teams in the region."
"national-semiconductor","National Semiconductor","company","semiconductors","acquired-by-ti-2011","Texas Instruments","1959-2011","2003-sars-electronics-supply-chain-ec0375","Cited as maintaining applications-engineer teams in the region."
"nec","NEC Corporation","company","semiconductors","active","","1899-","2003-sars-electronics-supply-chain-ec0375","Foundry customer of new PRC 8-inch fabs."
"philips-semiconductors","Philips Semiconductors","company","semiconductors","spun-off-2006","NXP Semiconductors","1953-2006","2003-sars-electronics-supply-chain-ec0375","Foundry customer of new PRC 8-inch fabs."
"oki-electric","Oki Electric","company","semiconductors","divested-semi-2008","ROHM Semiconductor (Lapis)","1881-","2003-sars-electronics-supply-chain-ec0375","Foundry customer of new PRC 8-inch fabs."
"elpida-memory","Elpida Memory","company","semiconductors","bankrupt-acquired-by-micron-2013","Micron Technology","1999-2013","2003-sars-electronics-supply-chain-ec0375","Foundry customer of new PRC 8-inch fabs. Spelled 'Elipda' in source."
"infineon","Infineon Technologies","company","semiconductors","active","","1999-","2003-sars-electronics-supply-chain-ec0375","Foundry customer of new PRC 8-inch fabs."
"hong-kong","Hong Kong Special Administrative Region","institution","finance-logistics","active","","1997-","2003-sars-electronics-supply-chain-ec0375","Quarantined 1,000+ people; caseload growing ~100/day; transit hub between Taiwan and PRC."
"taiwan","Republic of China (Taiwan)","institution","nation-state","active","","","2003-sars-electronics-supply-chain-ec0375","48 SARS cases in 5 cities; many Taiwanese firms suspending PRC/HK travel."
