"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"OBS-001","2004-03-intelitaniummfewp11.doc-618d4a","intel","itanium","technology-assessment","2004","performance-vs-xeon","30-100% better than Xeon","high","ingest-extraction","benchmarking","Section I","Intel estimates Itanium 2 has approximately 30 to 100% better performance than Xeon in enterprise and technical applications"
"OBS-002","2004-03-intelitaniummfewp11.doc-618d4a","intel","itanium","viability-prediction","2004","planned-performance-improvement","7x over 3 years","verified","outcome-linkage","industry-analysis","Section I","Intel plans to improve performance of Itanium by more than seven times over the next three years"
"OBS-003","2004-03-intelitaniummfewp11.doc-618d4a","intel","itanium","actual-outcome","2021","itanium-discontinuation","discontinued","verified","ingest-extraction","document-review","","Itanium improved incrementally but never achieved 7x improvement or market dominance; Intel discontinued Itanium in 2021"
"OBS-004","2004-03-intelitaniummfewp11.doc-618d4a","intel","itanium","market-data","2004","application-ecosystem","1000+ key business applications","high","ingest-extraction","industry-analysis","Section I","More than one thousand key business applications support Itanium as of 2003"
"OBS-005","2004-03-intelitaniummfewp11.doc-618d4a","intel","itanium","market-data","2004","platform-implementations","50+ platforms","high","ingest-extraction","industry-analysis","Section I","Itanium implemented on more than 50 platforms"
"OBS-006","2004-03-intelitaniummfewp11.doc-618d4a","intel","itanium","technology-assessment","2004","ia32-execution-layer","50-70% native performance","medium","ingest-extraction","benchmarking","Section I","IA-32 Execution Layer for 32-bit Windows application emulation delivers 50-70% of native Itanium performance"
"OBS-007","2004-03-intelitaniummfewp11.doc-618d4a","intel","itanium","viability-prediction","2004","cost-parity-pledge","Xeon/Itanium cost parity planned","verified","outcome-linkage","industry-analysis","Section I","Intel pledges to achieve cost parity between Xeon and Itanium lines"
"OBS-008","2004-03-intelitaniummfewp11.doc-618d4a","intel","xeon","actual-outcome","2021","xeon-market-dominance","x86-64 won server market","verified","ingest-extraction","document-review","","x86-64 extensions (pioneered by AMD64) made Itanium cost parity moot; Xeon became dominant server processor"
"OBS-009","2004-03-intelitaniummfewp11.doc-618d4a","ibm","ibm-zseries","market-data","2004","linux-on-mainframe-adoption","24%","high","ingest-extraction","statistical-analysis","Section I","24% of mainframe users now have Linux on their mainframes per Aberdeen survey"
"OBS-010","2004-03-intelitaniummfewp11.doc-618d4a","ibm","ibm-zseries","strategy-classification","2004","mainframe-strategy","Discount pricing and capacity-on-demand","high","ingest-extraction","industry-analysis","Section I","IBM increasingly discounting mainframe prices and offering capacity-on-demand flexibility to retain customers"
"OBS-011","2004-03-intelitaniummfewp11.doc-618d4a","microsoft","windows-server","benchmark-result","2004","netbench-linux-vs-wintel","Linux 20% less throughput","medium","outcome-linkage","benchmarking","Section I","Microsoft NetBench benchmark shows single Linux image on mainframe has 20% less throughput than Wintel"
"OBS-012","2004-03-intelitaniummfewp11.doc-618d4a","microsoft","windows-server","benchmark-result","2004","web-server-linux-vs-wintel","Wintel 50%+ better","medium","ingest-extraction","benchmarking","Section I","Wintel Web server performance at least 50% better than Linux on mainframe per Microsoft benchmark"
"OBS-013","2004-03-intelitaniummfewp11.doc-618d4a","microsoft","windows-server","benchmark-result","2004","tco-mainframe-vs-wintel","10-20x greater for mainframe","low","outcome-linkage","benchmarking","Section I","Microsoft claims annual TCO of mainframes is 10-20 times greater than Wintel machine"
"OBS-014","2004-03-intelitaniummfewp11.doc-618d4a","unisys","es7000","market-data","2004","customer-os-standardization","32% standardizing; 56% chose Windows","high","outcome-linkage","field-research","Section I","32% of Unisys customers planned to standardize on single OS; of those, 56% chose Windows"
"OBS-015","2004-03-intelitaniummfewp11.doc-618d4a","","cobol","benchmark-result","2004","migration-volume","2900 programs in 1.25 years","high","outcome-linkage","field-research","Section II","Users migrated all 2900 COBOL programs and all end users over the course of 1.25 years"
"OBS-016","2004-03-intelitaniummfewp11.doc-618d4a","microfocus","cobol","technology-assessment","2004","migration-recompilation-required","no","high","ingest-extraction","field-research","Section II","Micro Focus COBOL and DB2 allowed porting without recompilation"
"OBS-017","2004-03-intelitaniummfewp11.doc-618d4a","","xeon","benchmark-result","2004","performance-vs-mainframe","2x or more on same workload","high","ingest-extraction","field-research","Section II","Users achieved double or more performance on same workload after migration to Intel-based platforms"
"OBS-018","2004-03-intelitaniummfewp11.doc-618d4a","","xeon","benchmark-result","2004","cost-per-mips-improvement","close to order of magnitude","high","ingest-extraction","field-research","Section II","One user cited cost/MIPS improvement of close to an order of magnitude vs mainframe"
"OBS-019","2004-03-intelitaniummfewp11.doc-618d4a","","xeon","benchmark-result","2004","cost-of-ownership-ratio","one-third of mainframe","high","ingest-extraction","field-research","Section II","One user indicated annual cost of ownership with Wintel was one-third that of equivalent mainframes"
"OBS-020","2004-03-intelitaniummfewp11.doc-618d4a","","xeon","benchmark-result","2004","migration-payback-period","3 months","high","ingest-extraction","field-research","Section II","Despite migration costs the payback period was three months"
"OBS-021","2004-03-intelitaniummfewp11.doc-618d4a","","itanium","expert-opinion","2004","cultural-resistance-barrier","Main barrier cited","high","outcome-linkage","field-research","Section II","Cultural resistance was the main barrier to changeover cited by interviewees"
"OBS-022","2004-03-intelitaniummfewp11.doc-618d4a","","itanium","expert-opinion","2004","intel-reliability-concerns","Unfounded per users","high","ingest-extraction","field-research","Section II","No user expressed concerns about Intel solutions in any area except Windows security; reliability concerns proved unfounded"
"OBS-023","2004-03-intelitaniummfewp11.doc-618d4a","amd","opteron","expert-opinion","2004","opteron-readiness-assessment","Less real-world-tested","medium","outcome-linkage","field-research","Section II","AMD 64-bit Opteron technology seen as less real-world-tested by interviewees"
