"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"intel","Intel Corporation","company","Semiconductors","active","","1968-present","2005-fall-idf-schedule-b5e6c4","Host of IDF Fall 2005; subject of analyst engagement."
"vericours","Vericours, Inc.","firm","Industry Analysis","[DEFERRED]","[DEFERRED]","2004-2008","2005-fall-idf-schedule-b5e6c4","Kastner's analyst employer in 2005; address 401 Pine Hill Road Suite 200, Westport MA 02790."
"peter-s-kastner","Peter S. Kastner","person","Industry Analysis","active","","1969-present","2005-fall-idf-schedule-b5e6c4","Attendee; analyst affiliated with Vericours at this time."
"liz-ryon","Liz Ryon","person","Intel Analyst Relations","[DEFERRED]","[DEFERRED]","2000s","2005-fall-idf-schedule-b5e6c4","Intel SAS - Industry Analyst Relations Group, Portland OR (503-264-2059); schedule author."
"paul-otellini","Paul Otellini","person","Intel Leadership","deceased","","1974-2016","2005-fall-idf-schedule-b5e6c4","Intel CEO; delivered opening keynote."
"sean-maloney","Sean Maloney","person","Intel Leadership","active","","1982-present","2005-fall-idf-schedule-b5e6c4","Intel EVP; delivered mobility keynote."
"louis-burns","Louis Burns","person","Intel Leadership","[DEFERRED]","[DEFERRED]","2000s","2005-fall-idf-schedule-b5e6c4","Intel Digital Health Group; delivered digital health keynote."
"pat-gelsinger","Pat Gelsinger","person","Intel Leadership","active","","1979-present","2005-fall-idf-schedule-b5e6c4","Intel CTO at time; delivered Digital Enterprise portion of keynote (later VMware CEO, then Intel CEO 2021-2024)."
"don-macdonald","Don MacDonald","person","Intel Leadership","[DEFERRED]","[DEFERRED]","2000s","2005-fall-idf-schedule-b5e6c4","Intel Digital Home GM; co-presented keynote."
"justin-rattner","Justin Rattner","person","Intel Leadership","active","","1973-present","2005-fall-idf-schedule-b5e6c4","Intel CTO (later); delivered R&D keynote."
"mooly-eden","Mooly Eden","person","Intel Leadership","active","","1983-present","2005-fall-idf-schedule-b5e6c4","Intel VP, Mobility Group; delivered Napa mega-briefing."
"karen-regis","Karen Regis","person","Intel Mobile Platforms","[DEFERRED]","[DEFERRED]","2000s","2005-fall-idf-schedule-b5e6c4","Intel Mobile Platforms Group; 1:1 with Kastner."
"bill-siu","Bill Siu","person","Intel Channel Platforms","[DEFERRED]","[DEFERRED]","2000s","2005-fall-idf-schedule-b5e6c4","Intel CPG/Emerging Markets Strategy briefing presenter."
"stacy-smith","Stacy Smith","person","Intel Leadership","active","","1988-present","2005-fall-idf-schedule-b5e6c4","Intel CIO Roundtable co-host (later Intel CFO)."
"john-johnson","John Johnson","person","Intel Leadership","[DEFERRED]","[DEFERRED]","2000s","2005-fall-idf-schedule-b5e6c4","Intel CIO Roundtable co-host."
"rob-chapman","Rob Chapman","person","Intel Analyst Relations","[DEFERRED]","[DEFERRED]","2000s","2005-fall-idf-schedule-b5e6c4","Intel; delivered Wednesday/Thursday keynote intros."
"nvidia","NVIDIA Corporation","company","Semiconductors","active","","1993-present","2005-fall-idf-schedule-b5e6c4","Scheduled side meeting at W Hotel across from Moscone."
"intel-capital","Intel Capital","firm","Venture Capital","active","","1991-present","2005-fall-idf-schedule-b5e6c4","Hosted separate reception at IDF."
