"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-001","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-RDBMS","technology-assessment","1995","RDBMS dominance","5 of top-10 ISVs sell RDBMS: Microsoft, CA, Oracle, Sybase, Informix (plus IBM DB2)","high","ingest-extraction","ANALYST-ASSESSMENT","1","Aberdeen notes RDBMS dominance; top 5 RDBMS vendors named plus IBM DB2"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-002","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-OODBMS","technology-assessment","1995","OODBMS market verdict","market voted OODBMSs are niche; not appropriate for large-scale or mission-critical applications","high","ingest-extraction","ANALYST-ASSESSMENT","1","Aberdeen notes OODBMSs lacked SQL, OLTP performance, and large ISV ecosystem"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-003","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-INFORMIX","TECH-UNIVERSAL-SERVER","technology-assessment","1995","Universal Server definition","RDBMS offering efficient access to complex data types and open extensible user-defined data types","high","ingest-extraction","ANALYST-ASSESSMENT","2","Aberdeen provides formal definition of Universal Server emphasizing openness/extensibility"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-004","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-INFORMIX","TECH-DATABLADE","technology-assessment","1995","Informix Universal Server leadership","Illustra+Informix-OnLine combination leads in Universal Server; 25 DataBlade modules expected by end of 1995","high","ingest-extraction","ANALYST-ASSESSMENT","4","Aberdeen states Informix clear leader; DataBlade modules for text(Verity), video, ROLAP, spatial(MapInfo), banking"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-005","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-ORACLE-DB4","TECH-UNIVERSAL-SERVER","technology-assessment","1995","Oracle 7.3 Universal Server assessment","video, text (ConText), spatial options added but still distinct servers not fully integrated; extensibility requires future Oracle Universal Database release","high","ingest-extraction","ANALYST-ASSESSMENT","4","Aberdeen assesses Oracle 7.3 as behind Informix in integration and extensibility; Oracle Universal Database scheduled for 1996"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-006","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-IBM-DB2","TECH-UNIVERSAL-SERVER","technology-assessment","1995","IBM DB2 Universal Server assessment","DB2 Relational Extenders for text/imaging/audio/video; not yet deep in architecture or sophisticated client-server toolset","high","ingest-extraction","ANALYST-ASSESSMENT","4","Aberdeen finds IBM DB2 providing basic extensibility; Extenders not yet in DB2 Parallel Edition or DB2/MVS"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-007","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-CA-INGRES","TECH-UNIVERSAL-SERVER","technology-assessment","1995","CA Universal Server strategy","CA has dual strategy (Jasmine OODBMS + CA-Ingres); no plans to combine or offer Universal Server functionality","high","ingest-extraction","ANALYST-ASSESSMENT","4","Aberdeen criticizes CA for lacking coherent Universal Server strategy"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-008","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-SYBASE-DB","TECH-UNIVERSAL-SERVER","technology-assessment","1995","Sybase Universal Server readiness","not yet implemented comparable complex-data-type support; Adaptive Server + Object-Connect middleware planned","high","ingest-extraction","ANALYST-ASSESSMENT","4","Sybase announced plans; Aberdeen expects Sybase/Microsoft to emphasize base APIs requiring customers to do more implementation work"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-009","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-UNIVERSAL-SERVER","viability-prediction","1995","Universal Server adoption timeline","Universal Server technology will become widespread within 2-3 years as RDBMS suppliers bring products to market","high","ingest-extraction","ANALYST-ASSESSMENT","1","Aberdeen predicts widespread availability by 1997-1998; correct — Oracle8 (1997), DB2 UDB improvements followed"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-010","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-RDBMS","viability-prediction","1995","RDBMS investment protection","Universal Server will provide RDBMS investment protection beyond 2005","high","ingest-extraction","ANALYST-ASSESSMENT","5","Aberdeen prediction proved correct; RDBMS remained dominant with object-relational extensions well past 2005"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-011","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-INFORMIX","TECH-DATABLADE","viability-prediction","1995","Informix market leadership sustainability","Informix still the leader that others must follow in Universal Server technology","medium","ingest-extraction","ANALYST-ASSESSMENT","4","Aberdeen positions Informix as the clear leader; disrupted by financial crisis and IBM acquisition in 2001"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-012","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-INFORMIX","TECH-DATABLADE","actual-outcome","2001","Informix fate","IBM acquired Informix database assets for $1B in April 2001; Informix leadership ended","high","ingest-extraction","WEB-RESEARCH","","Informix's Universal Server leadership was disrupted by financial problems and IBM acquisition; Oracle became dominant"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-013","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-ORACLE-DB4","TECH-UNIVERSAL-SERVER","actual-outcome","2000","Oracle object-relational outcome","Oracle8/8i/9i delivered full object-relational features; Oracle became dominant RDBMS vendor","high","ingest-extraction","WEB-RESEARCH","","Oracle's predicted future release delivered; Oracle8 (1997) provided the Universal Server capabilities Aberdeen described"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-014","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-ROLAP","actual-outcome","2005","ROLAP market outcome","ROLAP became standard BI architecture; implemented in every major RDBMS by 2000","high","ingest-extraction","WEB-RESEARCH","","Aberdeen ROLAP prediction proved correct; bit-mapped indexing, star schemas became standard DW patterns"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-015","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-SPATIAL-DB","actual-outcome","2005","Spatial database extensions outcome","Spatial extensions became standard: PostGIS (2001), Oracle Spatial, SQL Server Spatial; foundational to GIS","high","ingest-extraction","WEB-RESEARCH","","Spatial DataBlade concept proved prescient; open-source PostGIS became dominant spatial DB extension"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-016","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-UDT","actual-outcome","2000","UDT standardization outcome","UDTs standardized in SQL:1999; implemented in PostgreSQL, DB2, Oracle; foundational to extension ecosystems","high","ingest-extraction","WEB-RESEARCH","","Aberdeen UDT prediction correct; SQL:1999 object-relational extensions included UDTs as standard feature"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-017","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-INTRANET","technology-assessment","1995","Intranet as database integration driver","Internet/Intranet demands text and graphic data types that challenge RDBMS integration","high","ingest-extraction","ANALYST-ASSESSMENT","2","Aberdeen correctly identifies Intranet as forcing complex data type needs into RDBMS"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-018","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-UNIVERSAL-SERVER","framework-factor","1995","Universal Server evaluation criteria","Extensibility/flexibility + Core RDBMS integration + Performance + Administration + Transparency","high","ingest-extraction","ANALYST-ASSESSMENT","3","Aberdeen prescribes 5-factor evaluation framework for Universal Server selection"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-019","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-INFORMIX","TECH-DATABLADE","market-data","1995","DataBlade SAP/PeopleSoft/Baan migration promise","SAP, PeopleSoft, Baan announced as able to migrate to Informix Universal Server without app-code changes","medium","ingest-extraction","DOCUMENT","4","Informix announced key ERP ISV migration guarantees for Universal Server adoption"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-020","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-FULL-TEXT","technology-assessment","1995","Text search as Universal Server use case","text-search on comments fields can extract repeated information defying today RDBMS query capabilities","high","ingest-extraction","ANALYST-ASSESSMENT","2","Aberdeen identifies text search as high-value Universal Server capability"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-021","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-RDBMS","technology-assessment","1995","RDBMS technology pressure sources","ROLAP multidimensional data, Internet/Intranet text+graphics, OOP development toolsets all pressure simple-data RDBMS","high","ingest-extraction","ANALYST-ASSESSMENT","1","Aberdeen identifies three technology trends creating pressure for RDBMS extension"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-022","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-UNIVERSAL-SERVER","expert-opinion","1995","Programmer productivity benefit","Universal Server will significantly improve programmer productivity for large-scale data-intensive applications","medium","ingest-extraction","ANALYST-ASSESSMENT","3","Aberdeen predicts major programmer productivity gain from Universal Server high-level type support"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-023","aberdeen-1995-universal-servers-rdbms-technology-next-decade","","TECH-ROLAP","technology-assessment","1995","ROLAP current limitations","today ROLAP/RDBMS bitmap indexing+star schemas deliver order-of-magnitude complex-query speedups; further improvement requires UDT in core optimizer","high","ingest-extraction","ANALYST-ASSESSMENT","3","Aberdeen correctly identifies need to drive ROLAP support into RDBMS query optimizer core"
"aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-024","aberdeen-1995-universal-servers-rdbms-technology-next-decade","ENT-INFORMIX","TECH-DATABLADE","technology-assessment","1995","Informix-OnLine TPC benchmark standing","Informix-OnLine architecture regarded as leader in parallel scalability; hardware suppliers favor for TPC benchmarking","high","ingest-extraction","ANALYST-ASSESSMENT","4","Aberdeen confirms Informix-OnLine parallel scalability leadership via hardware supplier TPC preferences"
