"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (2007); Spiceworks Ziff Davis","1988-present","aberdeen-dops-tpc-1992-deck-bbe78e","Boston-based IT research firm"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1969-present","aberdeen-dops-tpc-1992-deck-bbe78e","Aberdeen Group co-founder, VP/EVP/CRO; prior: PHI, Wang, ADL, Prime, Stratus, DEC"
"digital-equipment","Digital Equipment Corporation (DEC)","company","enterprise-computing","acquired","Compaq (1998), then HP (2002)","1957-1998","aberdeen-dops-tpc-1992-deck-bbe78e","VAX 8830 and VAX 3100-80 benchmark subjects"
"bull","Bull (Groupe Bull)","company","IT-hardware","acquired","Atos (2014)","1931-2014","aberdeen-dops-tpc-1992-deck-bbe78e","DPX/2 platform in TPC-A chart"
"hewlett-packard","Hewlett-Packard","company","IT-hardware","split","HP Inc + HPE (2015)","1939-2015","aberdeen-dops-tpc-1992-deck-bbe78e","HP 9000 and HP 3000 lines in TPC-A chart"
"ibm-corp","IBM Corporation","company","computing","active","","1911-present","aberdeen-dops-tpc-1992-deck-bbe78e","AS/400 D70 and RS/6000 530H benchmark subjects"
"compaq","Compaq Computer Corporation","company","computing","acquired","HP (2002)","1982-2002","aberdeen-dops-tpc-1992-deck-bbe78e","486/50L in TPC-B chart"
"data-general-corporation","Data General Corporation","company","enterprise-computing","acquired","EMC (1999)","1968-1999","aberdeen-dops-tpc-1992-deck-bbe78e","AViiON 4600 in TPC-B chart"
"mips-computer","MIPS Computer Systems","company","computing","acquired","Silicon Graphics (1992)","1984-1992","aberdeen-dops-tpc-1992-deck-bbe78e","MIPS 3330 in TPC-B chart"
"sun-microsystems","Sun Microsystems","company","computing","acquired","Oracle (2010)","1982-2010","aberdeen-dops-tpc-1992-deck-bbe78e","SPARC Server 2 in TPC-B chart"
"tpc","Transaction Processing Performance Council (TPC)","institution","benchmark-consortium","active","","1988-present","aberdeen-dops-tpc-1992-deck-bbe78e","Standards body whose TPC-A/B benchmarks underpin the deck"
