"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-001","aberdeen-dops-tpc-1992-deck-bbe78e","aberdeen-group","dops","framework-component","1992","DOPS five properties","End-to-End Response Time; Multiple Databases; Multiple Networks; Heterogeneous Hardware; Mixed OLTP & OLDS","high","ingest-extraction","framework-specification","slide-5","Aberdeen DOPS environment diagram"
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-002","aberdeen-dops-tpc-1992-deck-bbe78e","digital-equipment","vax-8830","market-data","1992","DEC 85% price decline","VAX 8830 (1988 best) $1,800K vs VAX 3100-80 (1992 entry) $280K — 85% decline in 3.5 years for 27 tps with relational database (TPC-A-like)","high","ingest-extraction","competitive-benchmark","slide-1",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-003","aberdeen-dops-tpc-1992-deck-bbe78e","bull","bull-dpx-2","market-data","1992","TPC-A @ 40 tps-A cost","Bull DPX/2 at ~$450K 5-year lifecycle cost — lowest in comparison","high","ingest-extraction","tpc-benchmark-analysis","slide-2",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-004","aberdeen-dops-tpc-1992-deck-bbe78e","ibm-corp","ibm-as400-d70","market-data","1992","AS/400 D70 TCO","IBM AS/400 D70 ~$920K 5-year cost for 40 tps-A — highest in the set","high","ingest-extraction","tpc-benchmark-analysis","slide-2",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-005","aberdeen-dops-tpc-1992-deck-bbe78e","ibm-corp","ibm-rs6000-530h","market-data","1992","RS/6000 530H TCO","IBM RS/6000 530H ~$620K 5-year cost for 40 tps-A","high","ingest-extraction","tpc-benchmark-analysis","slide-2",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-006","aberdeen-dops-tpc-1992-deck-bbe78e","hewlett-packard","hp-9000-957lx","market-data","1992","HP 9000 957LX TCO","HP 9000 957LX ~$680K 5-year cost (49 tps, starred)","high","ingest-extraction","tpc-benchmark-analysis","slide-2",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-007","aberdeen-dops-tpc-1992-deck-bbe78e","digital-equipment","vax-4000-300","market-data","1992","VAX 4000-300 TCO","DEC VAX 4000-300 ~$620K 5-year cost for 40 tps-A","high","ingest-extraction","tpc-benchmark-analysis","slide-2",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-008","aberdeen-dops-tpc-1992-deck-bbe78e","compaq","tpc-b","market-data","1992","Compaq 486/50L TPC-B","Compaq 486/50L: ~$110K 5-year cost at 39.7-46 tps-B","high","ingest-extraction","tpc-benchmark-analysis","slide-3",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-009","aberdeen-dops-tpc-1992-deck-bbe78e","digital-equipment","tpc-b","market-data","1992","DECsystem 5500 TPC-B","DECsystem 5500: ~$160K — outlier high-cost","high","ingest-extraction","tpc-benchmark-analysis","slide-3",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-010","aberdeen-dops-tpc-1992-deck-bbe78e","hewlett-packard","tpc-b","market-data","1992","HP 9000 807S TPC-B","HP 9000 807S: ~$105K at 39.7-46 tps-B","high","ingest-extraction","tpc-benchmark-analysis","slide-3",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-011","aberdeen-dops-tpc-1992-deck-bbe78e","data-general-corporation","tpc-b","market-data","1992","AViiON 4600 TPC-B","Data General AViiON 4600: ~$102K at 39.7-46 tps-B","high","ingest-extraction","tpc-benchmark-analysis","slide-3",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-012","aberdeen-dops-tpc-1992-deck-bbe78e","mips-computer","tpc-b","market-data","1992","MIPS 3330 TPC-B","MIPS 3330: ~$110K at 39.7-46 tps-B","high","ingest-extraction","tpc-benchmark-analysis","slide-3",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-013","aberdeen-dops-tpc-1992-deck-bbe78e","ibm-corp","tpc-b","market-data","1992","RS/6000 320H TPC-B","IBM RS/6000 320H: ~$107K at 39.7-46 tps-B","high","ingest-extraction","tpc-benchmark-analysis","slide-3",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-014","aberdeen-dops-tpc-1992-deck-bbe78e","sun-microsystems","tpc-b","market-data","1992","Sun SPARC Server 2 TPC-B","Sun SPARC Server 2: ~$102K at 39.7-46 tps-B","high","ingest-extraction","tpc-benchmark-analysis","slide-3",""
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-015","aberdeen-dops-tpc-1992-deck-bbe78e","peter-s-kastner","dops","expert-opinion","1992","DOPS performance issues","Transactions vs Queries; Production/Snapshot/Test/Runamuck DBs; What does the client do? What does the front end do? No textbook answers","high","ingest-extraction","framework-exposition","slide-6","Open questions framing for client-server era"
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-016","aberdeen-dops-tpc-1992-deck-bbe78e","aberdeen-group","dops","viability-prediction","1992","DOPS framework value proposition","Distributed heterogeneous environments require new multi-dimensional metrics beyond single-system TPC benchmarks","verified","ingest-extraction","framework-prediction","slide-5","Validated by TPC-C (1992) and later TPC-E, TPC-DS evolution"
"aberdeen-dops-tpc-1992-deck-bbe78e-OBS-017","aberdeen-dops-tpc-1992-deck-bbe78e","aberdeen-group","olds","framework-component","1992","OLDS/OLTP workload mixing","DOPS must handle mixed OLTP and Online Decision Support workloads — precursor to HTAP (Hybrid Transactional/Analytical Processing)","high","ingest-extraction","framework-exposition","slide-5",""
