"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1969-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Aberdeen Group co-founder, VP/EVP/CRO; prior: PHI, Wang, ADL, Prime, Stratus, DEC"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (2007); Spiceworks Ziff Davis","1988-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Boston-based IT research firm"
"ncr-corporation","NCR Corporation","company","retail-and-financial-systems","active","Spun out of AT&T 1996; later split NCR/NCR Voyix 2023","1884-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Retail/banking systems; pioneered Teradata DW after acquisition"
"att-corp","AT&T Corporation","company","telecommunications-and-systems","split","Multiple divestitures; AT&T Inc. is now SBC-based","1885-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Owner of NCR 1991-1996 (Global Information Solutions)"
"oracle-corporation","Oracle Corporation","company","database-and-applications","active","","1977-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Relational database market leader"
"informix-software","Informix Software","company","database","acquired","IBM (2001)","1980-2001","aberdeen-open-oltp-enterprise-managers-k-3fc536","RDBMS vendor; Dynamic Scalable Architecture launched 1994"
"sybase-inc","Sybase, Inc.","company","database","acquired","SAP (2010)","1984-2010","aberdeen-open-oltp-enterprise-managers-k-3fc536","RDBMS vendor; competitor to Oracle and Informix"
"intel-corporation","Intel Corporation","company","semiconductor","active","","1968-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","x86 CPU industry leader"
"ibm","IBM Corporation","company","computer-systems","active","","1911-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Major mainframe and server vendor"
"apple-computer","Apple Computer","company","computer-and-consumer","active","Apple Inc. (renamed 2007)","1976-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Macintosh maker; cited as desktop client platform"
"unix-international","Unix International","institution","standards","dissolved","Dissolved ~1993 after COSE agreement unified Unix camps","1988-1993","aberdeen-open-oltp-enterprise-managers-k-3fc536","AT&T/Sun response to OSF; guided USL Unix development"
"open-software-foundation","Open Software Foundation (OSF)","institution","standards","merged","Merged with X/Open into The Open Group (1996)","1988-1996","aberdeen-open-oltp-enterprise-managers-k-3fc536","Vendor consortium for open Unix standards; DCE/DME/Motif"
"x-open-company","X/Open Company Ltd.","institution","standards","merged","Merged with OSF into The Open Group (1996)","1984-1996","aberdeen-open-oltp-enterprise-managers-k-3fc536","Unix portability/interoperability standards consortium"
"tpc-org","Transaction Processing Performance Council (TPC)","institution","standards-body","active","","1988-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Industry consortium publishing TPC-A/B/C/D benchmarks"
"ncr-korea","NCR Korea","subsidiary","computer-systems","active","","1980s-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Korean subsidiary of NCR Corporation; publisher of Hangul translation"
"iso-org","International Organization for Standardization (ISO)","institution","standards-body","active","","1947-present","aberdeen-open-oltp-enterprise-managers-k-3fc536","Defined distributed transaction processing protocol as part of OSI model"
