"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"alienware","Alienware","company","PC-manufacturing","acquired","Dell (2006); operates as Dell gaming subsidiary","","dct-access-pc-deals-2002-2003","U.S. PC maker tracked in 2002-2003 pricing data; sku count in this study: 34"
"best-buy","Best Buy","company","Consumer Electronics Retail","active","","1966-present","dct-access-pc-deals-2002-2003","From reuse cache. Active PC maker in 2002-2003 U.S. DCT market; sku count in this study: 2"
"compaq","Compaq","company","Enterprise IT Hardware","dissolved","HP (2002)","1982-2002","dct-access-pc-deals-2002-2003","From reuse cache. Active PC maker in 2002-2003 U.S. DCT market; sku count in this study: 467"
"dell","Dell","company","Enterprise IT Hardware","active","","1984-present","dct-access-pc-deals-2002-2003","From reuse cache. Active PC maker in 2002-2003 U.S. DCT market; sku count in this study: 387"
"emachines","eMachines","company","PC-manufacturing","acquired","Gateway (2004); then Acer (2007); brand discontinued 2013","","dct-access-pc-deals-2002-2003","U.S. PC maker tracked in 2002-2003 pricing data; sku count in this study: 242"
"gateway-inc","Gateway, Inc.","company","PC/Server Hardware","acquired","Acer (2007)","1985-2007","dct-access-pc-deals-2002-2003","From reuse cache. Active PC maker in 2002-2003 U.S. DCT market; sku count in this study: 223"
"hewlett-packard","Hewlett-Packard (HP)","company","Enterprise IT Hardware/Services","split","HP Inc./HPE (2015)","1939-present","dct-access-pc-deals-2002-2003","From reuse cache. Active PC maker in 2002-2003 U.S. DCT market; sku count in this study: 498"
"medion","Medion AG","company","PC-manufacturing","unknown","","","dct-access-pc-deals-2002-2003","U.S. PC maker tracked in 2002-2003 pricing data; sku count in this study: 5 [REVIEW]"
"sony","Sony Corporation","company","Consumer Electronics","active","","1946-present","dct-access-pc-deals-2002-2003","From reuse cache. Active PC maker in 2002-2003 U.S. DCT market; sku count in this study: 274"
"vpr-matrix","VPR Matrix (Best Buy house brand)","company","PC-manufacturing","dissolved","Best Buy discontinued the VPR Matrix private-label brand ~2005","","dct-access-pc-deals-2002-2003","U.S. PC maker tracked in 2002-2003 pricing data; sku count in this study: 23"
"alienware-online","Alienware.com","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 13 [REVIEW]"
"bestbuy-com","BestBuy.com","company","PC-retail","active","operates as Best Buy's e-commerce channel","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 325"
"circuit-city","Circuit City (stores)","company","PC-retail","dissolved","Liquidated January 2009; brand revived as online-only retailer by Systemax 2016","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 130"
"circuitcity-com","CircuitCity.com","company","PC-retail","dissolved","shut down with Circuit City liquidation 2009; later revived as direct-to-consumer by Systemax 2016","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 143"
"compaq-online","Compaq At Home (athome.compaq.com)","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 51 [REVIEW]"
"compusa","CompUSA","company","Consumer Electronics Retail","dissolved","Stores closed 2008; brand sold to Systemax/TigerDirect","1984-2012","dct-access-pc-deals-2002-2003","From reuse cache. PC retail merchant in this study; sku listings: 107"
"costco-online","Costco.com","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 2 [REVIEW]"
"dell-online","Dell.com","company","PC-retail","active","operates as dell.com under Dell Technologies","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 385"
"emachines-online","eMachines.com","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 13 [REVIEW]"
"frys-outpost","Fry's / Outpost.com","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 1 [REVIEW]"
"gateway-online","Gateway.com","company","PC-retail","dissolved","www.gateway.com decommissioned after Acer acquisition; brand discontinued 2011","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 223"
"hpshopping","HP Shopping","company","PC-retail","active","operates as hp.com/shop under HP Inc. (post-2015 split)","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 285"
"microcenter","MicroCenter","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 7 [REVIEW]"
"office-depot","Office Depot","company","PC-retail","active","The ODP Corporation (renamed 2020); merged with OfficeMax 2013","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 10"
"office-max","Office Max","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 4 [REVIEW]"
"pc-connection","PC Connection","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 4 [REVIEW]"
"pc-mall","PC Mall","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 4 [REVIEW]"
"pc-rush","PCRush.com","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 1 [REVIEW]"
"radio-shack","RadioShack","company","PC-retail","dissolved","Bankruptcy 2015 and 2017; brand owned by Unicomer Group as online retailer","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 3"
"sony-online","Sony Style","company","PC-retail","active","operates as Sony Electronics e-commerce (sonystyle brand discontinued 2012; replaced by sony.com)","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 68"
"staples","Staples","company","PC-retail","acquired","Sycamore Partners (took private April 2017, $6.9B)","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 25"
"tech-depot","Tech Depot","company","PC-retail","unknown","","","dct-access-pc-deals-2002-2003","PC retail channel tracked in 2002-2003 pricing data; sku listings: 1 [REVIEW]"
