"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"dct-amd-athlon-weekly-prices-2002-03-OBS-001","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-1800","market-data","2002","athlon-1800 weekly channel price summary (tracking period)","$714 avg (range $600-$1000); 36 snapshots","high","ingest-extraction","market-tracking","AMD sheet athlon-1800 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-002","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2000","market-data","2002","athlon-2000 weekly channel price summary (tracking period)","$773 avg (range $600-$1200); 37 snapshots","high","ingest-extraction","market-tracking","AMD sheet athlon-2000 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-003","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2100","market-data","2002","athlon-2100 weekly channel price summary (tracking period)","$1185 avg (range $900-$1350); 13 snapshots","high","ingest-extraction","market-tracking","AMD sheet athlon-2100 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-004","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2200","market-data","2002","athlon-2200 weekly channel price summary (tracking period)","$827 avg (range $600-$1200); 33 snapshots","high","ingest-extraction","market-tracking","AMD sheet athlon-2200 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-005","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2400","market-data","2002","athlon-2400 weekly channel price summary (tracking period)","$873 avg (range $750-$1200); 22 snapshots","high","ingest-extraction","market-tracking","AMD sheet athlon-2400 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-006","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2600","market-data","2002","athlon-2600 weekly channel price summary (tracking period)","$1004 avg (range $900-$1600); 14 snapshots","high","ingest-extraction","market-tracking","AMD sheet athlon-2600 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-007","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-1800","market-data","2003","athlon-1800 price trajectory","$600 on 2002-01-05 → $600 on 2003-12-22 (delta $+0)","high","ingest-extraction","market-tracking","AMD sheet athlon-1800 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-008","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2000","market-data","2003","athlon-2000 price trajectory","$750 on 2002-01-05 → $900 on 2003-12-22 (delta $+150)","high","ingest-extraction","market-tracking","AMD sheet athlon-2000 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-009","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2100","market-data","2002","athlon-2100 price trajectory","$1200 on 2002-07-14 → $1100 on 2002-10-06 (delta $-100)","high","ingest-extraction","market-tracking","AMD sheet athlon-2100 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-010","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2200","market-data","2003","athlon-2200 price trajectory","$900 on 2002-01-05 → $750 on 2003-12-22 (delta $-150)","high","ingest-extraction","market-tracking","AMD sheet athlon-2200 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-011","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2400","market-data","2003","athlon-2400 price trajectory","$1050 on 2002-01-05 → $750 on 2003-04-06 (delta $-300)","high","ingest-extraction","market-tracking","AMD sheet athlon-2400 column",""
"dct-amd-athlon-weekly-prices-2002-03-OBS-012","dct-amd-athlon-weekly-prices-2002-03","amd","amd-athlon-2600","market-data","2003","athlon-2600 price trajectory","$1600 on 2002-12-29 → $900 on 2003-12-22 (delta $-700)","high","ingest-extraction","market-tracking","AMD sheet athlon-2600 column",""
