"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"dct-business-2003-03-17-pc-deals-OBS-001","dct-business-2003-03-17-pc-deals","","","market-data","2003","Weekly PC market trend commentary","These are our current recommendation for mainstream desktop personal computers that offer the best combination of price, value, and longevity is: • Microprocessor: Pentium 4 at 2.4 GHz (533 MHz front-side bus) • Memory: 256 MB DDR SDRAM (minimum) • Hard Drive: 7200 RPM 20 GB o...","medium","industry-analysis","intro","Kastner market assessment for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-002","dct-business-2003-03-17-pc-deals","","","market-data","2003","Price point highlighted in commentary: $200","izing on Microsoft Office Small Business Edition at an imputed price of roughly $200 per seat. Buy Office XP Pro for those users who will actually use Access and P","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-003","dct-business-2003-03-17-pc-deals","dell","","market-data","2003","Price point highlighted in commentary: $1,167","PC Maker Model SKU Price w/ Shipping and Rebates Delta $ Dell Optiplex GX260 $1,167 $78 Gateway E-4000 Special Deluxe $1,359 $155 HP Compaq Evo D510 minitower SB","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-004","dct-business-2003-03-17-pc-deals","dell","","market-data","2003","Price point highlighted in commentary: $1,359","d Rebates Delta $ Dell Optiplex GX260 $1,167 $78 Gateway E-4000 Special Deluxe $1,359 $155 HP Compaq Evo D510 minitower SB $1,310 $24 IBM NetVista M42 8303 $1,268","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-005","dct-business-2003-03-17-pc-deals","dell","","market-data","2003","Price point highlighted in commentary: $155","es Delta $ Dell Optiplex GX260 $1,167 $78 Gateway E-4000 Special Deluxe $1,359 $155 HP Compaq Evo D510 minitower SB $1,310 $24 IBM NetVista M42 8303 $1,268 ($20)","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-006","dct-business-2003-03-17-pc-deals","hewlett-packard","","market-data","2003","Price point highlighted in commentary: $1,310","$78 Gateway E-4000 Special Deluxe $1,359 $155 HP Compaq Evo D510 minitower SB $1,310 $24 IBM NetVista M42 8303 $1,268 ($20) Source: Supplier web sites and Aberdee","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-007","dct-business-2003-03-17-pc-deals","hewlett-packard","","market-data","2003","Price point highlighted in commentary: $1,268","$1,359 $155 HP Compaq Evo D510 minitower SB $1,310 $24 IBM NetVista M42 8303 $1,268 ($20) Source: Supplier web sites and Aberdeen Group Based on the corporate PC","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-008","dct-business-2003-03-17-pc-deals","dell","","market-data","2003","Price point highlighted in commentary: $884,","same configurations as priced above for small business as: Dell Optiplex 260 at $884, the IBM NetVista M42 at $900 and the HP Evo D510 at $914 in quantities up to 50","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-009","dct-business-2003-03-17-pc-deals","dell","","market-data","2003","Price point highlighted in commentary: $900","above for small business as: Dell Optiplex 260 at $884, the IBM NetVista M42 at $900 and the HP Evo D510 at $914 in quantities up to 50,000 PCs. This is a price re","high","price-tracking","price-mention","Advertised retail price for week of 2003-03-17"
"dct-business-2003-03-17-pc-deals-OBS-010","dct-business-2003-03-17-pc-deals","","","viability-prediction","2003","Kastner forecast 1 from commentary","we think a CD-RW per department has a lot of valid uses.","partially-verified","expert-opinion","forecast","Near-term market prediction; verify against subsequent weekly data | Phase 3 backfill 2026-04-19: Industry adoption record 2003-2010"
