"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"dct-intel-processor-prices-2003-01-OBS-001","dct-intel-processor-prices-2003-01","intel","intel-celeron","market-data","2002","price-position","Celeron CPUs consistently hold lowest price point under $600","high","ingest-extraction","direct-observation","para-1","PC Deals observation"
"dct-intel-processor-prices-2003-01-OBS-002","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-18","market-data","2002","price-drop-month","P4 1.8 GHz dropped below $900 in August 2002","high","ingest-extraction","direct-observation","para-1",""
"dct-intel-processor-prices-2003-01-OBS-003","dct-intel-processor-prices-2003-01","intel","intel-celeron-18ghz","market-data","2002","launch-date","2002-06-12","high","ingest-extraction","direct-observation","para-1",""
"dct-intel-processor-prices-2003-01-OBS-004","dct-intel-processor-prices-2003-01","intel","intel-celeron-20ghz","market-data","2002","launch-date","2002-08-26","high","ingest-extraction","direct-observation","para-1",""
"dct-intel-processor-prices-2003-01-OBS-005","dct-intel-processor-prices-2003-01","intel","intel-celeron-20ghz","market-data","2002","debut-price-band","Celeron 2.0 GHz entered $600 category in November 2002","high","ingest-extraction","direct-observation","para-1",""
"dct-intel-processor-prices-2003-01-OBS-006","dct-intel-processor-prices-2003-01","intel","intel-celeron-17ghz","market-data","2002","price-ceiling","Celeron 1.7 GHz PCs held under $450","high","ingest-extraction","direct-observation","para-1",""
"dct-intel-processor-prices-2003-01-OBS-007","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-26","market-data","2002","launch-date","2002-08-26 (P4 2.6, 2.66, 2.8 GHz simultaneous release)","high","ingest-extraction","direct-observation","para-2",""
"dct-intel-processor-prices-2003-01-OBS-008","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-18","market-data","2002","price-drop-extent","new P4s pushed 1.8/2.0 GHz P4s down $150 to $900 in one month","high","ingest-extraction","direct-observation","para-2",""
"dct-intel-processor-prices-2003-01-OBS-009","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-226","market-data","2002","obsolescence-month","P4 2.26 GHz disappeared from PC Deals by October 2002","high","ingest-extraction","direct-observation","para-3",""
"dct-intel-processor-prices-2003-01-OBS-010","dct-intel-processor-prices-2003-01","intel","fsb-533mhz","topic-insight","2002","price-pattern","533 MHz FSB P4 pricing falls independently of 400 MHz FSB P4 pricing","high","ingest-extraction","editorial","para-3","Key market-structure insight"
"dct-intel-processor-prices-2003-01-OBS-011","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-306","market-data","2002","launch-month","2002-11 (P4 3.06 GHz HT introduction)","high","ingest-extraction","direct-observation","para-4",""
"dct-intel-processor-prices-2003-01-OBS-012","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-20","viability-prediction","2003","expected-outcome","near end for 2.0 GHz P4 following 2.4 GHz price drop","medium","ingest-extraction","editorial","para-4","Prediction validated within months"
"dct-intel-processor-prices-2003-01-OBS-013","dct-intel-processor-prices-2003-01","intel","intel-pentium-4","topic-insight","2002","product-line-structure","Intel simultaneously ships three differently-structured P4 variants (400MHz FSB, 533MHz FSB, HT)","high","ingest-extraction","editorial","para-4","Market fragmentation analysis"
"dct-intel-processor-prices-2003-01-OBS-014","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-253","market-data","2002","price-stability","2.66 and 2.8 GHz P4 remained in same price category for 4+ months after launch","high","ingest-extraction","direct-observation","para-5",""
"dct-intel-processor-prices-2003-01-OBS-015","dct-intel-processor-prices-2003-01","intel","intel-pentium-4-306","market-data","2002","new-price-tier","3.06 GHz HT creates new $2200-$3000 PC price category","high","ingest-extraction","direct-observation","para-5","Prior ceiling near $3000 rare"
"dct-intel-processor-prices-2003-01-OBS-016","dct-intel-processor-prices-2003-01","intel","hyperthreading","viability-prediction","2003","mid-range-impact","HT processors will NOT eliminate middle 533 MHz P4s like 2.53 GHz anytime soon","medium","ingest-extraction","editorial","para-6",""
"dct-intel-processor-prices-2003-01-OBS-017","dct-intel-processor-prices-2003-01","aberdeen-group","pc-deals","topic-insight","2002","seasonal-pattern","Back-to-school period had best PC deals; Christmas saw price increases","high","ingest-extraction","editorial","para-7","Quarterly sales cycle observation"
"dct-intel-processor-prices-2003-01-OBS-018","dct-intel-processor-prices-2003-01","dell","","market-data","2002","holiday-pricing","Dell among sources raising prices during holiday 2002","high","ingest-extraction","direct-observation","para-7","End-of-quarter profit recovery"
"dct-intel-processor-prices-2003-01-OBS-019","dct-intel-processor-prices-2003-01","aberdeen-group","pc-deals","viability-prediction","2003","spring-outlook","Q1 2003 spring quarter will force price cuts to move inventory","medium","ingest-extraction","editorial","para-7",""
