"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"microsoft-homestation","Microsoft HomeStation","platform","Microsoft","2002","forthcoming","vaporware","dct-microsoft-homestation-notes-2002","Proposed home-server platform"
"microsoft-freestyle","Freestyle UI","platform","Microsoft","2002","emerging","released-as-media-center","dct-microsoft-homestation-notes-2002","UI shell; became Windows XP Media Center"
"microsoft-longwood","Windows XP 2.0 (Longwood)","platform","Microsoft","2002-2003","forthcoming","shipped-as-updates","dct-microsoft-homestation-notes-2002","Internal codename"
"xbox","Microsoft Xbox","platform","Microsoft","2001-2005","emerging","discontinued","dct-microsoft-homestation-notes-2002","Hardware base for HomeStation"
"windows-2000","Windows 2000","platform","Microsoft","2000-2010","mainstream","legacy","dct-microsoft-homestation-notes-2002","Being replaced"
"terminal-server","Windows Terminal Server","platform","Microsoft","1998-present","mainstream","mature","dct-microsoft-homestation-notes-2002",""
"microsoft-mira","Microsoft Mira / Smart Display","platform","Microsoft","2002-2004","forthcoming","discontinued","dct-microsoft-homestation-notes-2002","Home tablet, $300-$400"
"tv-tuner-card","PC TV tuner card","platform","","1990s-2010s","mainstream","legacy","dct-microsoft-homestation-notes-2002","nVidia presumed supplier"
"pvr","Personal Video Recorder","platform","","2000-present","emerging","mature","dct-microsoft-homestation-notes-2002",""
"ethernet","Ethernet","protocol","","1980-present","mature","mature","dct-microsoft-homestation-notes-2002",""
"dvd","DVD optical drive","platform","","1997-2010","mainstream","legacy","dct-microsoft-homestation-notes-2002",""
