"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","company","IT Research / Industry Analysis","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-2019","dct-pubs-2002","DCT practice publisher of 434 titles in 2002."
"analyst-jones-katherine","Jones, Katherine","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 27 publications in 2002. [REVIEW]"
"analyst-pombriant-denis","Pombriant, Denis","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 22 publications in 2002. [REVIEW]"
"analyst-tanner-dan","Tanner, Dan","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 21 publications in 2002. [REVIEW]"
"analyst-minahan-tim","Minahan, Tim","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 18 publications in 2002. [REVIEW]"
"analyst-allen-kent","Allen, Kent","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 17 publications in 2002. [REVIEW]"
"analyst-tardelli-dana","Tardelli, Dana","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 17 publications in 2002. [REVIEW]"
"analyst-hoch-michael","Hoch, Michael","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 16 publications in 2002. [REVIEW]"
"analyst-hurley-jim","Hurley, Jim","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 16 publications in 2002. [REVIEW]"
"analyst-smith-karen","Smith, Karen","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 16 publications in 2002. [REVIEW]"
"analyst-degnan-christa","Degnan, Christa","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 15 publications in 2002. [REVIEW]"
"analyst-creese-guy","Creese, Guy","person","IT Research / Industry Analysis","unknown","","2002","dct-pubs-2002","Aberdeen Group analyst; lead analyst on 14 publications in 2002. [REVIEW]"
