"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"desktop-pc","Desktop PC","platform","","1980s-present","mature","mature","dct-segment-priorities-matrix-2003",""
"notebook-pc","Notebook / laptop PC","platform","","1990s-present","mature","mature","dct-segment-priorities-matrix-2003",""
"tablet-pc","Tablet PC","platform","","2002-present","emerging","legacy","dct-segment-priorities-matrix-2003",""
"intel-pentium-4","Intel Pentium 4","platform","Intel","2000-2008","mainstream","legacy","dct-segment-priorities-matrix-2003","2.2 -> 3.6 GHz roadmap"
"pda","Personal Digital Assistant (PDA)","platform","","1993-2010","mature","obsolete","dct-segment-priorities-matrix-2003",""
"ieee-802-11a","IEEE 802.11a WiFi","protocol","","1999-2010","emerging","legacy","dct-segment-priorities-matrix-2003",""
"wifi","WiFi (generic)","protocol","","1997-present","emerging","mature","dct-segment-priorities-matrix-2003",""
"pna","HomePNA phoneline networking","protocol","","1998-2010","emerging","obsolete","dct-segment-priorities-matrix-2003",""
"powerline-networking","Powerline home networking","protocol","","2000-present","emerging","mature","dct-segment-priorities-matrix-2003",""
"ethernet","Ethernet","protocol","","1980-present","mature","mature","dct-segment-priorities-matrix-2003",""
"home-automation","Home automation","category","","2000-present","emerging","mature","dct-segment-priorities-matrix-2003",""
"cellular-data","Cellular data (2G/3G)","protocol","","2000-present","emerging","mature","dct-segment-priorities-matrix-2003",""
"personal-firewall","Personal firewall","application","","2000-present","mature","mature","dct-segment-priorities-matrix-2003",""
"pim","Personal Information Management (PIM)","application","","1990s-present","mature","mature","dct-segment-priorities-matrix-2003",""
"pvr","Personal Video Recorder","platform","","2000-present","emerging","mature","dct-segment-priorities-matrix-2003",""
"location-services","Location-based services","protocol","","2000-present","emerging","mature","dct-segment-priorities-matrix-2003",""
