"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"home-gateway","Home Gateway","platform","","2000-present","emerging","mature","dct-sony-personal-electronic-vision-2002","Cable/xDSL/satellite/STB/HDTV tuner/router/firewall/Ethernet/WLAN"
"entertainment-server","Home Entertainment Server","platform","","2001-present","emerging","mature","dct-sony-personal-electronic-vision-2002","Audio/video storage, DVD, CDRW, VCR input"
"wireless-repeater","Wireless Repeater","platform","","2000-present","emerging","mature","dct-sony-personal-electronic-vision-2002",""
"networked-game-box","Networked Game Box","platform","","2001-present","emerging","mature","dct-sony-personal-electronic-vision-2002",""
"wireless-mp3-player","Wireless MP3 Player","platform","","2001-2015","emerging","obsolete","dct-sony-personal-electronic-vision-2002",""
"voip-phone","VOIP Phone","platform","","2000-present","emerging","mature","dct-sony-personal-electronic-vision-2002","Wireless base + answering + VOIP"
"digital-camera","Digital Camera","platform","","1990s-present","mainstream","legacy","dct-sony-personal-electronic-vision-2002",""
"laptop-pocket-pc","Laptop/Pocket PC","platform","","1990s-present","mature","legacy","dct-sony-personal-electronic-vision-2002",""
"microsoft-mira","Microsoft Mira (Smart Display)","platform","Microsoft","2002-2004","emerging","failed","dct-sony-personal-electronic-vision-2002","Kastner included in Sony vision"
"pc-docking-module","PC Docking Module","platform","","2000-present","emerging","mature","dct-sony-personal-electronic-vision-2002",""
"pda-communicator","PDA/Communicator","platform","","1996-2010","mainstream","obsolete","dct-sony-personal-electronic-vision-2002","Replaced by smartphone"
"hdtv-tuner","HDTV Tuner","platform","","2000-present","emerging","legacy","dct-sony-personal-electronic-vision-2002",""
"wlan","Wireless LAN","protocol","","1999-present","emerging","mature","dct-sony-personal-electronic-vision-2002","Part of gateway stack"
"bluetooth","Bluetooth","protocol","","1999-present","emerging","mature","dct-sony-personal-electronic-vision-2002","BT telematics links"
"cellular-data","Cellular Data","protocol","","1990s-present","mature","mature","dct-sony-personal-electronic-vision-2002","Telematics"
"gps-navigation","GPS/Maps","platform","","1990s-present","mainstream","mature","dct-sony-personal-electronic-vision-2002","Telematics"
"rear-seat-entertainment","Rear-Seat Entertainment","platform","","2000-present","emerging","mature","dct-sony-personal-electronic-vision-2002","Gaming/video"
"drive-by-wifi","Drive-by WiFi","platform","","2002-2010","emerging","obsolete","dct-sony-personal-electronic-vision-2002","Location-based services"
"xdsl","xDSL","protocol","","1998-present","mainstream","legacy","dct-sony-personal-electronic-vision-2002","Gateway WAN"
"cable-modem","Cable Modem","protocol","","1996-present","mature","mature","dct-sony-personal-electronic-vision-2002",""
"satellite-internet","Satellite Internet Link","protocol","","2000-present","emerging","mature","dct-sony-personal-electronic-vision-2002",""
"dvd-player","DVD Player","platform","","1997-2015","mature","obsolete","dct-sony-personal-electronic-vision-2002",""
"cd-rw","CD-RW","platform","","1997-2010","mature","obsolete","dct-sony-personal-electronic-vision-2002",""
"firewall-router","Firewall Router","platform","","1995-present","mature","mature","dct-sony-personal-electronic-vision-2002","Integrated into gateway"
