"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"ieee-1394","IEEE 1394 FireWire","protocol","","1995-2010","mainstream","legacy","dct-video-market-segmentation-2002",""
"tv-tuner-card","PC TV tuner card","platform","","1990s-2010s","mainstream","legacy","dct-video-market-segmentation-2002",""
"pvr","Personal Video Recorder","platform","","2000-present","emerging","mature","dct-video-market-segmentation-2002",""
"analog-tv","Analog TV input/output","protocol","","1940s-2009","mature","obsolete","dct-video-market-segmentation-2002",""
"digital-tv","Digital TV input/output","protocol","","2000-present","emerging","mature","dct-video-market-segmentation-2002",""
"agp-bus","AGP bus","protocol","","1997-2008","mainstream","obsolete","dct-video-market-segmentation-2002",""
"nvidia-geforce-3","nVidia GeForce 3","platform","NVIDIA","2001-2004","mainstream","legacy","dct-video-market-segmentation-2002","Eltra OEM with DTV out $300-$400"
"ati-radeon-8500","ATI Radeon 8500 / 8500DV","platform","ATI","2001-2004","mainstream","legacy","dct-video-market-segmentation-2002",""
"ati-all-in-wonder","ATI All-in-Wonder Radeon","platform","ATI","1997-2008","mainstream","discontinued","dct-video-market-segmentation-2002","$165"
"ati-tv-wonder","ATI TV Wonder","platform","ATI","1999-2007","mainstream","discontinued","dct-video-market-segmentation-2002","$80"
"nvidia-personal-cinema","nVidia Personal Cinema","platform","NVIDIA","2001-2004","emerging","discontinued","dct-video-market-segmentation-2002",""
"adobe-premiere","Adobe Premiere","application","Adobe","1991-present","mainstream","mature","dct-video-market-segmentation-2002",""
"adobe-golive","Adobe GoLive","application","Adobe","1999-2008","mainstream","discontinued","dct-video-market-segmentation-2002",""
