"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"best-buy","Best Buy (stores)","company","PC-retail","[DEFERRED]","[DEFERRED]","1966-present","dct-weekly-2002-08-24-pc-deals-analysis","Retailer covered in weekly commentary 2002-08-24"
"circuit-city","Circuit City (stores)","company","PC-retail","[DEFERRED]","[DEFERRED]","1949-2009","dct-weekly-2002-08-24-pc-deals-analysis","Retailer covered in weekly commentary 2002-08-24"
"compusa","CompUSA","company","PC-retail","[DEFERRED]","[DEFERRED]","1984-2012","dct-weekly-2002-08-24-pc-deals-analysis","Retailer covered in weekly commentary 2002-08-24"
"dell","Dell Computer","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1984-present","dct-weekly-2002-08-24-pc-deals-analysis","PC manufacturer discussed in weekly commentary 2002-08-24"
"hewlett-packard","Hewlett-Packard","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1939-present","dct-weekly-2002-08-24-pc-deals-analysis","PC manufacturer discussed in weekly commentary 2002-08-24"
"compaq","Compaq Computer","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1982-2013","dct-weekly-2002-08-24-pc-deals-analysis","PC manufacturer discussed in weekly commentary 2002-08-24"
"gateway-inc","Gateway, Inc.","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1985-2007","dct-weekly-2002-08-24-pc-deals-analysis","PC manufacturer discussed in weekly commentary 2002-08-24"
"sony","Sony","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1946-present","dct-weekly-2002-08-24-pc-deals-analysis","PC manufacturer discussed in weekly commentary 2002-08-24"
"emachines","eMachines","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1998-2013","dct-weekly-2002-08-24-pc-deals-analysis","PC manufacturer discussed in weekly commentary 2002-08-24"
"intel","Intel Corporation","company","semiconductor","[DEFERRED]","[DEFERRED]","1968-present","dct-weekly-2002-08-24-pc-deals-analysis","Industry entity referenced in weekly commentary 2002-08-24"
"amd","Advanced Micro Devices","company","semiconductor","[DEFERRED]","[DEFERRED]","1969-present","dct-weekly-2002-08-24-pc-deals-analysis","Industry entity referenced in weekly commentary 2002-08-24"
"aberdeen-group","Aberdeen Group","company","research","[DEFERRED]","[DEFERRED]","1988-2013","dct-weekly-2002-08-24-pc-deals-analysis","Industry entity referenced in weekly commentary 2002-08-24"
