"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"dct-weekly-2003-03-09-OBS-001","dct-weekly-2003-03-09","","","market-data","2003","Weekly PC market trend commentary","Looks like Compaq is putting out the best mid-range and high-end deals. With winners in the $900, $1050, $1200, and $1400 categories this week - and a decent showing at $600 and $750 - it looks like HP's branding of Compaq Presario's for consumers as ""best value"" machines is p...","medium","ingest-extraction","industry-analysis","intro","Kastner market assessment for week of 2003-03-09",""
"dct-weekly-2003-03-09-OBS-002","dct-weekly-2003-03-09","best-buy","","market-data","2003","BestBuy: buying tips for week of 2003-03-09","Get $100 mail-in rebate for all computer packages (bundled deals) this week at BestBuy stores. BestBuy.com still offers free shipping and, now, no financing for 24 months.","medium","ingest-extraction","market-tracking","section:BestBuy","Extracted from ""BestBuy"" section",""
"dct-weekly-2003-03-09-OBS-003","dct-weekly-2003-03-09","circuit-city","","market-data","2003","Circuit City: buying tips for week of 2003-03-09","This week, get $100-$200 off all Pentium 4 processor systems and no interest for 12 months at Circuit City. Circuitcity.com has reintroduced free shipping for a limited time on all its online items.","medium","ingest-extraction","market-tracking","section:Circuit City","Extracted from ""Circuit City"" section",""
"dct-weekly-2003-03-09-OBS-004","dct-weekly-2003-03-09","compusa","","expert-opinion","2003","CompUSA: buying tips for week of 2003-03-09","CompUSA.com tends to continue selling ""older"" PC models after BestBuy.com and CircuitCity.com have removed them, like the HP 763n in this week's PC Deals. This means you can get great deals on models that retailers want off the shelves to make room for the newer versions.","medium","ingest-extraction","market-tracking","section:CompUSA","Extracted from ""CompUSA"" section",""
"dct-weekly-2003-03-09-OBS-005","dct-weekly-2003-03-09","emachines","","expert-opinion","2003","EMachines: buying tips for week of 2003-03-09","EMachines has new models out. Check out BestBuy's bundled deals on these new machines.","medium","ingest-extraction","market-tracking","section:EMachines","Extracted from ""EMachines"" section",""
"dct-weekly-2003-03-09-OBS-006","dct-weekly-2003-03-09","dell","","market-data","2003","Dell: buying tips for week of 2003-03-09","Dell's online deals include $1000 instant savings on the 8250 and $50 savings on the 4550 series, free CD-RW in second bay, and, for the first time that we can remember, speaker upgrades. It's no longer an option to put a 2.4 GHz P4 processor in an Dimension 4550, meaning that...","medium","ingest-extraction","market-tracking","section:Dell","Extracted from ""Dell"" section",""
"dct-weekly-2003-03-09-OBS-007","dct-weekly-2003-03-09","gateway-inc","","expert-opinion","2003","Gateway: buying tips for week of 2003-03-09","Gateway offers free shipping again. Gateway revamped its website and has severely cut back on PC models for the home.","medium","ingest-extraction","market-tracking","section:Gateway","Extracted from ""Gateway"" section",""
"dct-weekly-2003-03-09-OBS-008","dct-weekly-2003-03-09","sony","","market-data","2003","Sony: buying tips for week of 2003-03-09","Sony Online has introduced new models at competitive prices. It appears that prices have risen slightly this week, but there are still great deals to be found.","medium","ingest-extraction","market-tracking","section:Sony","Extracted from ""Sony"" section",""
"dct-weekly-2003-03-09-OBS-009","dct-weekly-2003-03-09","hewlett-packard","","market-data","2003","HP and Compaq: buying tips for week of 2003-03-09","HP Online continues to be competitive with retail deals, but the resurgence of weekly offers means that you're best bundled deals are at stores like CompUSA. HP Online does offer free shipping as well $1 CD-RW and $99 17"" monitors when purchasing a customized PC.","medium","ingest-extraction","market-tracking","section:HP and Compaq","Extracted from ""HP and Compaq"" section",""
"dct-weekly-2003-03-09-OBS-010","dct-weekly-2003-03-09","","","market-data","2003","Price point highlighted in commentary: $900,","mpaq is putting out the best mid-range and high-end deals. With winners in the $900, $1050, $1200, and $1400 categories this week - and a decent showing at $600 and","high","ingest-extraction","price-tracking","price-mention","Advertised retail price for week of 2003-03-09",""
