"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"dct-weekly-2003-04-06-OBS-001","dct-weekly-2003-04-06","","","market-data","2003","Weekly PC market trend commentary","Feeling like your wallet is lighter than it used to be? Don't rule out being able to afford a new PC.","medium","industry-analysis","intro","Kastner market assessment for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-002","dct-weekly-2003-04-06","best-buy","","market-data","2003","Best Buy: buying tips for week of 2003-04-06","BestBuy.com still offers free shipping. This week solidified a pattern we've noticed that Best Buy almost consistently offers the lowest prices on Sony PCs.","medium","market-tracking","section:Best Buy","Extracted from ""Best Buy"" section"
"dct-weekly-2003-04-06-OBS-003","dct-weekly-2003-04-06","circuit-city","","market-data","2003","Circuit City: buying tips for week of 2003-04-06","This week, save $100-$210 on all desktops and laptops, and pay no interest for 12 months when buying with your Circuit City charge card. Circuitcity.com has reintroduced free shipping for a limited time on all its online items.","medium","market-tracking","section:Circuit City","Extracted from ""Circuit City"" section"
"dct-weekly-2003-04-06-OBS-004","dct-weekly-2003-04-06","compusa","","market-data","2003","CompUSA: buying tips for week of 2003-04-06","CompUSA is featuring the new Compaq s3200nx and s3300nx machines in bundles at $750 and $950 respectively. The s3200nx is also available this week without a monitor at Circuitcity.com and other online locations.","medium","market-tracking","section:CompUSA","Extracted from ""CompUSA"" section"
"dct-weekly-2003-04-06-OBS-005","dct-weekly-2003-04-06","emachines","","expert-opinion","2003","eMachines: buying tips for week of 2003-04-06","EMachines has once again revamped its line of models. If you were thinking about buying a T2460, T2042, or T1842, you're now out of luck because these models are gone from all the usual sources we check.","medium","market-tracking","section:eMachines","Extracted from ""eMachines"" section"
"dct-weekly-2003-04-06-OBS-006","dct-weekly-2003-04-06","dell","","market-data","2003","Dell: buying tips for week of 2003-04-06","Dell's online deals include $50 and $150 off the 4550 and 8250 series, respectively. Free CD-RW upgrade in second bay has returned for all models, as well as free shipping.","medium","market-tracking","section:Dell","Extracted from ""Dell"" section"
"dct-weekly-2003-04-06-OBS-007","dct-weekly-2003-04-06","gateway-inc","","market-data","2003","Gateway: buying tips for week of 2003-04-06","Gateway.com has finally joined the free shipping bandwagon for good. At least that's what we're inferring from its new ""Shipping always included"" label under the price of any model you configure.","medium","market-tracking","section:Gateway","Extracted from ""Gateway"" section"
"dct-weekly-2003-04-06-OBS-008","dct-weekly-2003-04-06","sony","","market-data","2003","Sony: buying tips for week of 2003-04-06","Sony.com offers a plethora of models right now, although, like eMachines, the best deals usually come from bundled retail offers. The PCV-RS100 has disappeared, but for less than $100 more, the new PCV-RS220 offers a much faster processor and DVD+RW/+R capabilities.","medium","market-tracking","section:Sony","Extracted from ""Sony"" section"
"dct-weekly-2003-04-06-OBS-009","dct-weekly-2003-04-06","hewlett-packard","","market-data","2003","HP and Compaq: buying tips for week of 2003-04-06","HP Online offers competitive prices on its retail models, although national retailers always have the better bundled deals. PC Deals customized a Compaq 8000 series PC at http://www.hpshopping.com/ with a 3.06GHz processor, expecting this desktop to be lower in price than its ...","medium","market-tracking","section:HP and Compaq","Extracted from ""HP and Compaq"" section"
"dct-weekly-2003-04-06-OBS-010","dct-weekly-2003-04-06","hewlett-packard","desktop-pc","market-data","2003","Price point highlighted in commentary: $900,","o afford a new PC. This week, PC Deals displays 20 desktops that are all under $900, and 9 of these come in at under $600. EMachines, HP, and Compaq have the $90","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-011","dct-weekly-2003-04-06","hewlett-packard","desktop-pc","market-data","2003","Price point highlighted in commentary: $600","s displays 20 desktops that are all under $900, and 9 of these come in at under $600. EMachines, HP, and Compaq have the $900 and lower price categories stocked","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-012","dct-weekly-2003-04-06","hewlett-packard","intel-celeron","market-data","2003","Price point highlighted in commentary: $900","00, and 9 of these come in at under $600. EMachines, HP, and Compaq have the $900 and lower price categories stocked - and not just with Intel Celeron machines,","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-013","dct-weekly-2003-04-06","compaq","intel-pentium-4","market-data","2003","Price point highlighted in commentary: $900","s ago. Intel Pentium 4 2.4GHz and even a 2.53 GHz machine from Compaq rule the $900 range, but AMD Athlon machines are the real deals in these lower price points.","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-014","dct-weekly-2003-04-06","compaq","amd-athlon-xp","market-data","2003","Price point highlighted in commentary: $800","real deals in these lower price points. BestBuy.com offers Compaq's 6430NX for $800. This machine packs an Athlon 2600+ processor, 512 MB of DDR memory, 120 GB ha","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-015","dct-weekly-2003-04-06","","amd-athlon-xp","market-data","2003","Price point highlighted in commentary: $100","ocessor that is slightly less powerful than the Athlon 2600+, but this PC costs $100 more. What are we driving at? AMD Athlon processors are less expensive than c","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-016","dct-weekly-2003-04-06","sony","desktop-pc","market-data","2003","Price point highlighted in commentary: $100","y prices on Sony models include mail-in rebates. Circuit City This week, save $100-$210 on all desktops and laptops, and pay no interest for 12 months when buying","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-017","dct-weekly-2003-04-06","sony","desktop-pc","market-data","2003","Price point highlighted in commentary: $210","ces on Sony models include mail-in rebates. Circuit City This week, save $100-$210 on all desktops and laptops, and pay no interest for 12 months when buying with","high","price-tracking","price-mention","Advertised retail price for week of 2003-04-06"
"dct-weekly-2003-04-06-OBS-018","dct-weekly-2003-04-06","","intel-pentium-4-ht","technology-assessment","2003","Intel Pentium 4 HT: positioning in week of 2003-04-06","EMachines, HP, and Compaq have the $900 and lower price categories stocked - and not just with Intel Celeron machines, as would have been the case 6 months ago.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
"dct-weekly-2003-04-06-OBS-019","dct-weekly-2003-04-06","","intel-pentium-4","technology-assessment","2003","Intel Pentium 4: positioning in week of 2003-04-06","EMachines, HP, and Compaq have the $900 and lower price categories stocked - and not just with Intel Celeron machines, as would have been the case 6 months ago.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
"dct-weekly-2003-04-06-OBS-020","dct-weekly-2003-04-06","","intel-celeron-m","technology-assessment","2003","Intel Celeron M: positioning in week of 2003-04-06","EMachines, HP, and Compaq have the $900 and lower price categories stocked - and not just with Intel Celeron machines, as would have been the case 6 months ago.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
"dct-weekly-2003-04-06-OBS-021","dct-weekly-2003-04-06","","intel-celeron","technology-assessment","2003","Intel Celeron: positioning in week of 2003-04-06","EMachines, HP, and Compaq have the $900 and lower price categories stocked - and not just with Intel Celeron machines, as would have been the case 6 months ago.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
"dct-weekly-2003-04-06-OBS-022","dct-weekly-2003-04-06","","amd-athlon-xp","technology-assessment","2003","AMD Athlon XP: positioning in week of 2003-04-06","Intel Pentium 4 2.4GHz and even a 2.53 GHz machine from Compaq rule the $900 range, but AMD Athlon machines are the real deals in these lower price points.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
"dct-weekly-2003-04-06-OBS-023","dct-weekly-2003-04-06","","amd-athlon","technology-assessment","2003","AMD Athlon: positioning in week of 2003-04-06","Intel Pentium 4 2.4GHz and even a 2.53 GHz machine from Compaq rule the $900 range, but AMD Athlon machines are the real deals in these lower price points.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
"dct-weekly-2003-04-06-OBS-024","dct-weekly-2003-04-06","","desktop-pc","technology-assessment","2003","Desktop PC: positioning in week of 2003-04-06","This week, PC Deals displays 20 desktops that are all under $900, and 9 of these come in at under $600.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
"dct-weekly-2003-04-06-OBS-025","dct-weekly-2003-04-06","","dvd-rw","technology-assessment","2003","DVD+RW/+R: positioning in week of 2003-04-06","The PCV-RS100 has disappeared, but for less than $100 more, the new PCV-RS220 offers a much faster processor and DVD+RW/+R capabilities.","medium","industry-analysis","tech-mention","Tech discussed in weekly commentary"
