"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"intel-pentium-4-ht","Intel Pentium 4 HT","processor","Intel","2002-2008","emerging","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"intel-pentium-4","Intel Pentium 4","processor","Intel","2000-2008","mature","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"amd-athlon-xp","AMD Athlon XP","processor","AMD","2001-2005","mature","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"amd-athlon","AMD Athlon","processor","AMD","1999-2005","mature","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"media-center-pc","Windows Media Center PC","form-factor","","2002-2014","emerging","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"desktop-pc","Desktop PC","form-factor","","1981-present","mature","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"dvd-rw","DVD+RW/+R","storage","","2001-2010","emerging","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"ddr-sdram","DDR SDRAM","memory","","2000-2007","mature","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"hyper-threading","Intel Hyper-Threading Technology","cpu-feature","Intel","2002-present","emerging","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
"802-11b","Wi-Fi (802.11b)","networking","","1999-2010","mature","[DEFERRED]","dct-weekly-2003-08-10","Referenced in weekly PC Deals commentary 2003-08-10"
