"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"dct-why-aberdeen-follows-pc-deals-2002-OBS-001","dct-why-aberdeen-follows-pc-deals-2002","aberdeen-dct-practice","","framework-factor","2002","Tracked brands count","6 (Compaq, Dell, eMachines, Gateway, HP, Sony)","high","ingest-extraction","industry-analysis","p.1","Apple explicitly excluded"
"dct-why-aberdeen-follows-pc-deals-2002-OBS-002","dct-why-aberdeen-follows-pc-deals-2002","aberdeen-dct-practice","","framework-factor","2002","Price-value hierarchy factors","8 (CPU, RAM, modem/NIC, HDD, monitor, OS, printer, software)","high","ingest-extraction","industry-analysis","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-003","dct-why-aberdeen-follows-pc-deals-2002","","intel-pentium-4","expert-opinion","2002","CPU comparison 1.8GHz","Pentium 4 beats 1.8GHz Celeron on cache","high","ingest-extraction","expert-opinion","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-004","dct-why-aberdeen-follows-pc-deals-2002","","sdram","expert-opinion","2002","Memory tier threshold","128MB significantly slower than 256MB; multimedia=512MB","high","ingest-extraction","benchmarking","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-005","dct-why-aberdeen-follows-pc-deals-2002","","ddr-sdram","technology-assessment","2002","DDR vs SDRAM","DDR faster than plain SDRAM","high","ingest-extraction","expert-opinion","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-006","dct-why-aberdeen-follows-pc-deals-2002","","rambus-rdram","technology-assessment","2002","RDRAM positioning","Makes sense for high-end Pentium 4 only","medium","ingest-extraction","expert-opinion","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-007","dct-why-aberdeen-follows-pc-deals-2002","","56k-modem","framework-factor","2002","Integrated modem requirement","56Kb standard","high","ingest-extraction","industry-analysis","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-008","dct-why-aberdeen-follows-pc-deals-2002","","10-100-ethernet","framework-factor","2002","Integrated NIC requirement","10/100 Ethernet standard","high","ingest-extraction","industry-analysis","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-009","dct-why-aberdeen-follows-pc-deals-2002","","hdd-7200rpm","expert-opinion","2002","HDD preference","Faster (7200 RPM) > bigger","high","ingest-extraction","expert-opinion","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-010","dct-why-aberdeen-follows-pc-deals-2002","","hdd-7200rpm","framework-factor","2002","HDD size baseline","40GB entry / 80GB multimedia","high","ingest-extraction","industry-analysis","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-011","dct-why-aberdeen-follows-pc-deals-2002","","monitor-crt","framework-factor","2002","Monitor baseline","17 inch flat tube <$100 in bundle","high","ingest-extraction","market-tracking","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-012","dct-why-aberdeen-follows-pc-deals-2002","","flat-panel-monitor","expert-opinion","2002","Flat panel aspiration","19 inch flat-panel 'to die for'","high","ingest-extraction","expert-opinion","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-013","dct-why-aberdeen-follows-pc-deals-2002","microsoft","windows-xp-pro","expert-opinion","2002","OS recommendation","XP Pro > XP Home for power/SMB users","high","ingest-extraction","expert-opinion","p.2",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-014","dct-why-aberdeen-follows-pc-deals-2002","","color-inkjet-printer","market-data","2002","Printer bundle price","$50 and up","high","ingest-extraction","market-tracking","p.2","Ink/paper aftermarket driver"
"dct-why-aberdeen-follows-pc-deals-2002-OBS-015","dct-why-aberdeen-follows-pc-deals-2002","aberdeen-dct-practice","","framework-factor","2002","Final price formula","List - rebates + shipping (ex-sales tax)","high","ingest-extraction","industry-analysis","p.2",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-016","dct-why-aberdeen-follows-pc-deals-2002","","","market-data","2002","Online rebate cadence","Adjusted several times per week","high","ingest-extraction","market-tracking","p.2","vs weekly retailer cycles"
"dct-why-aberdeen-follows-pc-deals-2002-OBS-017","dct-why-aberdeen-follows-pc-deals-2002","aberdeen-dct-practice","","expert-opinion","2002","Rebate coupon count","Six coupons low-side for store purchase","high","ingest-extraction","market-tracking","p.2","Long wait for checks"
"dct-why-aberdeen-follows-pc-deals-2002-OBS-018","dct-why-aberdeen-follows-pc-deals-2002","apple-computer","","strategy-classification","2002","Apple tracking exclusion rationale","No head-to-head competition","high","ingest-extraction","competitive-profiling","p.1",""
"dct-why-aberdeen-follows-pc-deals-2002-OBS-019","dct-why-aberdeen-follows-pc-deals-2002","hewlett-packard","","viability-prediction","2002","HP dual-brand strategy question","Open research question (post-Compaq merger)","medium","ingest-extraction","expert-opinion","p.1",""
