"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-001","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","debit-credit-benchmark","benchmark_aliasing","1987","synonyms","TP1=Debit-Credit=Gray","high","ingest-extraction","thread-quotation","Note-461.3","Hammond: 'TP1, Debit-Credit and Grey (or Gray?) are all names for the same benchmark'",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-002","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","debit-credit-benchmark","spec_ambiguity_warning","1987","warning","scope-for-artistic-interpretation","high","ingest-extraction","thread-quotation","Note-461.1","Mascall warns spec leaves scope for 'artistic interpretation' by vendors",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-003","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","dbs-tps-metrics","dbs_standardization","1987","fy88_standard","TPS-D-C-end-to-end-qualified-and-peak","high","ingest-extraction","memo-quotation","Section-I.C","DEC DBS adopted End-to-End Qualified and Peak as standard for FY88 corporate reporting",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-004","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","dbs-tps-metrics","competitive_metric_choice","1987","competitive_metric","TPS-MIP","medium","ingest-extraction","memo-quotation","Section-V.A","Internal use TPS/VUP; competitive comparison switches to TPS/MIP",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-005","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","rudy-downs","","hiring_dbs_perf","1987","role","DBS-Performance-Manager","high","ingest-extraction","memo-quotation","Note-461.5","Rudy Downs hired as DEC DBS Performance Manager; would later own metric evolution",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-006","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","wang-laboratories","","competitive_pressure_wang","1987","context","finalist-vs-DEC-in-finance-sale","medium","ingest-extraction","thread-quotation","Note-461.0","Saghagen: 'We and Wang are the only remaining vendors' for large finance-company deal",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-007","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","jim-gray","","benchmark_origin","1985","role","anonymous-benchmark-author","high","ingest-extraction","literature-context","n/a","Anon Et Al credited authorship — widely understood to be Jim Gray and collaborators",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-008","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","debit-credit-benchmark","kittell_analogy","1987","memorable_quote","stating-TPS-without-percentile-and-time-is-like-stereo-without-frequency-response","high","ingest-extraction","thread-quotation","Note-461.4","Kittell: 'Unqualified specs (just a TPS value by itself) are worthless'",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-009","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","dbs-tps-metrics","tps_definition_format","1987","format","TPS-(benchmark-environment-characterization)","high","ingest-extraction","memo-spec","Section-I.C","Mandated FY87 reporting format for all DEC DBS publications",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-010","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","dbs-tps-metrics","backup_metric_intro","1987","metric","offline-backup-gross-MB-per-sec","medium","ingest-extraction","memo-spec","Section-IV","Standard back-up rate metric introduced; minimum disk/back-up combination required",""
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-011","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","","dbs-tps-metrics","io_per_transaction","1987","secondary_metric","physical-IOs-per-transaction","medium","ingest-extraction","memo-spec","Section-V.B","Physical I/Os per transaction defined as second yardstick of DB technology",""
