"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"dell-ars-wp-2-72fd7f-OBS-001","dell-ars-wp-2-72fd7f","","","framework-factor","2003","cost-savings-from-asset-disposition","Annually removing 3,000 PCs saves $1M/year in unnecessary storage and disposal costs.","high","industry-analysis","p.2","Aberdeen research finding."
"dell-ars-wp-2-72fd7f-OBS-002","dell-ars-wp-2-72fd7f","","","framework-factor","2003","residual-value-depreciation-rate","6% to 10% per month","high","industry-analysis","p.2,p.5","Monthly depreciation rate for stored IT equipment with resale value."
"dell-ars-wp-2-72fd7f-OBS-003","dell-ars-wp-2-72fd7f","","","framework-factor","2003","three-benefit-areas","cost/value, data security, environmental concerns","high","industry-analysis","p.2","Three distinct benefit areas of effective IT asset disposition programs."
"dell-ars-wp-2-72fd7f-OBS-004","dell-ars-wp-2-72fd7f","","hipaa","market-data","2003","morgantown-wv-jury-award","$2.3M awarded to three women whose confidential mental-health records were not kept private (HIPAA Advisory Feb 2003).","high","document-review","p.3","Cited as evidence of data-privacy liability exposure."
"dell-ars-wp-2-72fd7f-OBS-005","dell-ars-wp-2-72fd7f","","","market-data","2003","nevada-pharmacy-records-incident","Used $159 PC held 2,000+ patient records incl. SSNs and medication lists (NY Times).","high","document-review","p.3","Illustrative incident of improper disk sanitization."
"dell-ars-wp-2-72fd7f-OBS-006","dell-ars-wp-2-72fd7f","mit","disk-sanitization","market-data","2003","garfinkel-shelat-drive-study","Of 129 functional drives purchased from resellers/eBay, only 12% were properly sanitized; rest yielded 675 Word docs, 566 PPTs, 5,000 credit-card numbers, 9,500 emails.","verified","document-review","p.3-4","January 2003 MIT graduate-student study."
"dell-ars-wp-2-72fd7f-OBS-007","dell-ars-wp-2-72fd7f","bsa","","expert-opinion","2003","bsa-software-license-warning","BSA (Sept 2003): improperly discarded software can expose both original owner and recipient to legal action with penalties in the thousands.","high","document-review","p.3",""
"dell-ars-wp-2-72fd7f-OBS-008","dell-ars-wp-2-72fd7f","national-safety-council","","market-data","2003","315-million-pcs-pending","315 million old PCs ready to be junked by 2004 in the US.","high","document-review","p.4","If piled, would form mile-high mountain the girth of a football field (IndustryWeek, March 2002)."
"dell-ars-wp-2-72fd7f-OBS-009","dell-ars-wp-2-72fd7f","","","market-data","2003","toxic-materials-per-pile","~1 billion pounds of lead plus mercury, cadmium, PVC.","high","document-review","p.4","Toxic content estimate for the 315M-PC pile."
"dell-ars-wp-2-72fd7f-OBS-010","dell-ars-wp-2-72fd7f","enviros-ris","","market-data","2003","canada-ewaste-tonnage","1999: 34,000 tons e-waste in Canadian landfills; 2005 projected: 67,000 tons.","high","document-review","p.4",""
