"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"fletcher-spaght-inc","Fletcher Spaght Inc. (FSI)","company","management consulting","unknown","unknown","1983-present","2001-fletcher-spaght-3bb872","High technology practice Boston MA; founded 1983; prepared this strategy deck"
"aberdeen-group","Aberdeen Group","firm","IT market research","acquired","Harte-Hanks Communications (2006); later spun off as Aberdeen Strategy & Research","1988-2010","2001-fletcher-spaght-3bb872","FSI client; collaboration partner"
"ascendant-omnigy","Ascendant / Omnigy","company","e-commerce ASP","unknown","unknown","1999-2002","2001-fletcher-spaght-3bb872","B2C/B2B commerce platform; primary case study company in FSI deck"
"john-fletcher","John Fletcher","person","management consulting","unknown","unknown","1983-present","2001-fletcher-spaght-3bb872","CEO Fletcher Spaght Inc.; formerly BCG Manager; Wharton Faculty"
"pearson-spaght","Pearson Spaght","person","management consulting","unknown","unknown","1983-present","2001-fletcher-spaght-3bb872","President Fletcher Spaght Inc.; Stanford MBA; formerly VP Strategy Raymark"
"ibm-global-services","IBM Global Services","company","IT services","active","N/A","1991-present","2001-fletcher-spaght-3bb872","Listed as FSI recent client"
"christopher-fletcher","Christopher Fletcher","person","IT market research","unknown","unknown","1998-2005","2001-fletcher-spaght-3bb872","VP and Managing Director at Aberdeen Group; interviewed by FSI for Ascendant study"
"timothy-minahan","Timothy Minahan","person","IT market research","unknown","unknown","1998-2005","2001-fletcher-spaght-3bb872","Research Director at Aberdeen Group; interviewed by FSI"
"digital-river","Digital River","company","e-commerce","unknown","unknown","1994-present","2001-fletcher-spaght-3bb872","Ascendant/Omnigy competitor; had 700+ stores; 'proven solution'"
"fedex","FedEx","company","logistics","active","N/A","1971-present","2001-fletcher-spaght-3bb872","FSI interview subject; Doug Witt VP eLogistics quoted"
"motorola","Motorola","company","telecommunications","split","Split into Motorola Mobility (Google 2012 -> Lenovo 2014) and Motorola Solutions (active)","1928-present","2001-fletcher-spaght-3bb872","Target partnership for Ascendant Supplier Enablement strategy"
