"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"aas-sales-tools-pricing-aug-2001-b5b001-001","aas-sales-tools-pricing-aug-2001-b5b001","peter-s-kastner","","expert-opinion","2001","Repricing memo date and distribution","Memo dated August 11, 2001; from Pete Kastner; to: Sales and Research","high","primary-doc","August-2001-repricing-memo p.1","Opening header of the memo establishing authorship and audience"
"aas-sales-tools-pricing-aug-2001-b5b001-002","aas-sales-tools-pricing-aug-2001-b5b001","peter-s-kastner","aberdeen-master-price-list-2001-09-01","expert-opinion","2001","Repricing memo subject","New Master Price List","high","primary-doc","August-2001-repricing-memo p.1","Official subject line of the repricing memo"
"aas-sales-tools-pricing-aug-2001-b5b001-003","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-master-price-list-2001-09-01","expert-opinion","2001","Stated purpose of repricing","Rationalize current price list with eye on simplifying services and add-ons","high","primary-doc","August-2001-repricing-memo p.1","Verbatim rationale from memo: 'Things are now more simplified'"
"aas-sales-tools-pricing-aug-2001-b5b001-004","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-six-month-intro-aas","market-data","2001","Introductory AAS price and terms","One-time-only; 6-month duration; $6,000; includes half-day of consulting","high","primary-doc","August-2001-repricing-memo p.1","New introductory retainer established by the repricing memo"
"aas-sales-tools-pricing-aug-2001-b5b001-005","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-aas","market-data","2001","Five retainer types in Master Price List","Base days only; base plus collateral project; Alschuler e-Business@Aberdeen; Hurley security service; PES","high","primary-doc","August-2001-repricing-memo p.1","Complete enumeration of the five AAS retainer types"
"aas-sales-tools-pricing-aug-2001-b5b001-006","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-base-retainer","market-data","2001","Base retainer pricing formula","$7,000 annual base access + per diems × days; example: 2-day VP retainer = $6,000 × 2 + $7,000","high","primary-doc","August-2001-repricing-memo p.1","Explicit formula and worked example given in the memo"
"aas-sales-tools-pricing-aug-2001-b5b001-007","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-aas","expert-opinion","2001","Existing retainer client renewal policy","Existing retainer clients should be renewed at current rates (grandfathered)","high","primary-doc","August-2001-repricing-memo p.1","Grandfather clause protecting existing client relationships during repricing"
"aas-sales-tools-pricing-aug-2001-b5b001-008","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-eti-content","expert-opinion","2001","Add-on combinations available to base retainer","ETI content/pubs; additional analyst days; e-Business and security retainers can add more surveys","high","primary-doc","August-2001-repricing-memo p.1","Flexible add-on menu supporting the modular retainer design"
"aas-sales-tools-pricing-aug-2001-b5b001-009","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-six-month-intro-aas","market-data","2001","Emerging companies / first-time client discount","~15% discount on initial base-day and publication add-ons when purchasing introductory AAS","high","primary-doc","August-2001-repricing-memo p.1","Discount applies to emerging companies and small first-time clients only"
"aas-sales-tools-pricing-aug-2001-b5b001-010","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-master-price-list-2001-09-01","expert-opinion","2001","Effect of ~15% discount on pricing schedule","Eliminates the previously separate emerging-companies pricing schedule","high","primary-doc","August-2001-repricing-memo p.1","Simplification goal achieved by folding emerging-company discount into standard pricing"
"aas-sales-tools-pricing-aug-2001-b5b001-011","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-master-price-list-2001-09-01","market-data","2001","Three per-diem rate classes","List price (non-retainer clients); AAS Rate (retainer clients); Days 3-N (projects > 2 days)","high","primary-doc","August-2001-repricing-memo p.1","Three-tier per-diem structure established by repricing memo"
"aas-sales-tools-pricing-aug-2001-b5b001-012","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-day-3-n-rate","expert-opinion","2001","Days 3-N rate rationale","Aimed at improving billability with reasonable prices","high","primary-doc","August-2001-repricing-memo p.1","Explicit rationale stated in memo for the Days 3-N pricing class"
"aas-sales-tools-pricing-aug-2001-b5b001-013","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","aberdeen-aas-rate-tier","expert-opinion","2001","Retainer client publication project discount","Retainer clients receive discount on publication projects to reflect accumulated client knowledge and as relationship incentive","high","primary-doc","August-2001-repricing-memo p.1","Relationship-driven incentive to deepen retainer engagement"
"aas-sales-tools-pricing-aug-2001-b5b001-014","aas-sales-tools-pricing-aug-2001-b5b001","aberdeen-group-inc","","market-data","2001","Headcount by labor class as of July 1, 2001","Senior Exec: 2; VP: 7; Director: 25; Senior Analyst: 8; Analyst: 4; Total: 46","high","primary-doc","consulting-revenue-analysis-4.xls row 3","Exact headcount from consulting-revenue-analysis spreadsheet; as-of date July 1, 2001"
