"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-001","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","market-position","1996","market-share-claim","dominant market share, largest installed base, impressive/leading technology","medium","ingest-extraction","EO","p.1","Kastner's self-contained assessment of CA Unicenter's position"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-002","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","branding-stage","'Ask for the #1 product by name' branding stage","high","ingest-extraction","EO","p.1","Recommendation to escalate brand advertising beyond technical positioning"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-003","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","advertising-venues","business-executive ads in Business Week, Forbes","high","ingest-extraction","EO","p.1",""
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-004","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","core-message-pillars","Measure, Secure, Adapt, Manage","high","ingest-extraction","EO","p.1","Four-pillar message architecture for CIO audience"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-005","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","isv-instrumentation-program","instrument name-brand first-tier business apps for Unicenter management","high","ingest-extraction","EO","p.1","Calls out SAP R/3 as first step; advocates paying chosen ISVs for demand pull-through"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-006","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","var-channel-build","aggressive worldwide VAR program for lower/middle-tier markets","high","ingest-extraction","EO","p.2","'Make it sales-neutral with the Emerald team'"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-007","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","national-fault-response-center","establish a partner-run national fault-response center for small companies","high","ingest-extraction","EO","p.2","Suggests DEC or NCR as SI operator; outsourcing network management cited as fast-rising CIO interest"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-008","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","customer-success-stories","invest modestly to produce references and success stories","high","ingest-extraction","EO","p.2",""
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-009","carepo-kastner-unicenter-jasmine-1996-1d5ffe","computer-associates","ca-unicenter","strategic-recommendation","1997","non-traditional-environments","target management of office buildings, shop-floor robots, PBX, routers","high","ingest-extraction","EO","p.2","Prescient call to extend ESM to what would later be called IoT/OT management"
"carepo-kastner-unicenter-jasmine-1996-1d5ffe-OBS-010","carepo-kastner-unicenter-jasmine-1996-1d5ffe","tivoli-systems","tivoli-tme","competitive-gap","1996","competitive-white-paper","CA has no competitive white paper to hand to analysts","high","ingest-extraction","EO","p.2","Critique of CA collateral preparedness"
