"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"hp-mercury-soa-2006-pdf-80785e-obs-001","hp-mercury-soa-2006-pdf-80785e","","service-oriented-architecture","survey-finding","2006","SOA adoption rate end-2006","90% of all companies will exit 2006 with SOA activities at least underway","high","aberdeen-survey","2","Aberdeen research from 'ESB and SOA Middleware, June 2006'; many large enterprises have >1 year development experience. IBM's positive growth in this area cited as supporting evidence."
"hp-mercury-soa-2006-pdf-80785e-obs-002","hp-mercury-soa-2006-pdf-80785e","mercury-interactive","systinet-registry","competitive-analysis","2006","Mercury SOA capability acquisition","Mercury acquired Systinet (SOA registry) in January 2006","high","public-record","1","Mercury gained important SOA management, governance, performance, and development lifecycle capabilities through Systinet acquisition."
"hp-mercury-soa-2006-pdf-80785e-obs-003","hp-mercury-soa-2006-pdf-80785e","hewlett-packard","hp-openview","competitive-analysis","2006","HP-Mercury competitive impact","HP takes giant step closer to IBM; distances from CA and BMC","high","analyst-judgment","1","Aberdeen analysis: HP-Mercury combination is 'highly accretive' to HP OpenView; primarily complementary products with limited overlap; Mercury brings developer-oriented capabilities (application mapping, quality center)."
"hp-mercury-soa-2006-pdf-80785e-obs-004","hp-mercury-soa-2006-pdf-80785e","","it-governance-software","survey-finding","2006","IT governance market education need","bulk of market needs considerable education on IT governance","high","aberdeen-survey","2","IT governance not top of mind in survey research especially among SMBs; means regulatory compliance (SOX 404), policy compliance, and IT-business alignment to different buyers."
"hp-mercury-soa-2006-pdf-80785e-obs-005","hp-mercury-soa-2006-pdf-80785e","mercury-interactive","","technical-claim","2006","Mercury organization size","3,000 employees","high","public-record","3","Culture assimilation of 3,000-person Mercury organization into HP is identified as the 'bigger challenge'; large workforce turnover could delay deliverables and compromise IP."
"hp-mercury-soa-2006-pdf-80785e-obs-006","hp-mercury-soa-2006-pdf-80785e","hewlett-packard","hp-openview","strategic-recommendation","2006","Integration timeline","OpenView integration cycle scheduled over next 18 months","high","public-record","3","HP's planned integration timeline for OpenView-Mercury; customers should review proposed product roadmap and timetable for deliverables."
"hp-mercury-soa-2006-pdf-80785e-obs-007","hp-mercury-soa-2006-pdf-80785e","","mainframe-systems-management","survey-finding","2006","Mainframe involvement in enterprise SOA plans","mainframes heavily involved in enterprise-size ($1B+) company SOA plans","high","aberdeen-survey","3","Aberdeen most recent survey; HP's lack of committed mainframe strategy limits appeal for large mixed-environment enterprises; zOS can be monitored but deeper mainframe management not HP focus."
"hp-mercury-soa-2006-pdf-80785e-obs-008","hp-mercury-soa-2006-pdf-80785e","hewlett-packard","","competitive-analysis","2006","HP-Mercury target market","large enterprises with complex networks, multi-site computing, many IT development projects","high","analyst-judgment","3","HP and Mercury already support wide variety of platforms (Unix, Linux, Windows Server); best suited for large enterprises; small companies (<$50M revenue) unlikely customers — they start with Microsoft."
"hp-mercury-soa-2006-pdf-80785e-obs-009","hp-mercury-soa-2006-pdf-80785e","","service-oriented-architecture","technical-claim","2006","SOA lifecycle impact","SOA affects entire design-code-test-deploy-maintain application lifecycle","high","analyst-judgment","2","SOA involves new way of developing applications affecting entire lifecycle; SOA operating environment requires new capabilities to monitor and manage SOA infrastructure and services."
"hp-mercury-soa-2006-pdf-80785e-obs-010","hp-mercury-soa-2006-pdf-80785e","aberdeen-group","it-governance-software","strategic-recommendation","2005","IT governance as SOA requirement","Aberdeen recommended IT governance as requirement for successful enterprise SOA strategy","high","aberdeen-survey","2","From 'The SOA in IT Benchmark Report, December 2005'; Aberdeen had previously recommended IT governance focus for enterprise SOA success."
"hp-mercury-soa-2006-pdf-80785e-obs-011","hp-mercury-soa-2006-pdf-80785e","hewlett-packard","","prediction","2006","HP future acquisitions","HP likely to remain on acquisitive path; BEA relationship could yield interesting discussions","low","analyst-judgment","3","Kastner speculates HP will continue acquisitions; suggests BEA (which had relationship with Mercury) as potential target. HP did acquire EDS (2008) and 3Com (2010) among others; BEA was acquired by Oracle (2008)."
"hp-mercury-soa-2006-pdf-80785e-obs-012","hp-mercury-soa-2006-pdf-80785e","ibm","service-oriented-architecture","survey-finding","2006","IBM SOA financial performance","IBM showing positive growth and financial performance in SOA area","high","public-record","2","IBM's SOA market success cited as supporting evidence for broad SOA adoption forecast."
