"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"psk-litigation-b452e6-OBS-001","psk-litigation-b452e6","peter-s-kastner","","career-fact","1988","Aberdeen Group tenure start","Joined Aberdeen as VP in 1988; currently EVP; 30+ years IT experience","high","ingest-extraction","document-review","Biography","EVP responsible for 50-person research organization",""
"psk-litigation-b452e6-OBS-002","psk-litigation-b452e6","peter-s-kastner","","career-fact","1987","DEC marketing role","Marketing executive at Digital Equipment Corporation 1987-1988; commercial market competitive analysis","high","ingest-extraction","document-review","Biography","",""
"psk-litigation-b452e6-OBS-003","psk-litigation-b452e6","peter-s-kastner","","career-fact","1979","Stratus Computer role","Marketing executive at Stratus Computer (prior to DEC)","high","ingest-extraction","document-review","Biography","",""
"psk-litigation-b452e6-OBS-004","psk-litigation-b452e6","peter-s-kastner","","career-fact","1979","Arthur D. Little tenure","Over 8 years as consultant/program manager at Arthur D. Little Inc.; dozens of complex technology development projects","high","ingest-extraction","document-review","Biography","Projects: Chase Manhattan Bank trust accounting, Ocean Spray inventory control, hospital information system Rio de Janeiro",""
"psk-litigation-b452e6-OBS-005","psk-litigation-b452e6","wang-laboratories","","career-fact","1969","Wang subsidiary programmer","3 years as programmer/analyst at Wang Laboratories subsidiary; internal accounting systems; application software factory","high","ingest-extraction","document-review","Biography","Developed applications for banking and manufacturing companies",""
"psk-litigation-b452e6-OBS-006","psk-litigation-b452e6","computer-consoles","risc-unix","legal-engagement","1992","Case: Computer Consoles vs GTE Government Systems","Kastner supported plaintiff counsel Blanc Gilburne; reviewed CCI's RISC-Unix technical documentation; proposed as expert witness in commercial computer performance; case settled with substantial damages for plaintiff","high","ingest-extraction","document-review","Litigation Section","Kastner role: technical documentation review, competitive analysis, performance theory",""
"psk-litigation-b452e6-OBS-007","psk-litigation-b452e6","american-software","as400","legal-engagement","1994","Case: GTE Products Corporation v. American Software, Inc.","Kastner supported defense counsel Fulbright & Jaworski; software development breach of contract; Aberdeen assessed technical/project management aspects of IBM AS/400 and 3090 mainframe application development case","high","ingest-extraction","document-review","Litigation Section","Kastner expertise: AS/400, 3090 mainframe, SNA networking, project management, downsized computing",""
"psk-litigation-b452e6-OBS-008","psk-litigation-b452e6","florida-hrs","ibm-mainframe-distributed","legal-engagement","1989","Case: Unisys vs Florida HRS","Kastner supported defense counsel Carlton Fields for Unisys; Unisys protested EDS/IBM bid for distributed human resources system; served as plaintiff expert witness; while plaintiff not sustained Florida cancelled $110M EDS contract afterward","high","ingest-extraction","document-review","Litigation Section","Kastner predicted technical areas that caused EDS contract failure",""
"psk-litigation-b452e6-OBS-009","psk-litigation-b452e6","eds","ibm-mainframe-distributed","actual-outcome","1992","Florida HRS EDS contract cancellation","Florida cancelled $110M EDS contract for non-performance; precisely the technical areas Kastner predicted were inadequate","high","ingest-extraction","document-review","Litigation Section","Retrospective validation of Kastner's expert analysis",""
"psk-litigation-b452e6-OBS-010","psk-litigation-b452e6","crossroads-software","","legal-engagement","1995","Case: Crossroads Software vs Open Systems Advisors","Kastner supported defense counsel Fish & Richardson for defendant Crossroads Software; trademark infringement claim on 'crossroads' name; judge denied preliminary injunction citing Kastner's affidavit; case settled out of court","high","ingest-extraction","document-review","Litigation Section","Kastner: analyzed likelihood of confusion between software company and conference",""
"psk-litigation-b452e6-OBS-011","psk-litigation-b452e6","intelligent-electronics","hp-3000","legal-engagement","1997","Case: IE vs Andersen Consulting LLP (Chester County PA No. 96-04673)","Kastner retained by Montgomery McCracken for Andersen Consulting as defendant's fact expert witness; IE accused Andersen of failing $17M ERP project (order management, inventory, warehouse, financial accounting); Kastner produced 129-page expert witness report; case settled day before trial","high","ingest-extraction","document-review","Litigation Section","Approximately 60 days of time invested; project involved multiple technology rollouts over 3 years",""
"psk-litigation-b452e6-OBS-012","psk-litigation-b452e6","intelligent-electronics","hp-3000","expert-opinion","1997","IE vs Andersen: HP 3000 fitness for purpose issue","Key issue: whether Andersen should have recommended replacing IE's existing HP 3000 computer system; technology maturity and fitness for purpose in mid-1990s context","high","ingest-extraction","document-review","Litigation Section","HP 3000 was a mature platform by mid-1990s; replacement decision was contested",""
"psk-litigation-b452e6-OBS-013","psk-litigation-b452e6","peter-s-kastner","","career-fact","1998","Published works count","Author or co-author of three book-length computer technology market research studies; numerous white papers; widely quoted in trade press; TV appearances; guest lecturer at MIT and Federal University Rio de Janeiro","high","ingest-extraction","document-review","Biography","Cornell University alumnus",""
"psk-litigation-b452e6-OBS-014","psk-litigation-b452e6","peter-s-kastner","","expert-opinion","1998","Kastner expertise domains","OLTP, decision support, client/server architectures, distributed commercial systems development, electronic commerce, commercial benchmark reviewing/analysis; pioneer in industry-standard commercial performance benchmarks","high","ingest-extraction","document-review","Biography","Also: technology risk management, life-cycle benefits, micro-reengineering, technology transitions",""
"psk-litigation-b452e6-OBS-015","psk-litigation-b452e6","aberdeen-group","","strategic-assessment","1998","Aberdeen Group litigation practice","Aberdeen performs custom projects; 50-person research organization; principals quoted extensively in publications; frequent conference/seminar speakers","high","ingest-extraction","document-review","Aberdeen Group section","Unique position bridging technology and business issues",""
