"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"psk-niopubs-3d103b-OBS-001","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1999","Aberdeen Group role","Executive Vice President and Chief Research Officer; responsible for ~40 analysts; officer and board member","high","ingest-extraction","document-review","Bio Header","Also: research operations, staff management, project management, business development, product development"
"psk-niopubs-3d103b-OBS-002","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1988","Aberdeen Group VP start year","Joined Aberdeen as Vice President in 1988","high","ingest-extraction","document-review","Professional History",""
"psk-niopubs-3d103b-OBS-003","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1988","DEC role","Marketing Executive at Digital Equipment Corporation 1987-1988; commercial market competitive analysis for enterprise marketing campaign","high","ingest-extraction","document-review","Professional History",""
"psk-niopubs-3d103b-OBS-004","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1987","Stratus Computer role","Market Development Manager 1981-1987; alternate channels, sales support, trade shows, advertising, partnering, press/analyst relations, customer visits","high","ingest-extraction","document-review","Professional History",""
"psk-niopubs-3d103b-OBS-005","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1981","Prime Computer role","Market Development Manager 1979-1981; government, finance, manufacturing markets; business planning, sales training, vertical market seminars","high","ingest-extraction","document-review","Professional History","Doc has typo '1979-1881'"
"psk-niopubs-3d103b-OBS-006","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1979","Arthur D. Little tenure","Group Program Manager/Program Manager/Consultant 1971-1979; dozens of complex technology development projects spanning manufacturing, banking, health care, government; US and overseas","high","ingest-extraction","document-review","Professional History","ADL Systems Inc. was a subsidiary of Arthur D. Little Inc."
"psk-niopubs-3d103b-OBS-007","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1971","PHI Computer Services role","Senior Programmer/Analyst at PHI Computer Services (Wang subsidiary) 1969-1971; commercial applications and systems development; developed payroll/personnel systems, banking applications, application development tools","high","ingest-extraction","document-review","Professional History",""
"psk-niopubs-3d103b-OBS-008","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1969","Cornell University consulting","Independent consultant at Cornell University 1967-1969; contract application development of commercial, scientific, academic applications","high","ingest-extraction","document-review","Professional History","Also staff member Langmuir Computer Laboratories 1967-1968"
"psk-niopubs-3d103b-OBS-009","psk-niopubs-3d103b","peter-s-kastner","oltp","expert-opinion","1990","1990 OLTP research study authored","Aberdeen's 1990 research study: Transaction Processing into the 1990s: The Hardware Suppliers","high","ingest-extraction","document-review","Area of Professional Focus","Book-length market research study"
"psk-niopubs-3d103b-OBS-010","psk-niopubs-3d103b","peter-s-kastner","","expert-opinion","1991","1991 microprocessor multiprocessing study","1991 study: Evaluating Options in Microprocessor Multiprocessing","high","ingest-extraction","document-review","Area of Professional Focus",""
"psk-niopubs-3d103b-OBS-011","psk-niopubs-3d103b","peter-s-kastner","","expert-opinion","1992","1992 clustering technology study","1992 study on clustering technology","high","ingest-extraction","document-review","Area of Professional Focus",""
"psk-niopubs-3d103b-OBS-012","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1999","Total Aberdeen publications","Over 60 publications authored during Aberdeen tenure; contributed research to and edited several hundred","high","ingest-extraction","document-review","Area of Professional Focus","Ten-year publication list appended to document"
"psk-niopubs-3d103b-OBS-013","psk-niopubs-3d103b","peter-s-kastner","tpc-benchmark","career-fact","1999","TPC benchmark role","Auditor of TPC benchmarks; now industry advisor to Transaction Processing Council; frequently quoted in trade press","high","ingest-extraction","document-review","Area of Professional Focus","Pioneer in industry-standard commercial performance benchmarks"
"psk-niopubs-3d103b-OBS-014","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1999","Conference speaking clients","Spoke on behalf of Apple Computer, AT&T, Computer Associates/CA Ingres, CEO Institute, Digital Equipment, Hewlett-Packard, IBM, Informix, Intel, NCR, Oracle, Sequent, Software AG, Stratus Computer, Tandem Computers","high","ingest-extraction","document-review","Area of Professional Focus","Broad range of IT vendor clients for speaking engagements"
"psk-niopubs-3d103b-OBS-015","psk-niopubs-3d103b","peter-s-kastner","oltp","expert-opinion","1999","OLTP expertise depth","One of computer industry's leading analysts of OLTP, decision support, client/server, distributed development, e-commerce, commercial benchmark auditing","high","ingest-extraction","document-review","Area of Professional Focus","Key expertise declaration for expert witness and consulting"
"psk-niopubs-3d103b-OBS-016","psk-niopubs-3d103b","peter-s-kastner","","legal-engagement","1992","Litigation case: Computer Consoles vs GTE","Plaintiff support (Blanc Gilburne); RISC-Unix technical documentation; proposed expert witness; settled substantial damages for plaintiff","high","ingest-extraction","document-review","Litigation Biography","Same case as PSK-litigation.docx with year 1992 added"
"psk-niopubs-3d103b-OBS-017","psk-niopubs-3d103b","peter-s-kastner","as400","legal-engagement","1994","Litigation case: GTE Products vs American Software","Defense support (Fulbright & Jaworski); AS/400 and 3090 mainframe expertise; breach of contract","high","ingest-extraction","document-review","Litigation Biography","Year 1994 specified"
"psk-niopubs-3d103b-OBS-018","psk-niopubs-3d103b","peter-s-kastner","ibm-3090","legal-engagement","1989","Litigation case: Unisys vs Florida HRS","Plaintiff expert witness (Carlton Fields for Unisys); distributed IBM mainframe systems; $110M EDS contract later cancelled","high","ingest-extraction","document-review","Litigation Biography","Year 1989 specified"
"psk-niopubs-3d103b-OBS-019","psk-niopubs-3d103b","aberdeen-group","","career-fact","1999","Aberdeen Group research staff size","Approximately forty analysts under Kastner's leadership","high","ingest-extraction","document-review","Bio Header",""
"psk-niopubs-3d103b-OBS-020","psk-niopubs-3d103b","peter-s-kastner","","career-fact","1967","Career start year","Career began 1967 at Cornell University (Langmuir Computer Laboratories); independent consulting 1967-1969","high","ingest-extraction","document-review","Professional History","Total career span: 1967-present (30+ years by 1999)"
