"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"ibm","IBM","company","Enterprise IT Hardware/Services","active","","1911-present","ibm-scm-murray2-tm-4a0fbf","Client for Aberdeen's consulting pitch; targeted at IBM's On Demand and SCM/Procurement practices."
"aberdeen-group","Aberdeen Group","firm","IT Market Research","acquired","Aberdeen/Harte-Hanks","1988-present","ibm-scm-murray2-tm-4a0fbf","Consulting firm author of the pitch deck."
"ibm-bcs","IBM Business Consulting Services (BCS)","firm","Consulting","rebranded","IBM Global Business Services","2002-2010","ibm-scm-murray2-tm-4a0fbf","IBM's consulting arm post-PwC acquisition; one potential Aberdeen counterparty discussed for alignment."
"jamie-bedard","Jamie Bedard","person","IT Market Research","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","President & CEO of Aberdeen Group; primary Aberdeen signatory of the pitch."
"peter-s-kastner","Peter S. Kastner","person","IT Market Research","active","","1988-present","ibm-scm-murray2-tm-4a0fbf","Aberdeen Group EVP; participated in the Aberdeen-IBM alignment meeting."
"tim-minahan","Tim Minahan","person","IT Market Research","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","Aberdeen SCM/Procurement analyst; later CMO at SAP Ariba and CMO at Citrix."
"chris-jones","Chris Jones","person","IT Market Research","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","Aberdeen analyst participating in IBM engagement."
"tom-ryan","Tom Ryan","person","IT Market Research","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","Aberdeen analyst participating in IBM engagement."
"john-farrell","John Farrell","person","IT Market Research","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","Aberdeen analyst participating in IBM engagement."
"john-leffler","John Leffler","person","IBM","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","IBM leadership contact for the alignment meeting."
"bill-schaefer","Bill Schaefer","person","IBM","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","IBM leadership contact."
"gus-gaeta","Gus Gaeta","person","IBM","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","IBM leadership contact."
"barry-boehm","Barry Boehm","person","IBM","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","IBM leadership contact (likely IBM employee, not software-engineering academic)."
"john-sharman","John Sharman","person","IBM","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","IBM leadership contact."
"charles-vianey","Charles Vianey","person","IBM","[DEFERRED]","[DEFERRED]","2000s","ibm-scm-murray2-tm-4a0fbf","IBM leadership contact."
"ism","Institute for Supply Management (ISM)","institution","Procurement","active","","1915-present","ibm-scm-murray2-tm-4a0fbf","Target venue (ISM Conference, May) for proposed joint Aberdeen-IBM On Demand Supply Management workshop."
