"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"ibm","IBM","company","Enterprise IT / Value Chain","active","","1911-present","ibmfinal1-3-720230","Prospective client for Aberdeen research sponsorship bundle."
"aberdeen-group","Aberdeen Group","firm","IT Market Research","acquired","Aberdeen/Harte-Hanks","1988-present","ibmfinal1-3-720230","Proposal author."
"peter-s-kastner","Peter S. Kastner","person","IT Market Research","active","","1988-present","ibmfinal1-3-720230","Aberdeen EVP; IBM account analyst."
"ism","Institute for Supply Management (ISM)","institution","Procurement","active","","1915-present","ibmfinal1-3-720230","Proposed venue for joint On Demand Supply Management workshop (May ISM Conference)."
"penton-media","Penton Media","company","B2B Media","acquired","Informa","1998-2016","ibmfinal1-3-720230","ERA partner for Spending Analysis Benchmarking Report (2,845 downloads)."
"isource-business","iSource Business","company","B2B Media","unknown","","1990s-2000s","ibmfinal1-3-720230","ERA partner for Supplier Performance Measurement Benchmark (3,213 downloads). [REVIEW]"
"industryweek","IndustryWeek","company","B2B Media","active","","1970-present","ibmfinal1-3-720230","ERA partner for Service Parts Management Benchmark (2,212 downloads)."
"mro-software","MRO Software","company","EAM Software","acquired","IBM (Maximo)","1968-2006","ibmfinal1-3-720230","ERA sponsor cited in testimonial quote; acquired by IBM for Maximo in 2006."
"scott-danish","Scott Danish","person","SCM Software","unknown","","2000s","ibmfinal1-3-720230","Director SCM, ERA sponsor testimonial. [REVIEW]"
"sam-miller","Sam Miller","person","B2B Marketing","unknown","","2000s","ibmfinal1-3-720230","Sr. Director of Marketing, ERA sponsor testimonial. [REVIEW]"
"brian-desmond","Brian Desmond","person","B2B Marketing","unknown","","2000s","ibmfinal1-3-720230","Sr. Marketing Director testimonial. [REVIEW]"
"glen-kazerman","Glen Kazerman","person","B2B Sales","unknown","","2000s","ibmfinal1-3-720230","SVP Sales & Marketing testimonial. [REVIEW]"
