"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"intel-dss99-42b2bc.001","intel-dss99-42b2bc","aberdeen-group","decision-support","","","","","high","ingest-extraction","","","Q3 1999 delivery; within 45 days of prospect list receipt",""
"intel-dss99-42b2bc.002","intel-dss99-42b2bc","aberdeen-group","decision-support","","","","","high","ingest-extraction","","","Q3 1999; within 60 days of prospect list receipt",""
"intel-dss99-42b2bc.003","intel-dss99-42b2bc","intel","decision-support","","","","","high","ingest-extraction","","","Decision support CPU demand driver",""
"intel-dss99-42b2bc.004","intel-dss99-42b2bc","intel","ia64-itanium","","","","","high","ingest-extraction","","","IA-64 adoption challenge assessment",""
"intel-dss99-42b2bc.005","intel-dss99-42b2bc","intel","ia64-itanium","","","","","medium","ingest-extraction","","","Market positioning question for IA-64 in DSS",""
"intel-dss99-42b2bc.006","intel-dss99-42b2bc","intel","ia64-itanium","","","","","medium","ingest-extraction","","","IA-64 actual outcome",""
"intel-dss99-42b2bc.007","intel-dss99-42b2bc","aberdeen-group","decision-support","","","","","high","ingest-extraction","","","RAMP interview design specification",""
"intel-dss99-42b2bc.008","intel-dss99-42b2bc","aberdeen-group","decision-support","","","","","high","ingest-extraction","","","Interview project design specification",""
"intel-dss99-42b2bc.009","intel-dss99-42b2bc","intel","decision-support","","","","","high","ingest-extraction","","","Market strategy recommendation for Intel",""
"intel-dss99-42b2bc.010","intel-dss99-42b2bc","aberdeen-group","decision-support","","","","","high","ingest-extraction","","","Standard Aberdeen RAMP pricing",""
"intel-dss99-42b2bc.011","intel-dss99-42b2bc","intel","decision-support","","","","","high","ingest-extraction","","","DSS workload distribution research question",""
"intel-dss99-42b2bc.012","intel-dss99-42b2bc","intel","intel-xeon","","","","","high","ingest-extraction","","","Hardware positioning research objective",""
"intel-dss99-42b2bc.013","intel-dss99-42b2bc","aberdeen-group","decision-support","","","","","high","ingest-extraction","","","Hybrid interview methodology",""
"intel-dss99-42b2bc.014","intel-dss99-42b2bc","aberdeen-group","","","","","","high","ingest-extraction","","","Total project cost if both studies accepted",""
