"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-kastner","Peter S. Kastner","person","IT Market Research","active","[none]","1988-present","intel-pulse-check-ia-continuum-2013-3a693f",""
"intel-corp","Intel Corporation","company","Semiconductors","active","","1968-present","intel-pulse-check-ia-continuum-2013-3a693f",""
"amd","Advanced Micro Devices","company","Semiconductors","active","","1969-present","intel-pulse-check-ia-continuum-2013-3a693f",""
"nvidia","NVIDIA","company","Semiconductors","active","","1993-present","intel-pulse-check-ia-continuum-2013-3a693f",""
"arm-holdings","ARM Holdings","company","Semiconductor IP","acquired","SoftBank (2016) / SPO 2023","1990-present","intel-pulse-check-ia-continuum-2013-3a693f","Micro-server threat"
"apple","Apple Inc.","company","Consumer Electronics","active","","1976-present","intel-pulse-check-ia-continuum-2013-3a693f","iOS"
"google","Google","company","Internet Services","active","Alphabet (2015)","1998-present","intel-pulse-check-ia-continuum-2013-3a693f","Android"
"microsoft","Microsoft","company","Software","active","","1975-present","intel-pulse-check-ia-continuum-2013-3a693f","Windows"
"amazon","Amazon","company","Cloud/Retail","active","","1994-present","intel-pulse-check-ia-continuum-2013-3a693f","Mega-datacenter customer"
"facebook","Facebook","company","Social Media","active","Meta (2021)","2004-present","intel-pulse-check-ia-continuum-2013-3a693f","Mega-datacenter customer"
"ncr-corp","NCR Corporation","company","IT Hardware","active","","1884-present","intel-pulse-check-ia-continuum-2013-3a693f","1990s 486-server customer"
"sequent","Sequent Computer Systems","company","Servers","acquired","IBM (1999)","1983-1999","intel-pulse-check-ia-continuum-2013-3a693f","1990s 486-server customer"
