"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"intelitaniummfewp1[1]-773ea2-OBS-001","intelitaniummfewp1[1]-773ea2","ibm","ibm-zseries-z990","competitive-position","2004","Mainframe market dominance","overwhelmingly dominant; zSeries monopoly","high","ingest-extraction","expert-opinion","p1","The mainframe market is overwhelmingly dominated by IBM zSeries"
"intelitaniummfewp1[1]-773ea2-OBS-002","intelitaniummfewp1[1]-773ea2","","itanium-2","benchmark-result","2003","Itanium 2 performance vs Xeon","30-100% better (Intel estimate)","medium","ingest-extraction","vendor-claim","p2","Intel estimates Itanium 2 has approximately 30 to 100% better performance than Xeon in enterprise/technical applications"
"intelitaniummfewp1[1]-773ea2-OBS-003","intelitaniummfewp1[1]-773ea2","","ia32-execution-layer","benchmark-result","2003","IA-32 emulation performance on Itanium","50-70% of native Itanium performance","medium","ingest-extraction","vendor-claim","p2","IA-32 Execution Layer for 32-bit Windows emulation delivers 50-70% of native Itanium performance"
"intelitaniummfewp1[1]-773ea2-OBS-004","intelitaniummfewp1[1]-773ea2","intel","itanium-2","market-sizing","2003","Itanium platform breadth 2003","1000+ key business apps; 50+ platforms","high","ingest-extraction","vendor-claim","p2","Itanium in 2003: support for 1000+ key business applications; implemented on 50+ platforms"
"intelitaniummfewp1[1]-773ea2-OBS-005","intelitaniummfewp1[1]-773ea2","intel","madison-itanium","viability-prediction","2004","Itanium performance improvement over 3 years","7x improvement planned","refuted","outcome-linkage","vendor-claim","p2","Intel plans to improve Itanium performance by more than 7x over next three years"
"intelitaniummfewp1[1]-773ea2-OBS-006","intelitaniummfewp1[1]-773ea2","intel","madison-itanium","actual-outcome","2004","Itanium 7x performance improvement","[UNVERIFIED]","refuted","ingest-extraction","unknown [REVIEW]","",""
"intelitaniummfewp1[1]-773ea2-OBS-007","intelitaniummfewp1[1]-773ea2","intel","itanium-2","viability-prediction","2004","Xeon-Itanium cost parity","Intel aims to achieve cost parity","refuted","outcome-linkage","vendor-claim","p2","Intel aims to achieve cost parity between Xeon and Itanium lines"
"intelitaniummfewp1[1]-773ea2-OBS-008","intelitaniummfewp1[1]-773ea2","intel","itanium-2","actual-outcome","2004","Xeon-Itanium cost parity achieved","[UNVERIFIED]","refuted","ingest-extraction","unknown [REVIEW]","",""
"intelitaniummfewp1[1]-773ea2-OBS-009","intelitaniummfewp1[1]-773ea2","ibm","ibm-zseries-z990","trend-analysis","2004","IBM mainframe discounting trend","increasingly discounting to maintain position","high","ingest-extraction","user-interview","p1","IBM increasingly discounting mainframe prices over past year as customers add applications and workloads"
"intelitaniummfewp1[1]-773ea2-OBS-010","intelitaniummfewp1[1]-773ea2","","","market-sizing","2004","Survey: mainframe users satisfied","60% satisfied","high","ingest-extraction","survey","p5","60% of mainframe survey respondents satisfied; 40% neutral or dissatisfied"
"intelitaniummfewp1[1]-773ea2-OBS-011","intelitaniummfewp1[1]-773ea2","","ibm-zseries-z990","benchmark-result","2004","Mainframe: robustness rating","#1 satisfaction; 48% satisfied, 4% concerned","high","ingest-extraction","survey","p5","Greatest satisfaction area is robustness (48% satisfied, 4% concerned)"
