"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"rdbms","Relational Database (RDBMS)","application","various","1970s-present","dominant","dominant","jungle-1-5-675c58","Central market subject"
"oltp","Online Transaction Processing","application","various","1980s-present","dominant","current","jungle-1-5-675c58","Primary RDBMS workload"
"decision-support","Decision Support / Business Intelligence","application","various","1985-present","growing","dominant","jungle-1-5-675c58","Secondary workload; not yet $2B market"
"oracle-7","Oracle 7.x","application","Oracle","1992-present","dominant","legacy","jungle-1-5-675c58","Oracle key product; ORACLE 7.1"
"oracle-8","Oracle 8","application","Oracle","1996-planned","pre-release","legacy","jungle-1-5-675c58","Oracle next-gen OO database; not until 1996"
"sybase-sql-server","Sybase SQL Server / System 11","application","Sybase","1987-present","major","legacy","jungle-1-5-675c58","Sybase key product; System 10 -> System 11"
"sybase-navigation-server","Sybase Navigation Server","application","Sybase","1994-present","niche","legacy","jungle-1-5-675c58","Sybase MPP product on NCR 3600"
"sybase-iq","Sybase IQ Accelerator","application","Sybase","1994-present","niche","legacy","jungle-1-5-675c58","Sybase decision support accelerator"
"sybase-powerbuilder","Sybase PowerBuilder","application","Sybase","1991-present","dominant","legacy","jungle-1-5-675c58","Acquired with Powersoft; fills tools gap"
"ibm-db2","IBM DB2","application","IBM","1983-present","major","dominant","jungle-1-5-675c58","IBM key DBMS product; DB2/6000 v2"
"ibm-sp2","IBM SP2","platform","IBM","1994-present","growing","legacy","jungle-1-5-675c58","IBM MPP platform for DB2"
"rs6000-smp","IBM RS/6000 SMP","platform","IBM","1992-present","growing","legacy","jungle-1-5-675c58","IBM SMP server for DB2"
"microsoft-sql-server","Microsoft SQL Server","application","Microsoft","1988-present","growing","dominant","jungle-1-5-675c58","SQL Server 6.0 from Sybase lineage; diverged"
"ca-ingres","CA-Ingres (OpenIngres)","application","Computer Associates","1980-present","declining","end-of-life","jungle-1-5-675c58","CA acquired Ingres; $30M marketing campaign"
"tpc-c","TPC-C Benchmark","standard","TPC","1992-present","dominant","legacy","jungle-1-5-675c58","Key OLTP benchmark for RDBMS competition"
"unix","UNIX (various)","platform","various","1969-present","dominant","current","jungle-1-5-675c58","Primary RDBMS deployment platform"
"aix","IBM AIX","platform","IBM","1986-present","mature","current","jungle-1-5-675c58","IBM's Unix variant for RS/6000"
"hp-9000","HP 9000","platform","HP","1984-present","mature","legacy","jungle-1-5-675c58","HP enterprise server platform"
"sun-solaris","Sun Solaris","operating-system","Sun","1991-present","dominant","legacy","jungle-1-5-675c58","Sun Unix variant"
"oracle-parallel-server","Oracle Parallel Server","application","Oracle","1993-present","growing","legacy-superseded","jungle-1-5-675c58","Oracle parallel/scalable product"
"ordbms","Object-Relational DBMS (ORDBMS)","application","various","1994-present","emerging","current","jungle-1-5-675c58","CA-Ingres + Fujitsu partnership for ORDBMS in 1996"
"digital-vax","Digital VAX/OpenVMS","platform","DEC","1977-present","declining","legacy","jungle-1-5-675c58","DEC platform for Sybase tier-1 support"
