"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"application-integration-eai","Application Integration / EAI","discipline","industry","1990s-2010s","growth","evolved-to-ipaas","kastner-jrl-trends-1999-pk-responses-f4c5a4","Mid-late 1990s integration category"
"data-warehouse","Data Warehouse","category","industry","1990s-present","mature","evolved-to-data-lakehouse","kastner-jrl-trends-1999-pk-responses-f4c5a4","EBA-group-defined integration approach"
"real-time-warehousing","Real-Time Warehousing","discipline","industry","1999-present","early","evolved-to-stream-processing","kastner-jrl-trends-1999-pk-responses-f4c5a4","Cutting-edge 1999 framing of low-latency analytics"
"y2k-remediation","Y2K (Year 2000) Remediation","category","industry","1995-2000","peak","completed","kastner-jrl-trends-1999-pk-responses-f4c5a4","Largest enterprise IT initiative of the 1990s"
"y2k-contingency-planning","Y2K Contingency Planning","discipline","industry","1998-2000","peak","completed","kastner-jrl-trends-1999-pk-responses-f4c5a4","Business-unit-level disaster planning for Y2K rollover"
"windows-2000","Windows 2000","platform","Microsoft","2000-2010","pre-launch","obsolete","kastner-jrl-trends-1999-pk-responses-f4c5a4","Successor to NT 4.0 expected late 1999"
"microsoft-office-97","Microsoft Office 97","application","Microsoft","1997-2003","mature","obsolete","kastner-jrl-trends-1999-pk-responses-f4c5a4","1999 production Office suite"
"microsoft-office-2000","Microsoft Office 2000","application","Microsoft","1999-2009","pre-launch","obsolete","kastner-jrl-trends-1999-pk-responses-f4c5a4","HTML-publishing-capable next-gen Office; delayed to Q2 1999"
"microsoft-vba","Microsoft VBA (Visual Basic for Applications)","language","Microsoft","1993-present","mature","active","kastner-jrl-trends-1999-pk-responses-f4c5a4","Cited as workgroup-contingency scripting layer"
"microsoft-access","Microsoft Access","application","Microsoft","1992-present","mature","active","kastner-jrl-trends-1999-pk-responses-f4c5a4","Cited in workgroup-contingency stack"
"lotus-notes","Lotus Notes","platform","Lotus/IBM","1989-present","mature","rebranded-HCL-Notes","kastner-jrl-trends-1999-pk-responses-f4c5a4","Cited as alternative workgroup-contingency stack"
"intranet","Intranet","category","industry","1995-present","growth-1999","active","kastner-jrl-trends-1999-pk-responses-f4c5a4","Internal-web framing cited in 1999"
"e-commerce","E-Commerce","category","industry","1995-present","growth-1999","ubiquitous","kastner-jrl-trends-1999-pk-responses-f4c5a4","Roll-your-own approach cited in 1999"
"isp-service","ISP / Internet Service Provider business","category","industry","1990s-present","growth-1999","evolved-to-cloud","kastner-jrl-trends-1999-pk-responses-f4c5a4","Kastner-extended trend foreshadowing utility/cloud computing"
"ip-telephony","IP Telephony / VoIP","protocol","industry","1995-present","early-1999","ubiquitous","kastner-jrl-trends-1999-pk-responses-f4c5a4","Kastner-extended trend"
"oo-development","Object-Oriented Development","discipline","industry","1980s-present","mature-1999","ubiquitous","kastner-jrl-trends-1999-pk-responses-f4c5a4","Kastner-extended trend on year of the object"
"ibm-san-francisco","IBM San Francisco Project","framework","IBM","1996-2001","growth-1999","discontinued","kastner-jrl-trends-1999-pk-responses-f4c5a4","Java/business-component framework cited as object-business driver"
"erp-systems","ERP Systems (SAP/Oracle/PeopleSoft)","category","industry","1990s-present","mature","active","kastner-jrl-trends-1999-pk-responses-f4c5a4","Cited as moving toward CIS/warehousing/vertical depth"
"enterprise-security","Enterprise IT Security","category","industry","1990s-present","growth-1999","active","kastner-jrl-trends-1999-pk-responses-f4c5a4","Kastner-extended trend on cross-cutting security ownership"
"tcp-ip","TCP/IP","protocol","industry","1980s-present","ubiquitous","ubiquitous","kastner-jrl-trends-1999-pk-responses-f4c5a4","Cited as creating LAN/WAN security holes"
