"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-001","unisys-florida-hrs-expert-witness-tallah-5b4524","peter-s-kastner","ibm-mainframe","personal-recollection","1990","Kastner expert witness search method","Went through a box of computer paper to find the single IBM performance estimate sheet that proved the mainframe + DB2 architecture could not support the required terminal counts and average response time","medium","ingest-extraction","oral-history","Kastner first-person addition","Medium confidence: personal recollection without contemporaneous document in this file",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-002","unisys-florida-hrs-expert-witness-tallah-5b4524","peter-s-kastner","ibm-db2","personal-recollection","1990","The decisive evidence found","Single IBM performance estimate sheet proved that the proposed mainframe plus DB2 architecture could not support the required terminal counts and average response time","medium","ingest-extraction","oral-history","Kastner first-person addition","This is the evidentiary pivot of the expert witness testimony",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-003","unisys-florida-hrs-expert-witness-tallah-5b4524","peter-s-kastner","","personal-recollection","1991","Testimony venue","Testified as expert witness in a hearing in the Florida Senate Chamber, Tallahassee","medium","ingest-extraction","oral-history","Kastner first-person addition","Specific venue: Florida Senate Chamber, Tallahassee; c.1990-1991 timeframe",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-004","unisys-florida-hrs-expert-witness-tallah-5b4524","unisys","","personal-recollection","1991","Outcome of testimony","Unisys lost the bid despite Kastner's testimony","medium","ingest-extraction","oral-history","Kastner first-person addition","IBM/EDS reputation ('no one ever got fired for buying IBM') overcame the technical argument",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-005","unisys-florida-hrs-expert-witness-tallah-5b4524","ibm","","personal-recollection","1993","Implementation outcome Kastner's framing","IBM and Unisys both failed miserably in the $200M fiasco (Kastner's characterization)","medium","ingest-extraction","oral-history","Kastner first-person addition","IBM and EDS both failed in implementation; EDS is referenced as entity. Kastner frames it as both vendor failure; his metaphor: tipped over the dominoes",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-006","unisys-florida-hrs-expert-witness-tallah-5b4524","peter-s-kastner","clinger-cohen-act","personal-recollection","1996","Congressional legislation triggered by cascade","Congress eventually passed two pieces of Cohen legislation that stand to this day","medium","ingest-extraction","oral-history","Kastner first-person addition","Kastner uses the metaphor 'tipped over the dominoes' to describe his role in setting the cascade in motion leading to Clinger-Cohen Act",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-007","unisys-florida-hrs-expert-witness-tallah-5b4524","peter-s-kastner","","personal-recollection","2026","Kastner's metaphor for his role","Tipped over the dominoes — Kastner's own metaphor for his role in setting the cascade in motion","medium","ingest-extraction","oral-history","Kastner first-person addition","Reflective memoir framing written January 2026",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-008","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","","expert-opinion","1989","EDS contract value","$104 million contract to Electronic Data Systems (EDS) Federal Corp. in 1989 to design and maintain the FLORIDA System welfare computer","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1][2]","Tampa Bay Times citations [1][2] confirm contract value and year",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-009","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","","expert-opinion","1989","FLORIDA System description","Touted as first of its kind in the world; massive centralized computer system to determine eligibility and issue welfare benefits across entire state","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1][2]","Florida HRS FLORIDA System — acronym for the project name",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-010","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","ibm-mainframe","expert-opinion","1990","Project scope change to centralized architecture","By 1990 project scope changed dramatically to a massive centralized system operated out of Tallahassee, creating the architectural bottleneck","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1]","Tampa Bay Times citation [1]; scope change is key precipitating factor",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-011","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","ibm-db2","expert-opinion","1992","System crash: April 1992 food stamp distribution","System crashed during the April 1992 food stamp distribution cycle","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1][2]","First major public failure; food stamp distribution stoppage",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-012","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","ibm-mainframe","expert-opinion","1992","System crash: June 1992 after HRS takeover","System crashed again in June 1992 after HRS took over operations from EDS","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1][2]","Second crash occurred when HRS assumed operational responsibility from EDS",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-013","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","ibm-mainframe","expert-opinion","1992","Initial response times","System response times initially measured in minutes — completely unacceptable for interactive welfare processing","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [2]","Caseworkers needed sub-second responses to serve clients efficiently; minutes was catastrophic",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-014","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","","expert-opinion","1993","National food stamp error records","Florida set national records for error rates in issuing food stamps; more than $200 million in food stamp errors including overpayments and underpayments","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1]","Tampa Bay Times citation [1]; $200M in food stamp errors alone",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-015","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","","expert-opinion","1993","Improper Medicaid recipients","200,000 ineligible Medicaid recipients on state rolls; $28 million in improper Medicaid payments","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1]","Combined welfare errors (food stamps + Medicaid) due to system failures",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-016","unisys-florida-hrs-expert-witness-tallah-5b4524","eds","","expert-opinion","1993","EDS lawsuit for unpaid bills","EDS sued Florida HRS for $46 million in unpaid bills; HRS countersued that EDS had failed to deliver","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1]","Litigation ended the EDS contract; state cancelled the $110M EDS contract for non-performance",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-017","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","ibm-mainframe","expert-opinion","1994","CPU utilization at near-peak","By fall 1994 CPU was operating at 95-100% capacity during business hours vs. industry average of 65%; staff worked nights and Saturdays to reduce load","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [2]","Tampa Bay Times citation [2]; industry average 65% vs. Florida 95-100%",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-018","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","ibm-mainframe","expert-opinion","1994","Final response times after remediation","Response times eventually improved to 3-4 seconds after heroic effort and schedule changes — still slow for interactive casework","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [2]","Tampa Bay Times citation [2]; 3-4 seconds still considered unacceptable for welfare casework",""
"unisys-florida-hrs-expert-witness-tallah-5b4524-OBS-019","unisys-florida-hrs-expert-witness-tallah-5b4524","florida-hrs","","expert-opinion","1993","Criminal indictments","Two former HRS officials indicted in 1993","verified","ingest-extraction","archival-research","Perplexity-Q1-Answer [1]","Tampa Bay Times citation [1]: August 19, 1993 'Former HRS officials indicted'",""
