"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"ibm-db2","IBM DB2","application","IBM","1983-present","mature","active","unisys-florida-hrs-expert-witness-tallah-5b4524","Central to the architectural dispute: IBM/EDS proposed centralized DB2 on mainframe in Tallahassee; all transactions routed through this single point. Reused from cache."
"ibm-mainframe","IBM Mainframe","platform","IBM","1964-present","mature","legacy-supported","unisys-florida-hrs-expert-witness-tallah-5b4524","The proposed centralized architecture; IBM ES/9000 series mainframe family in use circa 1990-1992. Peak CPU hit 95-100% under production load. Reused from cache."
"cobol","COBOL Programming Language","language","various","1959-present","mature","legacy-supported","unisys-florida-hrs-expert-witness-tallah-5b4524","Welfare systems were COBOL-based; California EDD and Florida HRS both ran COBOL legacy systems. Reused from cache."
"bna","Burroughs Network Architecture (BNA)","protocol","Burroughs/Unisys","1970s-1990s","mature","obsolete","unisys-florida-hrs-expert-witness-tallah-5b4524","Peer-to-peer distributed architecture from the Burroughs side of Unisys; proposed as alternative to centralized mainframe; well-suited for regional processing."
"dca","Distributed Communications Architecture (DCA)","protocol","Unisys","1985-1995","mature","obsolete","unisys-florida-hrs-expert-witness-tallah-5b4524","Unisys distributed computing architecture from the Sperry UNIVAC lineage; peer-to-peer, regionally distributed; contrasted against IBM's centralized approach."
"client-server-architecture","Client-Server Architecture","framework","multiple","1985-2000","mature","legacy-supported","unisys-florida-hrs-expert-witness-tallah-5b4524","The emerging alternative to centralized mainframe; Unisys's architecture was aligned with distributed/client-server paradigm that was winning the 1990s platform wars. Reused from cache."
"distributed-computing","Distributed Computing","framework","multi-vendor","1980s-present","emerging","mature","unisys-florida-hrs-expert-witness-tallah-5b4524","The architectural paradigm that Unisys championed and IBM/EDS rejected for the Florida HRS system; validated by subsequent system failures. Reused from cache."
"oltp","Online Transaction Processing","application","Various","1992","mature","mature","unisys-florida-hrs-expert-witness-tallah-5b4524","Core workload type for welfare systems: caseworker queries checking eligibility across multiple programs; sub-second response time required. Reused from cache."
"clinger-cohen-act","Clinger-Cohen Act of 1996","framework","US Congress","1996-present","not-applicable","active","unisys-florida-hrs-expert-witness-tallah-5b4524","Combines Information Technology Management Reform Act (Cohen) + Federal Acquisition Reform Act (Clinger); enacted 1996; established CIO requirements, capital planning, performance-based IT management; still in force 2026."
"parallel-sysplex","IBM Parallel Sysplex","platform","IBM","1994-present","emerging","active","unisys-florida-hrs-expert-witness-tallah-5b4524","IBM mainframe scale-out architecture developed partly in response to the performance limitations exposed by cases like Florida HRS; mentioned in research as IBM's answer to mainframe scalability critiques."
"waterfall-development","Waterfall Software Development Methodology","framework","industry","1970s-2000s","mature","declining","unisys-florida-hrs-expert-witness-tallah-5b4524","Government procurement relied almost exclusively on waterfall methods; requirements frozen before development began; catastrophic for multi-year projects in rapidly changing technology environments."
