"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1969-present","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Aberdeen Group co-founder, VP/EVP/CRO; prior: PHI, Wang, ADL, Prime, Stratus, DEC"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (2007); Spiceworks Ziff Davis","1988-present","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Boston-based IT research firm"
"ncr-corporation","NCR Corporation","company","retail-and-financial-systems","active","Spun out of AT&T 1996; later split NCR/NCR Voyix 2023","1884-present","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Retail/banking systems; pioneered Teradata DW after acquisition"
"att-corp","AT&T Corporation","company","telecommunications-and-systems","split","Multiple divestitures; AT&T Inc. is now SBC-based","1885-present","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Owner of NCR 1991-1996 (Global Information Solutions)"
"oracle-corporation","Oracle Corporation","company","database-and-applications","active","","1977-present","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Relational database market leader"
"informix-software","Informix Software","company","database","acquired","IBM (2001)","1980-2001","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","RDBMS vendor; Dynamic Scalable Architecture launched 1994"
"sybase-inc","Sybase, Inc.","company","database","acquired","SAP (2010)","1984-2010","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","RDBMS vendor; competitor to Oracle and Informix"
"intel-corporation","Intel Corporation","company","semiconductor","active","","1968-present","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","x86 CPU industry leader"
"unix-international","Unix International","institution","standards","dissolved","Dissolved ~1993 after COSE agreement unified Unix camps","1988-1993","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","AT&T/Sun response to OSF; guided USL Unix development"
"x-open-company","X/Open Company Ltd.","institution","standards","merged","Merged with OSF into The Open Group (1996)","1984-1996","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Unix portability/interoperability standards consortium"
