"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"open-oltp","Open Online Transaction Processing (Open OLTP)","computing-paradigm","industry","1990s-2000s","emerging","matured-into-XA-and-cloud-microservices","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Subject of seminar; Aberdeen-Kastner thesis delivered to Norwegian audience"
"oltp-traditional","Traditional OLTP (proprietary)","computing-paradigm","IBM-CICS/Tandem/Stratus","1970s-1990s","incumbent","legacy-mostly-displaced","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Per Kastner abstract: characterized by central computer + dumb terminals + proprietary TP"
"client-server-computing","Client-Server Computing","architecture","Multiple","1988-2005","emerging-rising","legacy","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Per Aamodt abstract: shift to multi-vendor multi-machine multi-OS environment"
"relational-database","Relational Database Management Systems (RDBMS)","database","Oracle/Informix/Sybase/IBM-DB2","1980s-present","mature","active","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Aamodt's RDBMS-OLTP synergy track; Oracle positioned as backbone"
"unix-system-v","UNIX System V (Release 4)","operating-system","USL/AT&T-NCR","1990s","current","evolved-into-Linux-mainstream","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Hansen abstract subject; basis for NCR Model 3550 multiprocessor"
"unix-intl-atlas","Unix International ATLAS Architecture","architecture","Unix International","1991-1993","emerging","obsolete","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Hansen abstract: umbrella architecture defining Corporate Hub Environment"
"corporate-hub-environment","Corporate Hub Environment (CHE)","architecture","Unix International / NCR","1992-1993","emerging","obsolete","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Computing environment for business-critical commercial processing under UNIX SVR4"
"ncr-topend","NCR TopEND TP Monitor","system-software","NCR","1991-mid-2000s","emerging","obsolete","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","TP monitor supporting X/Open standard; runs against Informix/Oracle/Sybase including parallel versions"
"ncr-3550","NCR Model 3550","computer-system","NCR","1992-mid-1990s","current","obsolete","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","UNIX V.4 multiprocessor up to eight i486-50MHz, ~320 MIPS, supports 1,000+ workstations directly or via LAN"
"intel-i486-50mhz","Intel i486 at 50MHz","microprocessor","Intel","1991-1995","current","obsolete","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Up to eight per NCR 3550 cabinet"
"downsizing","Downsizing/Rightsizing","IT-strategy","industry-trend","1990s","rising","evolved-into-cloud-migration","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","Cited in Kastner abstract as Open OLTP advantage"
"x-open-dtp","X/Open Distributed Transaction Processing (DTP)","protocol","X/Open","1990-2000","emerging","superseded-by-XA-and-WS-AT","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","TopEND supports X/Open standard for transaction processing"
"local-area-network","Local Area Network (LAN)","network-architecture","industry","1980s-present","mature","active","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414","NCR 3550 supports 1,000+ workstations via LAN"
