"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"nc-server","NC Server","platform","Network Computer Inc.","1996-2000","emerging","discontinued","netcompute-e6c378","Three-tier architecture: OS Substrate + Required Services + Applications"
"nc-card","NC Card (Smart Card)","hardware","NCI","1996-2000","emerging","obsolete","netcompute-e6c378","Smart card for authentication; multi-application capable"
"bootp","BOOTP (Boot Protocol)","protocol","IETF","1985-2000","mature","legacy","netcompute-e6c378","Initial NC Initialization implementation"
"dhcp","DHCP (Dynamic Host Configuration Protocol)","protocol","IETF","1993-present","emerging","dominant","netcompute-e6c378","Future NC Initialization; more flexible IP allocation"
"ldap","LDAP (Lightweight Directory Access Protocol)","protocol","IETF","1993-present","emerging","dominant","netcompute-e6c378","Basis for NC Authorization"
"nfs","NFS (Network File System)","protocol","Sun Microsystems","1984-present","mature","current","netcompute-e6c378","NC File System initial implementation"
"oracle-interoffice","Oracle InterOffice","application","Oracle","1996-2001","emerging","discontinued","netcompute-e6c378","Scaleable messaging for NC Mail"
"oracle-enterprise-manager","Oracle Enterprise Manager","platform","Oracle","1995-present","emerging","current","netcompute-e6c378","Foundation for NC Server Manager"
"oracle-java-hatrick","Oracle Java Productivity Suite (Hatrick)","application","Oracle","1997-1999","emerging","discontinued","netcompute-e6c378","Word processor, spreadsheet, slide-show for NC"
"oracle-web-server","Oracle Web Server","application","Oracle","1995-2000","emerging","discontinued","netcompute-e6c378","Basis for NC Web Server"
"vpn","Virtual Private Networks (VPN)","protocol","Various","1996-present","emerging","dominant","netcompute-e6c378","Enabled by NC Card encryption capabilities"
"surfwatch","Surfwatch Web Filter","application","Spyglass","1995-2000","emerging","discontinued","netcompute-e6c378","Initial NC Childsafe implementation"
"oracle-context","Oracle Context (Language Processing Engine)","application","Oracle","1996-2000","emerging","discontinued","netcompute-e6c378","Future NC Childsafe content filtering"
"oracle-financial-apps","Oracle Financial Application Suite","application","Oracle","1995-present","emerging","current","netcompute-e6c378","Integration target for NC Billing and Accounting"
"unix","UNIX (various)","platform","Various","1969-present","mature","current","netcompute-e6c378","NC OS Substrate for enterprise; AIX, HP/UX, Solaris, DEC Unix supported"
"microsoft-windows-nt","Microsoft Windows NT","platform","Microsoft","1993-2000","mature","legacy-superseded","netcompute-e6c378","Supported as NC OS Substrate"
"sun-solaris","Sun Solaris","operating-system","Sun Microsystems","1992-2010","mature","legacy","netcompute-e6c378","SPARC Solaris supported as OS substrate"
