"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-kastner","Peter Kastner","person","IT Market Research","active","[none]","1988-present","otellini-intel-techpinions-2013-917213","Contributed Tech.pinions column"
"paul-otellini","Paul S. Otellini","person","Semiconductor Executive","deceased","","1974-2017","otellini-intel-techpinions-2013-917213","Intel CEO 2005-2013; died 2017"
"intel-corp","Intel Corporation","company","Semiconductors","active","","1968-present","otellini-intel-techpinions-2013-917213",""
"amd","Advanced Micro Devices","company","Semiconductors","active","","1969-present","otellini-intel-techpinions-2013-917213","52% US retail share vs Intel 2004"
"qualcomm","Qualcomm","company","Semiconductors","active","","1985-present","otellini-intel-techpinions-2013-917213","Mobile competitor"
"nvidia","NVIDIA","company","Semiconductors","active","","1993-present","otellini-intel-techpinions-2013-917213","Mobile/GPU competitor"
"samsung","Samsung Electronics","company","Semiconductors/Electronics","active","","1969-present","otellini-intel-techpinions-2013-917213","Mobile competitor"
"apple","Apple Inc.","company","Consumer Electronics","active","","1976-present","otellini-intel-techpinions-2013-917213","iPhone / iOS"
"google","Google","company","Internet Services","active","Alphabet (2015)","1998-present","otellini-intel-techpinions-2013-917213","Android"
"mcafee","McAfee","company","Security Software","acquired","Intel (2010) / divested (2017)","1987-present","otellini-intel-techpinions-2013-917213","$7.7B acquired 2010"
"wind-river","Wind River Systems","company","Embedded Software","acquired","Intel (2009) / divested (2018) / Aptiv (2022)","1981-present","otellini-intel-techpinions-2013-917213","Real-time OS"
"infineon","Infineon Technologies AG","company","Semiconductors","active","","1999-present","otellini-intel-techpinions-2013-917213","Intel acquired wireless unit 2010"
"tech-pinions","Tech.pinions","institution","Tech Commentary Publisher","active","","2011-present","otellini-intel-techpinions-2013-917213","Publication venue; Creative Strategies partner"
"fortune-100","Fortune 100","institution","Business Ranking","active","","1955-present","otellini-intel-techpinions-2013-917213","Intel was #46 in 2004"
