"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"intel-pentium-4","Intel Pentium 4","platform","Intel","2000-2008","mature","retired","otellini-intel-techpinions-2013-917213","Otellini inherited this single-core era"
"intel-core","Intel Core (Core 2 Duo)","platform","Intel","2006-present","emerging","mature","otellini-intel-techpinions-2013-917213","Multi-core born 2006"
"intel-tick-tock","Intel Tick-Tock","platform","Intel","2007-2016","emerging","retired","otellini-intel-techpinions-2013-917213","Process cadence; broke at 10nm"
"intel-atom","Intel Atom","platform","Intel","2008-present","emerging","legacy-supported","otellini-intel-techpinions-2013-917213","Low-power SoC"
"intel-haswell","Intel Haswell (4th-gen Core)","platform","Intel","2013-2015","emerging","succeeded","otellini-intel-techpinions-2013-917213",""
"intel-phi","Intel Xeon Phi","platform","Intel","2012-2020","emerging","discontinued","otellini-intel-techpinions-2013-917213","HPC many-core"
"intel-14nm","Intel 14nm Process","platform","Intel","2014-present","emerging","mature","otellini-intel-techpinions-2013-917213",""
"high-k-metal-gate","High-K Metal Gate transistors","platform","Intel","2007-present","emerging","mature","otellini-intel-techpinions-2013-917213","Debuted at 45nm"
"3d-tri-gate","3D Tri-Gate transistors","platform","Intel","2012-present","emerging","mature","otellini-intel-techpinions-2013-917213","Debuted at 22nm"
"moore-law","Moore's Law","platform","Industry","1965-present","mature","mature","otellini-intel-techpinions-2013-917213","Cited as the operating paradigm"
"android","Android","platform","Google","2008-present","mature","mature","otellini-intel-techpinions-2013-917213",""
"tizen","Tizen","platform","Samsung/Linux Foundation","2012-present","emerging","legacy-supported","otellini-intel-techpinions-2013-917213","Intel optimized"
"wind-river","Wind River (VxWorks RTOS)","platform","Intel","2009-present","mature","active (spun out from Intel 2018)","otellini-intel-techpinions-2013-917213","Real-time OS; Intel acquisition 2009 ($884M) to grow embedded/IoT footprint"
"mcafee","McAfee Security Platform","platform","Intel","2011-2017","mature","divested (majority sold to TPG 2017)","otellini-intel-techpinions-2013-917213","Security software acquisition (2011, $7.68B) cited as a strategic misstep under Otellini"
"infineon","Infineon Wireless Solutions (WLS)","component","Intel","2011-2019","growth","divested (smartphone modem unit sold to Apple 2019, $1B)","otellini-intel-techpinions-2013-917213","Infineon WLS acquisition (2011, $1.4B) provided baseband modem silicon for Intel mobile push"
