filename,page,sha1,size_bytes,labels_on_page
figure_001.png,5,bf8f961a6f0ce8ee348b3d7742ab554cda1150ea,139908,1;2;3;4;5;6;7;8;9;1;2;3;4;5
figure_002.png,6,1b6bda9b159e020312584252b797e66885889813,217502,1
figure_003.png,7,799370fa52d3eccec5fc434db6dc5fea3c5475b5,284597,2
figure_004.png,8,85339ce8063259fc3427388618f422112690b24f,219079,3
figure_005.png,10,8f1bf6960e5c17f7a2737bb6b88557d2492abf86,321141,3
figure_006.png,11,42c9fef86fe519b45446d512ae157cc65c3b09a6,231459,4;1
figure_007.png,12,1e7439436231953a008658dd8902130ce83d8bae,284832,1
figure_008.png,13,9d7d2d732b6442e4661edb0bcff1515103a16632,296188,2
figure_009.png,14,f558675ebd929b5b0dd6dc8ce52ef92fa1549275,245682,5;6
figure_010.png,15,1423ece537a6dbe3e31521896329bc33690c7327,91327,6
figure_011.png,16,7f238d7f858cff8d5d33c3a0630e3c98c4828c22,235299,8;7
figure_012.png,17,71fb4c24d62d98aa90469c97e8a2bad59064a03a,282173,8
figure_013.png,18,24803d66e997d9123fddb3d5aa4aeed4df10f949,314752,3
figure_014.png,19,153830b069aa4b4c4509c665ad6def00f68c55bd,266528,9
figure_015.png,25,03a3693b8c1bb2ab94836db7f2c8f4d8b6defc80,271348,4;5
